"kdkd" "kukd" "kuku" "pkd" "pku" "pp" "tdkd" "tdp" "tdtd" "tup" "tutd" "tutu" "tuku" "tukd" "tdku"
15 49 66 31 59 125 2 16 11 3 9 22 NA NA NA
17 26 54 26 50 117 1 12 14 6 9 23 NA 1 NA
22 48 46 13 51 144 NA 16 15 3 13 21 NA NA NA
25 55 58 39 25 115 NA 13 12 1 5 20 NA NA NA
27 76 58 29 47 121 1 19 5 10 5 10 NA NA NA
15 52 66 31 78 121 NA 8 7 3 14 21 NA 3 NA
23 55 53 36 62 151 1 11 10 6 13 18 NA 1 NA
27 44 49 25 68 142 NA 9 10 6 6 14 NA NA NA
20 48 79 47 79 124 NA 14 11 3 10 20 NA NA NA
26 59 72 23 52 129 1 13 13 6 9 24 NA 2 NA
17 50 66 26 59 122 NA 8 12 5 9 41 NA 1 NA
12 40 52 22 71 113 1 12 15 5 7 21 NA NA NA
36 69 70 32 63 149 1 23 17 12 8 19 NA NA NA
21 70 95 32 53 137 NA 15 10 2 9 24 NA NA NA
28 62 57 34 58 130 NA 24 15 6 13 34 NA NA 1
23 59 96 26 67 127 NA 21 19 7 5 25 NA 1 NA
18 66 82 43 34 142 NA 17 16 9 10 21 NA NA 1
34 66 41 34 50 138 1 12 5 6 7 27 NA 4 NA
17 58 71 34 52 117 NA 13 14 2 16 21 NA NA NA
33 66 72 39 54 110 1 16 21 7 18 29 NA NA NA
21 59 69 41 77 162 NA 14 11 4 6 26 NA 1 NA
22 31 67 42 79 140 1 18 9 10 13 26 NA 1 NA
24 26 60 31 61 121 NA 22 10 3 16 19 NA NA NA
12 40 40 31 41 115 NA 13 6 5 12 28 NA NA NA
16 48 50 24 63 126 NA 12 14 3 4 24 NA 1 NA
32 63 68 32 52 115 2 18 17 2 13 26 NA NA NA
23 55 78 49 62 142 NA 15 12 NA 11 25 NA 1 NA
19 57 77 39 56 126 1 17 7 12 14 26 NA NA NA
15 45 51 28 44 98 1 16 13 5 8 18 NA NA NA
24 60 64 26 82 120 NA 32 29 5 5 13 NA NA NA
11 52 70 32 55 142 1 12 12 10 5 22 NA NA NA
25 65 56 37 40 121 1 17 18 6 8 22 NA 1 NA
25 65 74 38 48 125 NA 14 14 1 11 16 NA NA NA
18 59 66 14 61 130 NA 18 15 8 8 23 NA NA 1
22 55 69 37 48 108 NA 12 15 4 9 31 NA 2 NA
16 57 69 35 70 116 3 17 15 6 6 22 NA 2 NA
26 60 74 38 69 132 NA 12 10 7 9 15 NA NA NA
18 41 57 37 34 121 1 16 9 1 13 24 2 1 NA
11 34 59 19 39 121 NA 12 19 5 10 24 NA NA NA
13 47 73 23 49 111 2 10 4 3 8 14 NA NA NA
29 74 79 37 60 128 1 16 14 4 5 20 NA NA 1
8 60 67 25 66 146 NA 20 10 5 6 25 NA 2 NA
15 59 56 32 57 111 NA 10 10 6 5 32 NA 2 NA
12 46 55 23 43 141 NA 21 15 4 8 20 NA NA NA
14 42 63 30 43 137 NA 8 7 8 12 31 NA NA NA
28 70 79 37 69 122 NA 5 11 7 1 26 NA 1 1
8 41 54 29 38 137 1 15 17 3 9 15 NA NA 1
28 63 69 43 32 145 1 20 21 6 11 27 NA NA NA
26 74 81 27 62 102 3 22 6 2 9 18 NA NA NA
25 62 51 29 59 123 2 21 7 8 6 21 NA NA 1
22 64 63 33 47 129 NA 16 11 8 11 22 NA 1 NA
19 55 60 22 41 113 NA 15 5 8 4 25 NA 3 NA
23 70 76 31 62 125 4 9 6 2 12 16 NA NA NA
26 72 74 26 64 121 1 18 12 9 7 18 NA 1 1
11 64 51 32 50 132 1 19 8 1 11 20 5 1 NA
13 44 79 31 87 143 NA 17 12 3 9 13 2 1 NA
21 61 73 25 49 133 3 7 28 3 12 10 NA NA NA
27 56 70 27 59 105 1 19 14 3 10 17 NA NA NA
16 45 65 24 54 137 NA 19 9 11 5 34 NA NA NA
35 35 65 39 57 134 NA 17 7 1 5 29 NA NA NA
15 51 70 31 48 128 3 7 5 3 11 14 NA NA NA
29 64 64 42 63 122 1 18 17 3 9 42 NA 2 NA
19 53 51 27 60 103 2 16 12 5 6 22 NA NA NA
15 41 50 34 63 125 1 19 13 1 11 23 NA NA NA
18 53 62 28 67 141 3 17 11 13 7 11 NA NA NA
38 76 82 35 67 144 NA 18 6 16 12 18 NA NA 2
25 66 74 52 68 162 2 12 15 7 11 15 NA NA NA
25 64 62 39 55 140 NA 9 10 7 5 16 NA NA NA
