"kdkd" "kukd" "kuku" "pkd" "pku" "pp" "tdp" "tup" "tutd" "tutu"
"124" NA NA NA NA NA 38 NA NA 0 0
"125" NA NA NA NA NA 49 NA NA 0 0
"126" NA NA NA 1 NA 37 NA NA 0 0
"127" NA 1 NA 1 1 26 NA NA 0 0
"128" NA NA NA NA NA 35 NA NA 0 0
"129" NA NA 1 NA 2 31 1 NA 0 0
"130" NA NA NA NA NA 41 NA NA 0 0
"131" NA NA NA NA NA 46 1 NA 0 0
"132" NA NA 1 1 NA 52 NA NA 0 0
"133" NA NA NA NA NA 43 NA NA 0 0
"134" NA NA NA NA NA 30 NA NA 0 0
"135" NA NA NA 1 NA 27 NA NA 0 0
"136" NA NA NA NA NA 33 NA NA 0 0
"137" 1 1 NA 1 NA 50 NA NA 0 0
"138" NA NA NA NA NA 25 1 NA 0 0
"139" NA NA NA NA NA 45 NA NA 0 0
"140" NA 1 2 NA 1 37 NA NA 0 0
"141" NA NA 1 NA NA 43 1 NA 0 0
"142" NA NA 1 NA 1 39 NA NA 0 0
"143" NA 1 3 NA 3 24 NA NA 0 0
"144" NA NA NA NA NA 34 NA NA 0 0
"145" NA NA NA 2 NA 38 NA NA 0 0
"146" NA NA NA NA NA 38 NA NA 0 0
"147" NA NA NA NA NA 42 NA NA 0 0
"148" NA NA NA NA NA 43 NA 1 0 0
"149" NA NA NA NA NA 31 NA NA 0 0
"150" NA NA NA NA 1 48 1 NA 0 0
"151" NA NA 1 NA NA 44 NA NA 0 0
"152" NA NA 1 NA NA 32 NA NA 0 0
"153" NA NA NA NA 1 31 NA NA 0 0
"154" NA NA 2 NA 1 30 NA NA 0 0
"155" NA NA NA 1 NA 40 3 1 0 0
"156" NA NA NA NA 1 47 NA NA 0 0
"157" NA NA 1 1 NA 34 NA NA 0 0
"158" NA NA NA NA NA 37 NA NA 0 0
"159" NA NA 1 1 NA 29 1 NA 0 0
"160" NA NA NA NA NA 27 NA NA 0 0
"161" NA NA NA NA NA 31 NA NA 0 0
"162" NA NA NA 1 1 37 NA NA 0 0
"163" NA NA NA NA NA 41 NA NA 0 0
"164" NA NA 1 1 1 30 NA NA 0 0
"165" NA NA NA NA NA 25 NA NA 0 0
"166" NA NA NA 1 NA 45 NA 2 0 0
"167" NA NA 1 NA 1 30 NA NA 0 0
"168" NA NA 1 NA NA 44 NA NA 0 0
"169" NA NA NA NA NA 31 NA NA 0 0
"170" NA NA NA 1 NA 40 NA NA 0 0
"171" NA NA NA 3 1 38 NA NA 0 0
"172" NA NA NA 1 NA 26 NA NA 0 0
"173" NA NA NA NA 1 29 NA NA 0 0
"174" NA NA NA NA NA 43 1 NA 0 0
"175" NA NA NA 1 NA 35 NA NA 0 0
"176" NA NA NA NA NA 47 NA NA 0 0
"177" NA NA NA NA NA 30 NA NA 0 0
"178" NA NA 1 2 1 41 NA NA 0 0
"179" NA NA NA NA NA 29 NA NA 0 0
"180" NA NA NA 1 NA 46 NA NA 0 0
"181" NA NA NA NA NA 36 NA NA 0 0
"182" NA NA NA 1 NA 25 NA NA 0 0
"183" NA NA NA NA NA 38 NA NA 0 0
"184" NA 1 NA 2 1 35 NA NA 0 0
"185" NA NA 1 NA NA 33 NA NA 0 0
"186" NA NA 2 NA NA 38 NA NA 0 0
"187" NA NA 1 NA 1 34 NA NA 0 0
"188" NA NA 1 NA 1 52 NA NA 0 0
"189" NA NA NA NA NA 39 1 NA 0 0
"190" NA NA NA NA 1 33 NA NA 0 0
"191" NA NA 1 NA NA 21 NA NA 0 0
"192" NA NA NA NA NA 31 NA NA 0 0
"193" NA NA NA 1 NA 39 NA NA 0 0
"194" NA NA NA NA NA 25 NA NA 0 0
"195" NA NA NA NA 1 36 NA NA 0 0
"196" NA NA NA NA NA 35 NA NA 0 0
"197" NA NA NA NA 1 31 NA NA 0 0
"198" NA NA NA NA 1 55 NA NA 0 0
"199" NA NA 1 NA NA 28 NA NA 0 0
"200" NA NA 1 NA NA 31 NA NA 0 0
"201" NA NA 1 NA NA 18 NA NA NA 0
"202" 1 NA 1 2 1 40 NA NA NA 0
"203" NA NA NA 1 NA 37 NA NA NA 0
"204" NA NA NA NA NA 39 NA NA NA 0
"205" NA NA NA NA NA 33 1 NA NA 0
"206" NA NA NA NA NA 34 NA NA NA 0
"207" NA 1 NA 1 NA 35 NA NA NA 0
"208" NA NA 1 NA 1 32 NA NA NA 0
"209" NA NA 1 1 1 38 NA 2 NA 0
"210" NA NA NA NA NA 39 NA NA NA 0
"211" NA NA 1 NA NA 22 NA NA NA 0
"212" NA NA 1 NA 1 36 NA NA NA 0
"213" 1 1 NA 1 NA 26 NA NA NA 0
"214" NA NA 1 NA NA 27 NA NA NA 0
"215" NA NA NA 1 1 28 NA NA NA 0
"216" NA NA NA NA 1 32 NA NA NA 0
"217" NA NA NA NA NA 34 NA NA NA 0
"218" NA NA 1 1 1 45 NA NA NA 0
"219" NA NA 1 NA NA 29 NA NA NA 0
"220" NA NA 1 NA 1 43 NA NA NA 0
"221" NA NA NA NA NA 39 NA NA NA 0
"222" 1 NA NA NA NA 29 NA NA NA 0
"223" NA NA 1 NA NA 21 NA NA NA 0
"224" NA NA NA NA NA 40 NA NA NA 0
"225" NA NA NA NA NA 37 NA NA NA 0
"226" NA NA NA NA NA 27 NA NA NA 0
"227" NA NA 1 NA NA 45 NA NA NA 0
"228" NA NA NA NA 2 30 NA NA NA 0
"229" NA NA NA 1 NA 35 NA NA NA 0
"230" NA NA NA 1 1 22 NA NA NA 0
"231" NA NA NA NA NA 35 NA NA NA 0
"232" NA NA NA NA 1 29 NA 1 NA 0
"233" NA NA NA NA NA 24 NA NA NA 0
"234" NA NA 1 NA NA 51 NA NA NA 0
"235" NA NA NA NA 1 45 NA NA NA 0
"236" NA NA 3 2 1 38 NA NA NA 0
"237" NA NA 1 1 NA 19 NA NA NA 0
"238" NA NA 1 1 NA 45 NA NA NA 0
"239" NA NA 1 NA 2 40 NA NA NA 0
"240" NA NA NA NA 2 36 NA NA NA 0
"241" NA NA 1 1 1 27 NA NA NA 0
"242" NA NA NA NA 1 41 NA NA NA 0
"243" NA NA NA NA NA 30 NA NA NA 0
"244" NA NA 1 1 NA 41 NA NA NA 0
"245" NA NA 1 NA 1 36 NA NA 1 0
"246" NA NA NA NA NA 28 NA NA NA 0
"247" NA 1 1 NA 1 28 NA NA NA 0
"248" NA NA NA NA NA 28 NA NA NA 0
"249" NA NA NA 2 2 34 NA NA NA 0
"250" NA NA NA NA NA 29 NA NA NA 0
"251" NA NA NA NA NA 22 NA NA NA 0
"252" NA 1 NA 1 NA 41 NA NA NA 0
"253" NA NA NA 1 NA 46 NA NA NA 0
"254" NA NA 1 NA NA 40 NA NA NA 0
"255" 1 1 NA 4 NA 47 NA NA NA 0
"256" NA NA NA NA NA 25 NA NA NA 0
"257" NA NA NA NA NA 42 NA NA NA 0
"258" 1 1 2 3 1 33 NA NA NA 0
"259" NA NA NA NA NA 41 NA NA NA 0
"260" NA NA 2 1 NA 26 NA NA NA 0
"261" NA 1 NA NA NA 36 NA NA NA 0
"262" NA NA NA NA NA 39 NA NA NA 0
"263" NA NA 1 NA 2 50 NA NA NA 0
"264" NA NA NA NA NA 40 NA NA NA 0
"265" NA NA NA NA NA 43 NA NA NA 0
"266" NA NA 3 NA 1 35 NA NA NA 0
"267" NA NA NA NA NA 28 NA NA NA 0
"268" NA NA NA NA NA 39 NA NA NA 0
"269" NA NA NA NA NA 40 NA NA NA 0
"270" NA NA NA NA 1 41 NA NA NA 0
"271" NA NA 1 1 1 23 NA NA NA 0
"272" NA NA 1 NA 1 42 NA NA NA 0
"273" NA NA NA 1 NA 37 NA NA NA 0
"274" NA NA NA NA NA 50 NA NA NA 0
"275" NA NA NA 3 NA 41 NA NA NA 0
"276" NA NA NA NA NA 50 NA NA NA 0
"277" NA NA NA NA NA 37 NA NA NA 0
"278" NA NA 1 NA 2 23 NA NA NA 0
"279" NA NA 1 NA NA 42 NA NA NA 0
"280" NA NA NA 1 NA 39 NA NA NA 0
"281" NA NA NA NA NA 39 NA NA NA 0
"282" NA NA NA NA NA 39 NA NA NA 0
"283" NA NA NA NA 1 43 NA NA NA 0
"284" NA NA NA 1 NA 32 NA NA NA 0
"285" NA NA 1 NA 1 36 NA NA NA 0
"286" NA NA NA NA NA 38 NA NA NA 0
"287" NA NA NA NA NA 37 NA NA NA 0
"288" NA NA 1 1 1 35 NA NA NA 0
"289" NA NA NA NA 1 34 1 1 NA 0
"290" NA 2 1 1 2 32 NA NA NA 0
"291" NA NA NA 1 1 26 NA NA NA 0
"292" NA NA NA NA 1 49 NA NA NA 0
"293" NA NA NA NA NA 47 NA NA NA 0
"294" NA NA NA NA NA 33 NA NA NA 0
"295" NA NA NA NA NA 45 NA NA NA 0
"296" NA NA NA NA NA 36 NA NA NA 0
"297" NA NA 1 NA 1 27 NA NA NA 0
"298" NA NA NA 1 NA 35 NA NA NA 0
"299" NA NA NA NA NA 36 NA NA NA 0
"300" NA NA NA NA NA 31 NA NA NA 0
"301" NA NA NA NA NA 29 NA NA 0 0
"302" NA NA NA NA NA 25 NA NA 0 0
"303" NA NA 1 1 3 20 NA 1 0 0
"304" NA NA NA NA 3 34 NA NA 0 0
"305" NA NA 1 NA NA 30 NA NA 0 0
"306" NA NA NA NA NA 25 NA NA 0 0
"307" NA NA NA NA NA 25 NA NA 0 0
"308" NA NA NA NA NA 38 NA NA 0 0
"309" NA NA NA NA NA 23 NA NA 0 0
"310" NA NA NA 1 NA 29 NA NA 0 0
"311" NA 1 1 1 1 28 NA NA 0 0
"312" NA NA NA NA NA 27 NA NA 0 0
"313" NA NA NA NA NA 28 NA NA 0 0
"314" NA NA 1 NA 1 40 NA NA 0 0
"315" NA NA NA NA NA 36 NA NA 0 0
"316" NA NA 1 NA 1 21 NA NA 0 0
"317" NA NA NA NA NA 27 1 NA 0 0
"318" NA NA NA NA NA 33 NA NA 0 0
"319" NA NA NA NA 2 36 NA NA 0 0
"320" NA NA NA NA NA 44 NA NA 0 0
"321" NA NA NA 1 NA 32 NA NA 0 0
"322" NA NA NA 1 1 38 NA NA 0 0
"323" NA NA NA NA NA 29 NA NA 0 0
"324" NA NA 1 NA NA 29 NA NA 0 0
"325" NA NA NA NA NA 34 NA NA 0 0
"326" NA NA NA NA NA 34 NA NA 0 0
"327" NA NA NA NA NA 35 NA NA 0 0
"328" NA NA NA 1 NA 25 NA NA 0 0
"329" NA NA NA NA NA 22 NA NA 0 0
"330" NA NA NA NA NA 39 NA NA 0 0
"331" NA NA 2 NA 2 49 NA NA 0 0
"332" NA NA NA NA 1 41 NA NA 0 0
"333" NA NA 2 1 1 23 NA NA 0 0
"334" NA NA 1 NA NA 30 NA NA 0 0
"335" NA NA 1 NA 1 26 NA NA 0 0
"336" NA NA 1 NA NA 44 NA NA 0 0
"337" NA NA NA NA NA 34 NA NA 0 0
"338" NA NA 1 NA 1 34 NA NA 0 0
"339" NA NA NA NA 1 35 NA NA 0 0
"340" NA NA NA NA NA 47 NA NA 0 0
"341" NA NA 3 NA 1 33 NA NA 0 0
"342" NA NA 1 NA NA 45 NA NA 0 0
"343" NA NA NA NA NA 26 NA NA 0 0
"344" NA NA NA NA 1 43 NA NA 0 0
"345" NA NA NA NA NA 36 NA NA 0 0
"346" NA NA NA 1 1 18 NA NA 0 0
"347" NA NA NA NA NA 33 NA NA 0 0
"348" NA NA 1 1 NA 41 NA NA 0 0
"349" NA NA NA NA NA 34 NA NA 0 0
"350" NA NA 1 NA NA 34 NA NA 0 0
"351" NA NA NA 1 NA 30 NA NA 0 0
"352" NA NA 2 NA NA 43 NA NA 0 0
"353" 1 NA NA NA NA 21 NA NA 0 0
"354" NA NA NA NA NA 37 NA NA 0 0
"355" NA NA NA NA 1 41 NA NA 0 0
"356" NA NA NA NA NA 29 NA NA 0 0
"357" NA NA 1 NA 1 22 NA NA 0 0
"358" NA NA NA NA 1 27 NA NA 0 0
"359" NA NA NA NA NA 41 NA NA 0 0
"360" NA NA 1 NA NA 36 NA NA 0 0
"361" NA NA NA NA NA 33 NA NA 0 0
"362" NA NA 1 NA 1 37 NA NA 0 0
"363" NA NA NA NA NA 30 NA NA 0 0
"364" NA NA NA NA NA 29 NA NA 0 0
"365" NA NA NA NA 1 50 NA NA 0 0
"366" 1 NA 1 1 1 38 NA NA 0 0
"367" NA NA NA NA 1 40 NA NA 0 0
"368" NA NA NA 1 NA 34 NA NA 0 0
"369" NA NA 1 NA NA 43 NA NA 0 0
"370" NA NA NA NA NA 31 NA NA 0 0
"371" NA NA NA NA NA 44 NA NA 0 0
"372" NA NA 2 NA 2 37 NA NA 0 0
"373" NA NA NA NA NA 25 NA NA 0 0
"374" NA NA NA NA NA 32 NA NA 0 0
"375" NA NA 1 NA NA 32 NA NA 0 0
"376" NA NA 1 NA NA 24 NA NA 0 0
"377" NA NA NA 2 NA 32 NA NA 0 0
"378" NA NA NA NA 2 38 NA NA 0 0
"379" 1 NA 1 NA NA 46 NA NA 0 0
"380" NA NA NA NA NA 25 NA NA 0 0
"381" NA NA NA NA NA 40 NA NA 0 0
"382" NA NA NA 1 NA 26 NA NA 0 0
"383" NA NA NA NA NA 22 NA NA 0 0
"384" NA NA NA NA NA 24 NA NA 0 0
"385" NA NA NA NA NA 28 NA NA 0 0
"386" NA NA NA 1 NA 43 NA NA 0 0
"387" NA NA NA NA NA 31 NA NA 0 0
"388" 2 1 1 1 NA 32 NA NA 0 0
"389" NA NA NA NA 1 34 NA NA 0 0
"390" NA NA NA NA NA 35 NA NA 0 0
"391" NA NA NA 1 NA 36 NA NA 0 0
"392" NA NA 2 NA NA 31 NA NA 0 0
"393" NA NA NA NA NA 44 NA NA 0 0
"394" NA NA 1 NA NA 36 NA NA 0 0
"395" NA NA NA 1 NA 35 NA NA 0 0
"396" NA 1 1 NA NA 26 NA NA 0 0
"397" NA NA NA NA NA 32 1 NA 0 0
"398" 2 1 1 1 NA 37 NA NA 0 0
"399" NA NA NA NA 1 23 1 NA 0 0
"400" NA NA NA NA NA 37 1 NA 0 0
"401" NA NA 1 1 1 21 NA NA 0 0
"402" NA NA NA 1 NA 33 1 NA 0 0
"403" NA NA NA NA 1 22 NA NA 0 0
"404" NA NA NA NA NA 26 NA NA 0 0
"405" NA NA NA NA NA 16 NA 1 0 0
"406" NA NA NA 1 NA 37 NA NA 0 0
"407" NA NA NA NA NA 34 NA NA 0 0
"408" NA NA NA NA NA 21 NA NA 0 0
"409" NA NA NA NA 1 38 NA NA 0 0
"410" NA NA NA NA NA 33 NA NA 0 0
"411" NA NA NA NA NA 33 NA NA 0 0
"412" NA NA NA NA NA 19 NA NA 0 0
"413" NA NA 2 NA 1 42 NA NA 0 0
"414" NA NA NA NA NA 35 NA NA 0 0
"415" NA NA 1 NA NA 35 NA NA 0 0
"416" NA NA 1 NA NA 34 NA NA 0 0
"417" NA NA 1 2 NA 33 NA NA 0 0
"418" NA NA NA NA NA 27 NA NA 0 0
"419" NA 1 NA NA 1 40 NA NA 0 0
"420" NA NA 1 NA 2 30 NA NA 0 0
"421" NA NA NA NA 1 36 NA NA 0 0
"422" NA NA NA 1 NA 37 NA NA 0 0
"423" NA NA NA NA NA 46 NA NA 0 0
"424" NA NA NA 1 NA 25 NA NA 0 0
"425" NA NA NA NA NA 30 NA NA 0 0
"426" NA NA NA 1 NA 42 NA NA 0 0
"427" NA NA NA NA 1 39 NA NA 0 0
"428" NA NA 1 NA NA 39 NA NA 0 0
"429" NA NA NA NA NA 36 NA NA 0 0
"430" NA NA NA NA NA 53 NA NA 0 0
"431" NA NA NA NA NA 33 NA NA 0 0
"432" NA NA NA NA 1 33 NA NA 0 0
"433" NA NA NA 1 1 25 NA NA 0 0
"434" NA NA 1 1 NA 29 NA NA 0 0
"435" NA NA 2 1 1 25 NA NA 0 0
"436" NA NA NA NA 1 25 NA NA 0 0
"437" NA NA NA NA NA 32 NA 1 0 0
"438" NA NA 1 1 1 37 NA NA 0 0
"439" NA NA 3 2 2 24 NA NA 0 0
"440" NA NA NA NA 1 31 NA NA 0 0
"441" NA NA NA 1 NA 32 NA NA 0 0
"442" NA NA NA NA 1 26 NA NA 0 0
"443" NA NA NA NA NA 32 NA NA 0 0
"444" NA NA NA NA 1 26 1 NA 0 0
"445" NA NA NA NA NA 33 NA NA 0 0
"446" NA NA NA NA NA 32 NA NA 0 0
"447" NA NA NA NA NA 31 NA NA 0 0
"448" NA NA NA 1 NA 37 NA NA 0 0
"449" NA NA NA NA 1 36 NA NA 0 0
"450" NA NA NA NA NA 30 NA NA 0 0
"451" NA NA NA NA NA 41 NA NA 0 0
"452" NA NA 1 NA 1 39 NA NA 0 0
"453" NA NA NA NA NA 34 NA NA 0 0
"454" NA NA 1 NA 1 28 NA NA 0 0
"455" NA NA NA NA NA 38 NA NA 0 0
"456" NA NA NA NA NA 37 NA NA 0 0
"457" NA NA NA NA NA 33 NA NA 0 0
"458" NA NA NA NA NA 36 NA NA 0 0
"459" NA NA NA 1 NA 41 NA NA 0 0
"460" NA NA 1 1 1 35 NA NA 0 0
"461" NA NA NA NA NA 28 NA NA 0 0
"462" NA NA NA NA 1 31 NA 1 0 0
"463" NA NA 1 NA NA 29 NA NA 0 0
"464" NA NA 1 NA NA 31 NA NA 0 0
"465" NA NA NA 1 NA 30 NA NA 0 0
"466" NA NA NA 1 NA 28 NA NA 0 0
"467" NA NA NA NA NA 20 1 NA 0 0
"468" NA NA NA NA NA 32 NA NA 0 0
"469" NA NA 1 NA NA 48 NA NA 0 0
"470" NA 1 NA NA 3 26 NA NA 0 0
"471" NA NA NA 2 1 30 NA NA 0 0
"472" NA NA NA 1 NA 27 NA NA 0 0
"473" NA NA NA NA NA 35 NA NA 0 0
"474" NA 1 1 NA NA 34 NA NA 0 0
"475" NA NA NA NA NA 43 NA NA 0 0
"476" NA NA NA NA NA 33 NA NA 0 0
"477" NA NA NA NA NA 26 NA NA 0 0
"478" NA NA NA 1 1 31 NA NA 0 0
"479" NA NA 2 NA 1 45 NA 1 0 0
"480" NA NA 2 NA NA 26 NA NA 0 0
"481" NA NA NA NA NA 40 NA NA 0 0
"482" NA NA NA NA NA 29 NA NA 0 0
"483" NA NA NA NA NA 34 NA NA 0 0
"484" NA NA NA NA NA 28 NA NA 0 0
"485" NA NA NA NA NA 39 NA NA 0 0
"486" NA NA NA NA 1 39 NA NA 0 0
"487" NA NA NA NA NA 41 NA NA 0 0
"488" NA NA NA NA NA 32 NA NA 0 0
"489" NA NA 1 NA NA 34 NA NA 0 0
"490" NA NA NA NA NA 32 NA NA 0 0
"491" NA NA NA 2 3 39 NA NA 0 0
"492" NA NA 1 NA 1 25 NA NA 0 0
"493" NA 1 2 2 3 36 NA NA 0 0
"494" NA NA NA NA NA 43 NA NA 0 0
"495" 1 NA NA NA NA 34 NA NA 0 0
"496" NA 2 1 NA 1 24 1 NA 0 0
"497" NA NA 1 NA 1 34 NA NA 0 0
"498" NA NA NA NA NA 34 2 NA 0 0
"499" NA NA NA NA NA 26 NA NA 0 0
"500" NA NA NA NA NA 34 NA NA 0 0
"501" NA NA 2 NA 1 38 NA NA 0 0
"502" NA NA 1 NA NA 26 NA NA 0 0
"503" NA NA NA NA NA 41 NA NA 0 0
"504" NA NA NA NA 1 34 NA NA 0 0
"505" NA NA 1 NA NA 27 NA NA 0 0
"506" NA NA NA NA NA 51 NA NA 0 0
"507" NA NA NA NA NA 43 NA NA 0 0
"508" NA NA NA NA NA 32 NA NA 0 0
"509" NA NA 2 NA 4 41 NA NA 0 0
"510" NA NA NA NA 1 24 NA NA 0 0
"511" NA NA NA NA NA 31 NA NA 0 0
"512" NA NA NA NA 1 44 NA NA 0 0
"513" NA NA NA NA NA 41 NA NA 0 0
"514" NA NA NA NA NA 40 NA NA 0 0
"515" NA NA NA NA 1 30 NA NA 0 0
"516" NA NA NA NA NA 31 NA NA 0 0
"517" NA 1 NA 1 NA 43 NA NA 0 0
"518" NA NA NA NA 1 32 NA NA 0 0
"519" 1 NA 1 1 NA 38 NA NA 0 0
"520" NA NA 1 NA 1 30 NA NA 0 0
"521" NA NA NA NA NA 35 NA NA 0 0
"522" NA NA 2 NA 1 35 NA NA 0 0
"523" NA NA NA NA NA 29 NA NA 0 0
"524" NA NA NA NA NA 23 NA NA 0 0
"525" NA NA 2 1 1 29 NA NA 0 0
"526" NA NA NA NA NA 22 NA NA 0 0
"527" NA NA NA 1 NA 25 NA NA 0 0
"528" 1 1 NA NA NA 27 NA NA 0 0
"529" NA NA NA 1 NA 33 NA NA 0 0
"530" NA NA NA NA NA 39 NA NA 0 0
"531" NA NA NA NA NA 40 NA NA 0 0
"532" NA NA 1 1 NA 16 NA NA 0 0
"533" NA NA 1 NA NA 34 NA NA 0 0
"534" NA NA NA 1 NA 50 NA NA 0 0
"535" 1 NA NA NA NA 32 1 1 0 0
"536" NA NA NA NA 1 37 NA NA 0 0
"537" NA NA NA NA 1 22 NA NA 0 0
"538" NA NA NA 1 NA 34 NA NA 0 0
"539" NA NA 1 NA NA 24 NA NA 0 0
"540" NA NA NA NA NA 36 NA NA 0 0
"541" NA NA 1 NA 1 39 NA NA 0 0
"542" NA NA NA NA NA 27 NA NA 0 0
"543" NA NA NA NA NA 31 NA NA 0 0
