"kdkd" "kukd" "kuku" "pkd" "pku" "pp" "tdku" "tdp" "tdtd" "tukd" "tup" "tutd" "tutu" "tdkd" "tuku"
34 77 79 49 76 124 1 16 8 NA 1 9 24 1 1
11 43 57 28 60 135 NA 19 14 1 9 12 14 2 NA
23 60 65 17 73 156 NA 13 10 NA 7 7 24 1 NA
16 53 62 40 50 134 NA 20 6 1 11 8 21 NA NA
22 57 77 28 69 152 1 14 6 1 4 12 22 NA NA
16 50 53 19 71 126 NA 13 17 NA 2 4 21 NA NA
31 78 65 43 77 116 NA 15 18 4 5 4 17 NA NA
16 47 56 27 65 117 NA 12 7 2 8 6 10 1 NA
23 64 66 33 26 119 NA 23 6 NA 2 7 18 NA NA
25 60 59 33 42 103 NA 16 12 NA 2 4 24 NA NA
27 66 72 26 61 130 NA 20 23 NA 1 9 19 NA NA
32 64 77 51 80 116 1 14 15 1 3 10 20 2 NA
32 63 82 47 72 134 NA 13 6 NA 2 15 25 2 NA
37 68 66 31 64 129 NA 21 16 NA 7 8 23 NA NA
18 25 70 14 76 157 NA 17 25 NA 8 15 21 NA NA
11 20 81 37 55 129 NA 12 11 1 8 5 12 NA NA
27 74 80 43 75 113 NA 24 20 1 8 10 23 4 NA
19 55 54 17 48 137 NA 17 12 NA 3 3 24 NA NA
