"kdkd" "kukd" "kuku" "pkd" "pku" "pp" "tdkd" "tdp" "tdtd" "tup" "tutd" "tutu" "tukd" "tdku" "tuku"
15 44 67 27 50 112 NA 18 28 7 10 29 1 NA NA
16 50 48 26 48 141 1 13 15 5 7 19 1 NA NA
17 65 66 35 55 134 1 12 7 5 6 14 1 NA NA
27 71 93 38 70 141 2 14 7 8 8 18 NA NA NA
10 44 63 25 58 140 NA 15 16 7 9 18 NA NA NA
23 55 56 33 63 130 1 23 14 8 8 17 1 NA NA
23 77 89 37 74 138 NA 23 14 2 7 33 NA NA NA
20 70 84 24 55 102 2 13 8 7 3 16 1 NA NA
37 82 60 31 61 158 NA 17 9 3 4 14 NA 1 NA
20 77 68 17 58 104 NA 11 18 5 4 14 NA NA NA
27 34 68 39 51 145 NA 11 14 5 10 27 NA NA NA
29 51 64 34 28 119 NA 12 12 2 5 20 NA NA NA
33 63 59 32 68 136 NA 12 5 3 7 17 NA NA NA
20 55 70 26 63 114 NA 11 7 10 6 23 1 NA NA
15 54 71 24 40 117 1 13 14 6 11 24 NA NA NA
36 84 73 39 73 142 NA 9 9 3 11 36 1 NA NA
29 53 61 30 61 137 1 5 17 6 16 24 NA NA NA
29 65 59 28 57 132 NA 19 13 5 12 23 1 NA NA
15 37 54 23 62 150 NA 19 16 7 14 21 NA NA NA
29 75 80 39 70 117 NA 17 7 7 12 22 NA NA NA
20 67 62 29 43 114 NA 17 12 6 10 25 NA NA NA
18 46 56 11 50 103 NA 13 9 3 10 27 NA NA NA
17 34 62 29 46 133 1 10 12 5 7 21 1 NA NA
30 58 56 30 44 124 1 17 6 6 12 24 NA NA NA
12 26 74 31 83 172 NA 20 18 1 7 26 NA 1 NA
19 45 53 30 56 106 NA 15 17 7 6 25 1 NA NA
17 52 57 34 50 133 2 11 6 5 8 18 NA NA NA
15 57 48 25 24 135 2 15 15 5 10 20 NA NA NA
21 57 58 32 52 126 NA 10 9 6 9 19 NA NA NA
14 59 45 28 58 148 NA 11 8 4 5 25 NA NA NA
30 63 66 35 55 108 NA 7 8 7 13 22 NA NA NA
27 25 55 29 50 110 NA 21 18 1 14 17 NA NA 1
