"kdkd" "kukd" "kuku" "pkd" "pku" "pp" "tdp" "tdtd" "tukd" "tup" "tutd" "tutu" "tdkd" "tdku" "tuku"
6 16 78 36 112 389 33 11 13 23 5 142 6 3 NA
1 16 87 39 92 392 31 1 10 22 4 154 3 1 NA
4 25 107 39 114 375 34 NA 6 26 3 167 NA 2 NA
7 22 80 47 119 366 27 1 6 14 3 135 9 1 NA
NA 6 73 47 89 379 32 1 2 27 3 138 2 3 NA
1 19 79 37 95 328 21 4 7 37 4 134 7 NA NA
12 25 94 47 94 350 27 2 8 27 3 155 1 3 NA
6 25 84 59 109 354 31 NA 2 20 1 151 1 1 NA
15 16 71 41 93 394 33 NA 6 26 2 143 NA 2 NA
1 19 84 28 88 364 33 NA 6 22 6 155 1 NA NA
1 17 80 39 85 350 30 NA 3 27 8 150 3 4 NA
2 22 89 37 89 414 32 3 3 25 1 151 4 NA NA
23 35 85 66 96 380 28 NA 3 28 1 147 4 2 NA
10 11 67 52 97 339 25 1 3 17 2 131 2 1 NA
24 30 77 61 52 353 30 21 5 34 6 126 NA NA NA
10 26 83 70 99 361 12 3 4 22 3 164 1 NA NA
1 29 81 52 104 354 22 19 6 16 7 144 NA 3 NA
NA 18 90 45 93 365 30 13 16 35 4 170 5 NA NA
10 22 78 46 104 358 22 NA 5 22 1 150 3 3 NA
18 35 79 44 79 322 36 9 11 21 1 133 1 1 NA
6 33 82 35 100 415 33 1 8 23 2 145 7 4 NA
2 21 71 43 107 378 43 NA 7 23 4 146 2 1 NA
