"kdkd" "kukd" "kuku" "pkd" "pku" "pp" "tdkd" "tdku" "tdp" "tdtd" "tukd" "tup" "tutu" "tutd" "tuku"
6 27 96 53 100 369 15 2 41 NA 3 29 160 3 NA
5 23 67 43 109 395 1 NA 39 10 7 15 172 2 NA
3 8 67 21 101 316 16 1 36 NA 11 21 150 4 NA
21 22 76 35 95 368 NA NA 25 6 5 20 127 5 1
24 30 91 58 109 353 NA NA 21 NA 3 27 129 3 NA
6 26 78 53 122 326 9 5 54 2 13 29 170 3 NA
NA 17 83 43 100 405 7 4 47 1 6 19 163 2 NA
16 21 82 52 86 370 2 NA 34 1 8 31 141 4 NA
6 25 72 42 92 385 4 3 31 NA 12 23 157 NA NA
5 16 104 41 54 359 1 NA 36 2 8 34 151 3 NA
21 32 65 60 98 381 3 1 41 11 7 24 143 12 NA
6 25 86 65 116 399 4 NA 29 17 6 31 154 5 NA
8 19 84 45 100 363 7 1 42 7 7 21 157 5 2
4 14 78 46 117 362 1 1 34 NA 3 16 155 8 NA
NA 18 87 41 101 344 7 1 41 8 9 22 154 7 NA
11 9 91 37 125 352 1 6 30 1 6 30 158 5 1
3 20 88 32 94 356 1 2 40 11 10 31 169 4 NA
14 12 85 35 108 378 NA 1 40 NA 14 35 178 2 NA
4 14 75 31 104 396 1 NA 46 15 6 26 148 3 NA
24 26 82 45 97 373 1 1 39 12 10 17 170 3 NA
17 29 93 54 129 353 1 1 35 10 15 18 170 2 NA
13 25 83 47 109 338 2 1 38 12 8 21 149 8 NA
10 24 71 45 103 343 1 1 30 NA 10 32 154 3 NA
13 19 82 34 94 355 6 1 20 11 8 24 144 6 1
4 18 91 37 104 347 NA 2 27 2 8 24 178 3 NA
9 21 85 45 109 356 15 1 45 3 9 29 163 4 NA
11 12 56 45 96 350 3 1 35 2 4 11 150 3 NA
27 26 82 58 104 350 NA 3 37 5 10 27 159 3 NA
4 28 88 36 98 351 NA 3 38 19 11 36 134 6 NA
10 21 85 49 95 351 4 1 30 NA 8 21 161 1 NA
26 21 62 32 65 317 NA NA 29 7 2 25 161 1 NA
21 13 73 41 102 371 2 4 39 22 6 21 152 3 NA
9 27 88 57 108 393 1 3 42 NA 14 21 145 8 NA
2 19 85 38 112 417 2 NA 24 NA 9 27 177 3 NA
4 17 62 38 119 394 13 1 35 NA 2 30 150 6 NA
