"kdkd" "kukd" "kuku" "pkd" "pku" "pp" "tdp" "tdtd" "tukd" "tuku" "tup" "tutd" "tutu" "tdkd" "tdku"
30 72 73 45 77 142 11 5 1 NA 2 6 29 NA NA
18 54 74 24 73 166 9 18 NA NA 4 4 24 NA NA
32 72 68 41 85 135 19 13 NA NA 3 7 18 NA NA
15 61 61 40 56 142 24 20 2 NA 3 6 20 3 1
33 79 80 35 70 114 16 9 NA NA 3 9 16 1 NA
16 42 58 25 61 138 22 22 NA NA 5 7 29 1 NA
17 52 58 31 54 129 15 9 NA NA 1 7 16 NA NA
19 75 73 27 55 146 24 5 NA NA 1 17 22 1 NA
26 66 46 26 50 113 7 8 1 NA 6 11 9 NA NA
22 52 71 27 50 139 23 9 NA NA 3 7 29 NA NA
17 55 78 23 53 133 25 13 2 NA 10 5 24 NA NA
29 72 72 26 93 135 10 11 1 NA 5 11 22 1 NA
10 54 63 22 49 117 20 6 NA NA 10 6 25 NA 1
24 54 57 25 42 125 12 8 1 NA 13 5 22 1 1
25 59 69 13 37 151 24 10 NA NA 6 14 29 NA 2
33 70 73 29 62 125 21 12 NA NA 10 15 26 1 NA
17 40 60 27 68 123 18 6 1 NA 9 4 22 NA NA
23 76 69 38 67 136 17 9 NA NA 1 9 33 1 NA
24 47 70 39 56 134 15 16 NA NA 5 6 38 1 1
17 55 43 35 52 140 19 7 2 NA 4 11 22 NA 1
13 52 74 26 65 119 15 11 NA NA 4 7 17 NA NA
11 59 50 23 47 135 6 15 2 NA 6 11 18 NA NA
9 26 91 30 73 126 13 18 NA NA 3 11 18 1 NA
15 26 58 42 41 151 6 12 1 NA 6 7 23 NA NA
31 56 55 30 57 148 15 7 NA NA 5 8 37 3 NA
12 42 50 26 42 129 17 15 NA NA 7 15 24 1 NA
14 55 60 30 73 140 9 5 1 NA 7 3 26 NA NA
22 69 56 29 61 134 5 8 NA NA 4 10 14 1 NA
30 56 74 38 69 125 12 10 NA NA 7 9 21 1 NA
16 52 68 35 42 153 16 9 1 NA 10 12 21 NA NA
21 43 63 17 50 137 19 6 NA NA 2 3 29 NA 1
16 51 78 45 79 107 18 10 1 NA 9 15 31 1 NA
24 33 48 33 56 138 7 7 NA NA 2 15 18 NA 1
29 53 80 36 76 148 21 3 2 NA 3 9 30 1 NA
13 35 58 35 60 131 11 9 1 NA 5 16 24 1 1
35 84 59 41 42 126 15 17 NA NA 4 14 20 3 1
23 62 96 46 42 130 11 7 NA NA 11 6 22 1 NA
21 55 56 24 63 124 14 18 2 NA 7 11 16 NA NA
25 65 66 18 54 125 11 11 NA NA 1 5 26 NA NA
33 58 68 44 77 134 12 9 1 NA 8 1 27 2 NA
21 68 69 27 59 144 15 10 NA NA 7 10 23 NA NA
16 55 63 21 54 104 12 7 NA NA 5 13 19 NA NA
20 60 65 28 61 124 17 10 NA NA 7 9 19 NA NA
16 49 68 18 50 118 18 5 NA NA 9 13 27 1 NA
30 67 84 34 57 132 14 6 NA NA 1 5 17 1 NA
14 64 99 48 65 169 17 5 NA NA 7 9 12 NA NA
11 49 49 36 58 131 5 16 NA NA 1 5 25 NA NA
26 61 69 38 63 153 21 17 NA NA 9 10 15 NA NA
18 50 63 32 60 130 12 17 1 NA 4 9 17 1 NA
9 53 66 38 55 135 18 19 NA NA 7 3 32 NA NA
27 62 63 46 73 132 18 19 NA NA 8 9 29 2 NA
20 40 52 29 63 132 8 6 NA NA 5 15 13 NA NA
24 52 67 42 62 136 14 5 2 NA 4 13 23 NA NA
14 62 64 35 55 115 18 12 NA NA 5 8 17 NA NA
21 58 65 32 58 144 8 5 1 NA 9 13 18 NA 2
27 66 86 35 52 129 17 6 1 NA 1 14 18 1 NA
14 33 69 27 55 119 12 4 2 NA 7 7 23 1 NA
26 73 87 34 68 128 11 7 1 NA 5 9 18 NA NA
24 60 60 40 30 134 10 7 3 NA 10 14 24 1 2
15 50 43 24 44 122 17 15 3 1 10 13 25 1 NA
14 66 73 38 62 130 17 9 1 NA 5 9 23 1 1
13 51 59 30 43 122 26 15 NA NA 8 8 26 NA NA
16 46 64 19 38 134 17 15 NA NA 1 11 33 NA 1
24 57 51 27 47 132 17 13 NA NA 2 14 32 NA NA
