"kdkd" "kukd" "kuku" "pkd" "pku" "pp" "tdkd" "tdp" "tdtd" "tukd" "tup" "tutd" "tutu" "tdku" "tuku"
19 29 83 35 98 384 1 31 21 7 25 6 137 1 NA
8 14 85 48 125 378 NA 26 18 8 19 4 172 2 NA
5 22 79 54 86 363 3 23 6 8 27 3 154 1 NA
1 15 110 49 133 382 2 43 9 6 20 6 140 1 NA
5 24 77 29 90 389 2 32 NA 5 32 2 180 3 NA
13 17 79 41 102 385 5 25 3 3 25 3 142 NA NA
7 13 59 36 101 355 13 27 36 3 30 2 127 3 NA
8 21 74 33 89 362 NA 33 1 1 31 8 131 NA NA
17 16 83 55 124 356 3 33 1 4 37 NA 172 3 NA
8 33 83 47 101 341 6 29 2 10 43 2 177 1 NA
2 13 83 39 80 364 10 22 1 11 23 5 125 NA NA
9 14 85 54 118 382 1 41 NA 13 29 4 148 1 NA
