"kdkd" "kukd" "kuku" "pkd" "pku" "pp" "tdkd" "tdp" "tdtd" "tukd" "tup" "tutd" "tutu" "tdku" "tuku"
6 13 73 32 87 358 7 39 31 1 22 3 150 2 NA
12 20 77 47 95 363 NA 29 2 6 23 4 180 3 NA
5 14 92 57 118 381 8 21 9 9 24 2 145 1 NA
41 18 86 55 98 315 6 31 55 3 24 9 150 1 NA
7 9 93 44 101 326 NA 20 2 10 19 8 164 1 NA
3 24 84 54 95 366 2 36 20 8 22 1 138 NA NA
2 12 65 32 101 375 NA 19 8 6 19 1 141 1 NA
13 33 82 61 83 427 NA 48 5 3 26 9 139 3 1
19 30 72 48 103 359 NA 33 10 10 19 9 142 1 NA
3 15 66 44 98 365 2 30 16 8 13 5 157 NA NA
3 13 68 44 109 375 1 35 4 7 33 1 141 2 NA
5 16 81 26 94 355 1 41 3 6 30 4 132 1 NA
4 16 83 45 101 365 3 42 2 8 32 1 160 NA NA
