"kdkd" "kukd" "kuku" "pkd" "pku" "pp" "tdp" "tdtd" "tukd" "tup" "tutd" "tutu" "tdkd" "tdku" "tuku"
13 23 73 52 83 375 30 1 8 29 7 127 2 2 NA
5 19 101 35 100 347 33 9 4 16 7 157 2 1 NA
11 22 76 56 102 382 26 5 10 22 2 145 3 NA NA
13 17 88 20 105 392 27 NA 14 21 1 178 NA NA NA
4 12 79 29 90 335 27 3 3 17 NA 150 1 4 NA
6 19 65 63 91 372 40 10 6 30 6 129 4 2 NA
1 13 77 37 102 403 28 15 10 23 6 161 8 1 NA
2 22 86 37 111 382 39 5 7 20 10 132 6 NA NA
11 28 86 35 92 377 41 23 7 25 4 152 1 5 NA
18 36 98 26 106 377 29 8 5 23 7 174 8 2 NA
3 22 88 44 52 371 39 21 14 13 4 168 4 1 1
14 21 78 52 48 317 38 NA 6 31 5 143 5 2 NA
10 26 96 40 98 351 29 9 3 21 1 150 2 NA NA
10 21 73 44 92 366 19 NA 7 23 2 138 3 1 NA
1 27 90 54 95 364 23 12 5 20 9 123 1 2 NA
NA 15 73 32 106 358 41 6 6 25 5 157 NA 4 NA
NA 17 74 37 98 364 26 NA 16 20 7 132 6 NA NA
15 26 67 45 117 367 31 22 4 18 3 152 NA NA NA
4 18 68 42 85 338 21 NA 10 28 3 123 1 NA NA
14 15 76 50 113 400 29 3 8 14 5 143 2 3 NA
9 21 95 47 110 396 28 5 4 38 3 166 NA 1 NA
6 14 62 48 118 376 30 12 7 35 5 137 6 1 NA
5 13 79 15 100 356 17 NA 8 26 3 140 7 NA NA
34 21 107 68 114 327 30 2 6 31 3 154 NA 1 1
11 26 85 44 72 373 32 8 11 23 8 138 5 1 NA
3 22 85 46 101 376 43 NA 4 38 2 151 NA 1 NA
11 9 90 42 90 331 31 1 5 26 1 144 3 2 NA
9 27 82 41 50 387 48 3 8 33 4 164 NA 1 NA
6 27 86 29 103 374 38 6 7 23 3 137 6 3 NA
12 28 76 45 96 374 32 3 7 9 4 138 5 NA NA
6 16 70 44 83 372 19 1 5 30 4 138 NA NA NA
1 16 82 32 93 365 24 NA 5 44 7 136 3 1 NA
13 20 69 52 85 359 36 6 10 23 5 145 2 3 NA
14 17 75 58 104 373 40 12 10 28 3 130 NA 1 NA
9 14 99 41 101 373 22 7 14 19 2 152 1 1 1
36 40 75 59 103 381 30 4 7 25 2 132 4 NA NA
1 13 74 38 92 370 29 NA 10 23 4 136 1 3 NA
15 26 86 39 75 359 58 15 6 14 2 157 NA NA NA
2 10 70 46 94 358 26 1 8 20 4 163 1 NA 1
18 30 99 56 82 381 46 NA 7 31 2 151 1 NA NA
3 7 93 32 115 405 31 9 18 31 6 140 6 NA 1
4 17 86 43 101 386 24 2 7 22 6 144 NA 1 NA
27 27 71 39 91 397 35 6 4 24 6 148 4 4 NA
12 19 79 40 42 378 28 NA 5 22 5 150 NA 3 NA
21 24 73 28 96 369 34 20 7 15 3 161 4 1 NA
5 22 76 55 113 413 32 NA 8 39 6 136 13 2 NA
12 33 75 49 106 393 29 13 7 29 5 144 11 6 1
7 18 83 48 100 317 28 6 17 32 7 153 3 11 NA
1 24 74 48 101 362 27 19 3 29 4 177 15 3 NA
2 22 84 39 99 350 26 NA 4 23 5 145 3 3 NA
11 28 86 34 103 371 23 11 8 24 14 128 NA 2 NA
4 24 81 37 99 398 14 4 11 22 3 152 6 1 NA
6 15 71 43 108 375 20 4 6 27 7 152 NA 1 1
16 38 89 45 102 365 25 5 2 24 5 154 NA 1 NA
9 21 88 62 116 385 34 2 8 10 7 153 8 1 NA
NA 17 70 50 82 358 21 7 8 34 5 145 1 1 NA
4 29 79 52 108 357 36 7 4 22 4 160 9 NA NA
13 21 93 36 113 374 29 1 9 26 2 151 4 3 NA
22 18 77 42 94 400 28 1 5 21 NA 144 10 NA NA
1 19 60 39 107 375 33 2 10 18 4 157 3 1 NA
7 27 104 52 121 358 21 11 10 20 2 144 2 1 NA
NA 23 82 63 96 362 35 6 9 38 2 145 4 1 NA
13 19 81 60 97 416 33 12 9 23 1 131 5 1 1
7 15 68 49 90 347 31 2 8 24 5 127 6 3 NA
5 15 67 37 94 355 22 16 9 25 5 131 11 1 NA
