"kdkd" "kukd" "kuku" "pkd" "pku" "pp" "tdp" "tdtd" "tup" "tutd" "tutu" "tdkd" "tukd" "tdku" "tuku"
5 43 67 22 57 146 11 14 1 11 22 1 NA NA NA
35 59 58 39 58 142 6 17 3 8 22 1 1 1 NA
23 52 63 31 56 124 6 10 9 19 22 1 1 NA NA
22 54 66 34 68 119 15 13 6 8 32 1 NA NA NA
12 43 39 43 40 138 15 19 2 10 20 1 1 NA NA
21 48 54 33 58 130 28 12 3 7 21 NA NA NA NA
20 72 67 19 47 149 15 9 7 5 20 1 NA NA NA
16 22 71 23 51 124 21 14 10 9 24 1 1 NA NA
23 62 68 29 58 112 16 8 7 11 23 NA NA NA NA
26 74 68 47 62 140 11 13 2 13 11 NA NA NA NA
37 67 58 35 51 136 17 12 8 5 24 NA NA NA NA
22 60 76 47 53 127 14 10 1 15 23 1 NA NA NA
18 32 68 39 71 149 20 12 9 7 22 4 NA 2 NA
20 54 55 31 46 115 6 6 11 17 16 NA NA NA NA
21 49 57 32 77 162 16 15 3 11 33 NA NA NA NA
12 38 52 23 57 118 24 23 4 3 16 2 NA 1 NA
14 38 46 28 54 129 18 12 11 5 18 NA NA 1 NA
33 82 74 32 42 145 5 7 4 7 24 NA NA NA NA
25 77 78 37 68 134 8 5 5 11 17 NA 1 NA NA
19 62 51 27 47 141 27 14 9 10 39 1 NA 1 NA
13 31 51 27 59 118 13 9 4 13 26 NA 3 NA NA
20 34 74 35 78 151 10 13 5 9 20 2 NA NA NA
21 62 74 31 58 142 19 13 4 17 33 1 1 1 NA
15 60 62 28 70 160 7 21 2 7 20 NA 1 NA NA
18 65 49 33 55 126 17 9 5 8 21 NA 1 NA NA
7 35 55 28 50 119 16 10 7 6 26 1 1 1 NA
12 61 67 38 46 123 18 14 4 12 12 NA NA 1 NA
6 46 56 28 61 118 20 14 NA 11 27 NA NA 1 NA
22 63 65 52 55 104 13 6 1 9 19 NA NA NA NA
23 41 51 29 50 152 18 16 2 4 24 NA NA NA NA
23 62 65 37 75 141 10 19 7 11 20 NA NA NA NA
21 64 74 30 67 108 17 20 2 9 25 NA 1 NA NA
24 72 87 32 43 137 14 12 2 8 15 2 1 1 NA
16 56 66 23 43 127 14 20 10 14 18 3 NA NA NA
6 46 67 25 43 126 15 9 10 9 24 NA NA 4 NA
17 48 53 29 45 160 20 11 3 11 23 NA NA NA NA
15 43 51 34 61 150 20 10 6 10 14 NA 1 NA NA
27 60 60 39 64 135 15 11 8 11 24 1 1 1 NA
20 26 83 32 70 134 11 6 3 3 20 NA NA NA NA
20 68 63 39 71 147 12 14 6 8 14 1 1 NA NA
22 47 64 27 59 153 14 13 6 9 28 3 NA NA NA
23 55 77 30 67 146 22 15 3 11 30 NA NA NA NA
28 55 84 24 49 104 15 7 2 11 23 NA 2 NA NA
18 32 68 29 58 126 13 14 6 9 23 NA 2 NA NA
20 45 77 36 74 135 23 9 5 3 15 NA NA NA NA
19 55 52 30 56 140 14 8 5 14 13 2 NA NA NA
16 44 70 32 70 131 16 11 7 11 20 1 NA NA NA
