"kdkd" "kukd" "kuku" "pkd" "pku" "pp" "tdkd" "tdku" "tdp" "tukd" "tup" "tutd" "tutu" "tdtd" "tuku"
9 19 106 35 101 366 NA 3 31 1 33 7 152 5 NA
2 24 94 49 100 330 3 NA 38 9 19 1 181 NA 1
15 25 91 48 127 378 NA 2 25 11 32 7 145 NA NA
4 14 77 35 103 347 1 NA 21 8 35 5 173 16 NA
14 29 77 34 93 390 1 NA 41 8 21 7 165 3 1
15 18 73 58 99 380 1 NA 22 10 21 4 164 NA NA
16 23 79 46 115 370 NA NA 35 14 24 8 164 9 NA
9 20 76 37 104 382 1 1 25 18 31 6 146 4 NA
6 22 92 42 97 386 1 1 22 6 9 1 167 10 NA
24 44 71 41 85 371 7 NA 33 5 20 4 160 1 NA
3 12 73 45 75 379 NA NA 22 5 22 4 165 NA NA
1 24 87 47 98 374 1 2 35 13 30 1 131 NA NA
NA 10 83 41 97 364 1 NA 33 NA 31 5 149 4 NA
15 35 87 47 120 390 2 NA 31 6 23 2 147 NA NA
11 17 67 43 101 397 NA 2 34 5 25 4 132 1 NA
12 40 83 58 51 336 2 2 26 6 20 5 174 NA NA
NA 15 91 33 120 396 3 1 33 10 29 2 122 11 NA
11 18 71 30 88 388 3 1 34 7 27 1 170 3 NA
3 19 79 31 84 391 42 1 45 10 33 6 155 6 NA
4 24 80 40 109 364 3 1 25 3 20 2 157 4 NA
9 23 77 43 98 371 5 NA 32 7 35 1 157 19 NA
18 31 86 49 97 376 2 1 31 5 28 3 157 NA NA
14 23 88 39 110 338 NA 1 41 2 27 4 140 1 NA
12 27 86 40 93 378 NA 2 37 4 18 4 146 19 NA
36 35 94 56 112 386 28 3 33 8 33 3 160 8 NA
8 29 74 43 92 375 1 1 26 7 27 5 138 8 NA
10 22 73 40 109 325 3 NA 36 4 34 4 168 1 1
11 33 74 50 92 379 3 1 21 4 29 5 149 4 NA
23 27 105 47 99 378 NA NA 33 11 24 9 158 3 NA
17 10 71 38 88 390 3 3 30 14 17 6 156 3 NA
13 25 77 42 44 374 5 1 40 8 21 4 162 2 NA
6 21 85 43 76 353 NA 3 22 9 31 3 151 2 NA
1 13 84 39 93 354 1 4 40 10 9 5 129 1 NA
21 18 88 61 109 376 2 1 26 5 25 5 148 2 NA
NA 8 87 34 117 379 3 NA 51 10 35 3 172 NA NA
1 17 80 40 110 332 1 2 41 7 30 NA 150 NA NA
18 24 61 38 98 350 4 NA 22 3 34 2 156 6 NA
28 22 86 47 131 351 37 4 51 5 32 3 144 3 NA
1 19 80 41 96 337 NA 3 27 9 35 4 156 NA NA
27 32 77 57 106 371 NA 5 34 13 17 3 158 1 NA
34 34 94 46 105 373 6 1 39 3 18 5 170 5 NA
4 19 80 39 50 357 8 NA 41 7 17 4 141 3 NA
3 10 66 37 96 420 2 1 20 5 12 4 147 4 NA
