Attribute Id	Attribute name	Domain Id
2101	cytokinetic process	14
198	cytokinesis	14
77	mitotic cytokinesis	14
3352	regulation of cytoskeleton organization	14
849	cytoskeleton organization	14
2808	mitotic cell cycle phase transition	14
2806	cell cycle phase transition	14
35	G2/M transition of mitotic cell cycle	14
3246	regulation of cellular component organization	14
2168	regulation of organelle organization	14
3392	regulation of cell cycle	14
1286	regulation of cell cycle process	14
928	regulation of mitotic cell cycle	14
3154	organelle fission	14
76	nuclear division	14
875	mitosis	14
3308	cell division	14
75	mitotic cell cycle	14
867	cell cycle	14
1758	cell cycle process	14
2802	single-organism cellular process	14
4217	single-organism organelle organization	14
838	organelle organization	14
1512	cellular component organization	14
3167	negative regulation of cellular process	14
3165	negative regulation of biological process	14
869	spindle organization	14
1320	positive regulation of spindle pole body separation	14
3899	positive regulation of cell cycle process	14
1319	regulation of spindle pole body separation	14
3611	regulation of microtubule cytoskeleton organization	14
2138	regulation of microtubule-based process	14
851	microtubule-based process	14
67	microtubule cytoskeleton organization	14
889	regulation of exit from mitosis	14
3309	regulation of cell division	14
3397	regulation of nuclear division	14
882	regulation of mitosis	14
4168	regulation of cell cycle phase transition	14
4171	regulation of mitotic cell cycle phase transition	14
4169	negative regulation of cell cycle phase transition	14
4172	negative regulation of mitotic cell cycle phase transition	14
886	mitotic cell cycle checkpoint	14
1361	negative regulation of cell cycle process	14
3715	mitotic spindle checkpoint	14
1969	spindle checkpoint	14
902	meiosis	14
3317	meiotic cell cycle	14
871	chromosome segregation	14
193	sister chromatid segregation	14
26	mitotic sister chromatid segregation	14
872	sister chromatid cohesion	14
874	mitotic sister chromatid cohesion	14
3172	cellular process involved in reproduction	14
2	reproduction	14
2790	single-organism process	14
28	cell cycle checkpoint	14
2814	cell cycle DNA replication	14
2193	nuclear cell cycle DNA replication	14
4192	pre-replicative complex assembly involved in cell cycle DNA replication	14
2487	pre-replicative complex assembly	14
444	pre-replicative complex assembly involved in nuclear cell cycle DNA replication	14
439	DNA replication	14
440	DNA-dependent DNA replication	14
447	DNA replication initiation	14
448	DNA strand elongation involved in DNA replication	14
1769	DNA strand elongation	14
445	DNA unwinding involved in DNA replication	14
470	double-strand break repair	14
2083	DNA geometric change	14
2103	DNA duplex unwinding	14
476	DNA recombination	14
164	recombinational repair	14
163	double-strand break repair via homologous recombination	14
166	double-strand break repair via break-induced replication	14
1965	DNA integrity checkpoint	14
30	DNA damage checkpoint	14
3197	response to stimulus	14
3391	cellular response to stimulus	14
825	response to stress	14
2211	cellular response to stress	14
456	DNA repair	14
831	cellular response to DNA damage stimulus	14
438	DNA metabolic process	14
3708	DNA conformation change	14
565	protein complex assembly	15
3585	protein complex biogenesis	15
485	DNA replication-independent nucleosome assembly	15
2361	DNA replication-dependent nucleosome organization	15
484	DNA replication-dependent nucleosome assembly	15
3809	protein complex subunit organization	15
507	transcription elongation from RNA polymerase II promoter	15
495	DNA-templated transcription, elongation	15
480	DNA packaging	15
2364	nucleosome organization	15
482	chromatin assembly or disassembly	15
1952	chromatin assembly	15
483	nucleosome assembly	15
2377	histone lysine methylation	15
955	protein alkylation	15
575	protein methylation	15
1571	histone methylation	15
2362	DNA replication-independent nucleosome organization	15
2670	macromolecule modification	15
2472	protein modification process	15
566	cellular protein modification process	15
2616	ATP-dependent chromatin remodeling	15
487	chromatin remodeling	15
949	metabolic process	15
3190	regulation of cellular process	15
3187	regulation of biological process	15
3541	biological regulation	15
3301	chromosome organization	15
3539	protein-DNA complex assembly	15
3810	protein-DNA complex subunit organization	15
481	chromatin organization	15
1568	chromatin modification	15
1570	histone modification	15
1569	covalent chromatin modification	15
1612	peptidyl-amino acid modification	15
2692	protein acylation	15
571	protein acetylation	15
1634	peptidyl-lysine acetylation	15
1633	internal peptidyl-lysine acetylation	15
1573	histone acetylation	15
573	internal protein amino acid acetylation	15
1618	peptidyl-lysine modification	15
1649	regulation of metabolic process	15
1915	regulation of cellular metabolic process	15
3883	regulation of primary metabolic process	15
3454	regulation of macromolecule metabolic process	15
1647	regulation of nucleobase-containing compound metabolic process	15
3255	regulation of nitrogen compound metabolic process	15
3290	regulation of RNA metabolic process	15
4345	regulation of RNA biosynthetic process	15
496	regulation of transcription, DNA-templated	15
1264	regulation of gene expression	15
4256	regulation of cellular macromolecule biosynthetic process	15
1281	regulation of macromolecule biosynthetic process	15
1918	regulation of cellular biosynthetic process	15
1210	regulation of biosynthetic process	15
498	regulation of transcription from RNA polymerase II promoter	15
989	macromolecule biosynthetic process	15
2353	cellular macromolecule biosynthetic process	15
2767	cellular biosynthetic process	15
4127	organic substance biosynthetic process	15
988	biosynthetic process	15
505	transcription from RNA polymerase II promoter	15
4116	organic cyclic compound biosynthetic process	15
2776	cellular nitrogen compound biosynthetic process	15
1609	heterocycle biosynthetic process	15
1692	aromatic compound biosynthetic process	15
2355	nucleobase-containing compound biosynthetic process	15
2114	RNA biosynthetic process	15
492	transcription, DNA-templated	15
3164	positive regulation of biological process	15
3166	positive regulation of cellular process	15
1214	positive regulation of metabolic process	15
1917	positive regulation of cellular metabolic process	15
1295	positive regulation of macromolecule metabolic process	15
4228	positive regulation of RNA biosynthetic process	15
3292	positive regulation of RNA metabolic process	15
3257	positive regulation of nitrogen compound metabolic process	15
2928	positive regulation of nucleobase-containing compound metabolic process	15
1282	positive regulation of macromolecule biosynthetic process	15
1920	positive regulation of cellular biosynthetic process	15
1212	positive regulation of biosynthetic process	15
2905	positive regulation of transcription, DNA-templated	15
1300	positive regulation of gene expression	15
2934	positive regulation of transcription from RNA polymerase II promoter	15
3242	RNA polymerase II transcriptional preinitiation complex assembly	15
3662	DNA-templated transcriptional preinitiation complex assembly	15
506	transcription initiation from RNA polymerase II promoter	15
493	DNA-templated transcription, initiation	15
1296	negative regulation of macromolecule metabolic process	15
1213	negative regulation of metabolic process	15
1916	negative regulation of cellular metabolic process	15
2904	negative regulation of transcription, DNA-templated	15
1301	negative regulation of gene expression	15
4227	negative regulation of RNA biosynthetic process	15
3291	negative regulation of RNA metabolic process	15
3256	negative regulation of nitrogen compound metabolic process	15
2927	negative regulation of nucleobase-containing compound metabolic process	15
1919	negative regulation of cellular biosynthetic process	15
1211	negative regulation of biosynthetic process	15
4257	negative regulation of cellular macromolecule biosynthetic process	15
1283	negative regulation of macromolecule biosynthetic process	15
43	negative regulation of transcription from RNA polymerase II promoter	15
2711	RNA polyadenylation	16
1897	mRNA 3'-end processing	16
511	mRNA polyadenylation	16
508	termination of RNA polymerase II transcription	16
494	DNA-templated transcription, termination	16
1026	glycoprotein biosynthetic process	17
1025	glycoprotein metabolic process	17
3550	glycosylation	17
2671	macromolecule glycosylation	17
579	protein glycosylation	17
580	protein N-linked glycosylation	17
