oln_id_a	oln_id_b	oln_id_c	type_ac	type_bc	go_BP_count	go_BP_intersect_abc
30	YBR136W	YBL088C	YER095W	kd	kd	1	telomere organization
31	YBR136W	YBL088C	YGL175C	kd	kd	2	cellular response to DNA damage stimulus; telomere organization
32	YBR136W	YBL088C	YHR030C	kd	kd	1	protein phosphorylation
33	YBR136W	YBL088C	YJR060W	kd	kd	1	chromatin organization
34	YBR136W	YBL088C	YNL312W	kd	kd	2	cellular response to DNA damage stimulus; telomere organization
35	YBR136W	YBL088C	YNL312W	p	kd	2	cellular response to DNA damage stimulus; telomere organization
36	YBR136W	YBL088C	YOR189W	kd	kd	2	cellular response to DNA damage stimulus; telomere organization
37	YBR136W	YBL088C	YPL153C	kd	kd	2	cellular response to DNA damage stimulus; protein phosphorylation
38	YBR136W	YBL088C	YPL153C	kd	ku	2	cellular response to DNA damage stimulus; protein phosphorylation
39	YBR136W	YBL088C	YPL153C	ku	kd	2	cellular response to DNA damage stimulus; protein phosphorylation
40	YBR136W	YBL088C	YPL153C	ku	ku	2	cellular response to DNA damage stimulus; protein phosphorylation
41	YBR136W	YBL088C	YPL153C	p	kd	2	cellular response to DNA damage stimulus; protein phosphorylation
42	YBR136W	YBL088C	YPL153C	p	ku	2	cellular response to DNA damage stimulus; protein phosphorylation
43	YBR160W	YAL021C	YGR092W	kd	p	1	regulation of cell cycle
44	YBR160W	YAL021C	YGR092W	ku	p	1	regulation of cell cycle
45	YBR160W	YAL021C	YGR092W	p	p	1	regulation of cell cycle
46	YBR173C	YBL041W	YDL020C	tu	tu	1	proteolysis involved in cellular protein catabolic process
47	YBR173C	YBL041W	YER012W	p	p	1	proteolysis involved in cellular protein catabolic process
48	YBR173C	YBL041W	YER094C	p	p	1	proteolysis involved in cellular protein catabolic process
49	YBR173C	YBL041W	YGR253C	p	p	1	proteolysis involved in cellular protein catabolic process
50	YBR173C	YBL041W	YMR314W	p	p	1	proteolysis involved in cellular protein catabolic process
51	YBR173C	YBL041W	YOR157C	p	p	1	proteolysis involved in cellular protein catabolic process
52	YBR173C	YBL041W	YPR103W	p	p	1	proteolysis involved in cellular protein catabolic process
53	YBR215W	YBR009C	YBL008W	p	p	2	chromatin organization; transcription from RNA polymerase II promoter
54	YBR215W	YBR009C	YBL008W	p	tu	2	chromatin organization; transcription from RNA polymerase II promoter
55	YBR215W	YBR009C	YJL115W	p	p	2	chromatin organization; transcription from RNA polymerase II promoter
56	YBR215W	YBR009C	YOR038C	p	tu	2	chromatin organization; transcription from RNA polymerase II promoter
57	YBR215W	YBR010W	YBL008W	p	p	1	chromatin organization
58	YBR215W	YBR010W	YBL008W	p	tu	1	chromatin organization
59	YBR215W	YBR010W	YJL115W	p	p	1	chromatin organization
60	YBR215W	YBR010W	YOR038C	p	p	1	chromatin organization
61	YBR215W	YBR010W	YOR038C	p	tu	1	chromatin organization
62	YBR260C	YBL105C	YHR030C	ku	kd	1	signaling
63	YBR260C	YBL105C	YHR030C	ku	ku	1	signaling
64	YBR260C	YBL105C	YJL095W	ku	kd	1	signaling
65	YBR260C	YBL105C	YJL095W	ku	ku	1	signaling
66	YBR260C	YBL105C	YJL095W	ku	p	1	signaling
67	YBR260C	YBL105C	YOR231W	ku	kd	1	signaling
68	YBR260C	YBL105C	YOR231W	ku	ku	1	signaling
69	YBR289W	YBL021C	YKL109W	p	p	2	response to chemical; transcription from RNA polymerase II promoter
70	YCL010C	YBL052C	YBR010W	p	p	1	chromatin organization
71	YCL010C	YBL052C	YNL031C	p	p	1	chromatin organization
72	YCL010C	YBR111W-A	YBR010W	p	p	1	chromatin organization
73	YCL010C	YBR111W-A	YBR081C	p	p	3	chromatin organization; histone modification; peptidyl-amino acid modification
74	YCL010C	YBR111W-A	YDR145W	p	p	4	chromatin organization; histone modification; peptidyl-amino acid modification; transcription from RNA polymerase II promoter
75	YCL010C	YBR111W-A	YDR176W	p	p	3	chromatin organization; histone modification; peptidyl-amino acid modification
76	YCL010C	YBR111W-A	YDR448W	p	p	4	chromatin organization; histone modification; peptidyl-amino acid modification; transcription from RNA polymerase II promoter
77	YCL010C	YBR111W-A	YGL066W	p	p	4	chromatin organization; histone modification; peptidyl-amino acid modification; transcription from RNA polymerase II promoter
78	YCL010C	YBR111W-A	YGL112C	p	p	4	chromatin organization; histone modification; peptidyl-amino acid modification; transcription from RNA polymerase II promoter
79	YCL010C	YBR111W-A	YGR252W	p	p	4	chromatin organization; histone modification; peptidyl-amino acid modification; transcription from RNA polymerase II promoter
80	YCL010C	YBR111W-A	YLR055C	p	p	4	chromatin organization; histone modification; peptidyl-amino acid modification; transcription from RNA polymerase II promoter
81	YCL010C	YBR111W-A	YMR223W	p	p	3	chromatin organization; histone modification; peptidyl-amino acid modification
82	YCL010C	YBR111W-A	YPL047W	p	p	3	chromatin organization; histone modification; transcription from RNA polymerase II promoter
83	YCL029C	YAL024C	YBR160W	ku	ku	4	chromosome segregation; mitotic cell cycle; organelle fission; regulation of organelle organization
84	YCL029C	YAL024C	YBR160W	ku	p	4	chromosome segregation; mitotic cell cycle; organelle fission; regulation of organelle organization
85	YCL029C	YBR135W	YBR160W	ku	ku	1	mitotic cell cycle
86	YCL029C	YBR135W	YBR160W	ku	p	1	mitotic cell cycle
87	YCL029C	YBR160W	YJL106W	ku	kd	2	organelle fission; regulation of organelle organization
88	YCL029C	YBR160W	YJL106W	ku	ku	2	organelle fission; regulation of organelle organization
89	YCL029C	YBR160W	YLR045C	p	kd	3	cytoskeleton organization; mitotic cell cycle; organelle fission
90	YCL029C	YBR160W	YLR045C	p	p	3	cytoskeleton organization; mitotic cell cycle; organelle fission
91	YCL029C	YBR160W	YPL155C	p	kd	2	cytoskeleton organization; regulation of organelle organization
92	YCL029C	YBR160W	YPL155C	p	p	2	cytoskeleton organization; regulation of organelle organization
93	YCL029C	YBR160W	YPL269W	p	kd	5	chromosome segregation; cytoskeleton organization; mitotic cell cycle; organelle fission; regulation of organelle organization
94	YCL029C	YBR160W	YPL269W	p	p	5	chromosome segregation; cytoskeleton organization; mitotic cell cycle; organelle fission; regulation of organelle organization
95	YCL061C	YAR002W	YNL273W	p	p	2	DNA repair; cellular response to DNA damage stimulus
96	YCL061C	YAR002W	YPL153C	ku	ku	2	DNA repair; cellular response to DNA damage stimulus
97	YCL061C	YAR002W	YPL153C	p	ku	2	DNA repair; cellular response to DNA damage stimulus
98	YCL061C	YAR007C	YBL023C	p	p	3	DNA repair; DNA replication; cellular response to DNA damage stimulus
99	YCL061C	YAR007C	YBR136W	ku	ku	4	DNA replication; cellular response to DNA damage stimulus; organelle fission; telomere organization
100	YCL061C	YAR007C	YBR136W	ku	p	4	DNA replication; cellular response to DNA damage stimulus; organelle fission; telomere organization
101	YCL061C	YAR007C	YLR103C	p	p	3	DNA repair; DNA replication; cellular response to DNA damage stimulus
102	YCL061C	YBL023C	YDR489W	p	p	3	DNA repair; DNA replication; cellular response to DNA damage stimulus
103	YCL061C	YBL023C	YEL032W	p	p	3	DNA repair; DNA replication; cellular response to DNA damage stimulus
104	YCL061C	YBL023C	YGL201C	p	p	3	DNA repair; DNA replication; cellular response to DNA damage stimulus
105	YCL061C	YBL023C	YLR103C	p	p	3	DNA repair; DNA replication; cellular response to DNA damage stimulus
106	YCL061C	YBL023C	YMR048W	p	p	3	DNA repair; DNA replication; cellular response to DNA damage stimulus
107	YCL061C	YBL023C	YNL262W	p	p	3	DNA repair; DNA replication; cellular response to DNA damage stimulus
108	YCL061C	YBL023C	YNL273W	p	p	3	DNA repair; DNA replication; cellular response to DNA damage stimulus
109	YCL061C	YBL023C	YOR080W	p	p	1	DNA replication
110	YCL061C	YBL023C	YPR019W	p	p	3	DNA repair; DNA replication; cellular response to DNA damage stimulus
111	YCL061C	YBR136W	YGL201C	p	kd	2	DNA replication; cellular response to DNA damage stimulus
112	YCL061C	YBR136W	YPL153C	ku	kd	2	DNA replication; cellular response to DNA damage stimulus
113	YCL061C	YBR136W	YPL153C	ku	ku	2	DNA replication; cellular response to DNA damage stimulus
114	YCL061C	YBR136W	YPL153C	ku	p	2	DNA replication; cellular response to DNA damage stimulus
115	YCL061C	YBR136W	YPL153C	p	kd	2	DNA replication; cellular response to DNA damage stimulus
116	YCL061C	YBR136W	YPL153C	p	ku	2	DNA replication; cellular response to DNA damage stimulus
117	YCL061C	YBR136W	YPL153C	p	p	2	DNA replication; cellular response to DNA damage stimulus
118	YCL061C	YBR136W	YPR019W	p	kd	2	DNA replication; cellular response to DNA damage stimulus
119	YCL061C	YBR202W	YBL023C	p	p	3	DNA repair; DNA replication; cellular response to DNA damage stimulus
120	YCL061C	YBR202W	YDR489W	p	p	3	DNA repair; DNA replication; cellular response to DNA damage stimulus
121	YCL061C	YBR202W	YEL032W	p	p	4	DNA repair; DNA replication; cellular response to DNA damage stimulus; chromatin organization
122	YCL061C	YBR202W	YGL201C	p	p	3	DNA repair; DNA replication; cellular response to DNA damage stimulus
123	YCL061C	YBR202W	YLR103C	p	p	4	DNA repair; DNA replication; cellular response to DNA damage stimulus; chromatin organization
124	YCL061C	YBR202W	YPR019W	p	p	3	DNA repair; DNA replication; cellular response to DNA damage stimulus
125	YCR009C	YBR234C	YOR181W	p	p	1	cytoskeleton organization
126	YCR063W	YAL032C	YDL209C	p	p	2	RNA splicing; mRNA processing
127	YCR063W	YAL032C	YER013W	p	p	2	RNA splicing; mRNA processing
128	YCR063W	YAL032C	YLL036C	p	p	2	RNA splicing; mRNA processing
129	YCR063W	YAL032C	YMR213W	p	p	2	RNA splicing; mRNA processing
130	YCR063W	YBR055C	YER172C	p	p	2	RNA splicing; mRNA processing
131	YCR063W	YBR055C	YHR165C	p	p	2	RNA splicing; mRNA processing
132	YCR063W	YBR065C	YDL209C	p	p	2	RNA splicing; mRNA processing
133	YCR063W	YBR065C	YLL036C	p	p	2	RNA splicing; mRNA processing
134	YCR063W	YBR065C	YMR213W	p	p	2	RNA splicing; mRNA processing
135	YCR066W	YBR114W	YDR510W	p	p	1	protein modification by small protein conjugation or removal
136	YCR077C	YBR135W	YIL131C	tu	tu	1	chromatin organization
137	YCR086W	YBL097W	YLR086W	p	p	2	chromosome segregation; organelle fission
138	YCR088W	YBL007C	YBR160W	ku	ku	1	cytoskeleton organization
139	YCR088W	YBL007C	YHR016C	p	p	1	cytoskeleton organization
140	YCR088W	YBL007C	YIL095W	ku	ku	1	cytoskeleton organization
141	YCR088W	YBL007C	YIL095W	ku	p	1	cytoskeleton organization
142	YCR088W	YBL007C	YIL095W	p	ku	1	cytoskeleton organization
143	YCR088W	YBL007C	YIL095W	p	p	1	cytoskeleton organization
144	YCR088W	YBL007C	YNL020C	ku	ku	1	cytoskeleton organization
145	YCR088W	YBL007C	YNL020C	ku	p	1	cytoskeleton organization
146	YCR088W	YBL007C	YNL020C	p	ku	1	cytoskeleton organization
147	YCR088W	YBL007C	YNL020C	p	p	1	cytoskeleton organization
148	YCR088W	YBL007C	YNL094W	p	p	1	cytoskeleton organization
149	YCR088W	YBL007C	YOR181W	p	p	2	cytoskeleton organization; protein complex biogenesis
150	YDL007W	YBR272C	YDR363W-A	p	p	1	protein complex biogenesis
151	YDL007W	YBR272C	YDR394W	p	p	1	protein complex biogenesis
152	YDL007W	YBR272C	YFR004W	p	p	1	protein complex biogenesis
153	YDL007W	YBR272C	YGL004C	p	p	1	protein complex biogenesis
154	YDL007W	YBR272C	YGL048C	p	p	1	protein complex biogenesis
155	YDL007W	YBR272C	YGR232W	p	p	1	protein complex biogenesis
156	YDL007W	YBR272C	YIL075C	p	p	1	protein complex biogenesis
157	YDL007W	YBR272C	YKL145W	p	p	1	protein complex biogenesis
158	YDL007W	YBR272C	YOR117W	p	p	1	protein complex biogenesis
159	YDL008W	YBL084C	YDR118W	p	p	2	protein modification by small protein conjugation or removal; proteolysis involved in cellular protein catabolic process
160	YDL008W	YBL084C	YDR260C	p	p	2	protein modification by small protein conjugation or removal; proteolysis involved in cellular protein catabolic process
161	YDL008W	YBL084C	YFR036W	p	p	2	protein modification by small protein conjugation or removal; proteolysis involved in cellular protein catabolic process
162	YDL008W	YBL084C	YGL240W	p	p	2	protein modification by small protein conjugation or removal; proteolysis involved in cellular protein catabolic process
163	YDL008W	YBL084C	YHR166C	p	p	2	protein modification by small protein conjugation or removal; proteolysis involved in cellular protein catabolic process
164	YDL008W	YBL084C	YKL022C	p	p	2	protein modification by small protein conjugation or removal; proteolysis involved in cellular protein catabolic process
165	YDL008W	YBL084C	YLR102C	p	p	1	protein modification by small protein conjugation or removal
166	YDL008W	YBL084C	YLR127C	p	p	2	protein modification by small protein conjugation or removal; proteolysis involved in cellular protein catabolic process
167	YDL008W	YBL084C	YNL172W	p	p	2	protein modification by small protein conjugation or removal; proteolysis involved in cellular protein catabolic process
168	YDL008W	YBL084C	YOR249C	p	p	2	protein modification by small protein conjugation or removal; proteolysis involved in cellular protein catabolic process
169	YDL017W	YAR007C	YBL023C	kd	p	4	DNA recombination; DNA repair; DNA replication; cellular response to DNA damage stimulus
170	YDL017W	YAR007C	YBL023C	p	p	4	DNA recombination; DNA repair; DNA replication; cellular response to DNA damage stimulus
171	YDL017W	YAR007C	YLR103C	kd	p	4	DNA recombination; DNA repair; DNA replication; cellular response to DNA damage stimulus
172	YDL017W	YBR060C	YBR160W	ku	ku	3	DNA replication; chromatin organization; peptidyl-amino acid modification
173	YDL017W	YBR060C	YBR160W	ku	p	3	DNA replication; chromatin organization; peptidyl-amino acid modification
174	YDL017W	YBR060C	YDR052C	kd	p	1	DNA replication
175	YDL017W	YBR060C	YDR052C	p	p	1	DNA replication
176	YDL017W	YBR060C	YNL068C	tu	p	2	DNA replication; chromatin organization
177	YDL017W	YBR133C	YNL068C	tu	tu	2	mitotic cell cycle; regulation of cell cycle
178	YDL020C	YBL041W	YDL147W	td	p	1	proteolysis involved in cellular protein catabolic process
179	YDL020C	YBL041W	YER012W	td	p	1	proteolysis involved in cellular protein catabolic process
180	YDL020C	YBL041W	YER094C	td	p	1	proteolysis involved in cellular protein catabolic process
181	YDL020C	YBL041W	YFR004W	td	p	1	proteolysis involved in cellular protein catabolic process
182	YDL020C	YBL041W	YFR050C	td	p	1	proteolysis involved in cellular protein catabolic process
183	YDL020C	YBL041W	YGR253C	td	p	1	proteolysis involved in cellular protein catabolic process
184	YDL020C	YBL041W	YMR314W	td	p	1	proteolysis involved in cellular protein catabolic process
185	YDL020C	YBL058W	YDL126C	td	p	2	proteolysis involved in cellular protein catabolic process; response to chemical
186	YDL020C	YBR272C	YGL048C	td	p	2	DNA repair; cellular response to DNA damage stimulus
187	YDL020C	YBR272C	YOR259C	td	p	2	DNA repair; cellular response to DNA damage stimulus
188	YDL028C	YBR107C	YIR010W	kd	p	2	chromosome segregation; organelle fission
189	YDL028C	YCR065W	YBR160W	ku	ku	1	cytoskeleton organization
190	YDL028C	YCR065W	YBR160W	ku	p	1	cytoskeleton organization
191	YDL029W	YBL061C	YHR030C	p	ku	1	cell wall organization or biogenesis
192	YDL029W	YBR234C	YIL062C	p	p	1	cytoskeleton organization
193	YDL029W	YBR234C	YIL095W	ku	ku	1	cytoskeleton organization
194	YDL029W	YBR234C	YIL095W	p	ku	1	cytoskeleton organization
195	YDL029W	YBR234C	YJR065C	p	p	3	cytoskeleton organization; protein complex biogenesis; regulation of organelle organization
196	YDL029W	YBR234C	YKL013C	p	p	1	cytoskeleton organization
197	YDL029W	YBR234C	YLR337C	p	p	1	cytoskeleton organization
198	YDL029W	YBR234C	YLR370C	p	p	1	cytoskeleton organization
199	YDL029W	YBR234C	YNR035C	p	p	1	cytoskeleton organization
200	YDL029W	YBR234C	YOR181W	p	p	3	cytoskeleton organization; protein complex biogenesis; regulation of organelle organization
201	YDL029W	YCR009C	YOR181W	p	p	1	cytoskeleton organization
202	YDL029W	YCR088W	YFL039C	p	p	1	cytoskeleton organization
203	YDL029W	YCR088W	YIL095W	ku	ku	1	cytoskeleton organization
204	YDL029W	YCR088W	YIL095W	ku	p	1	cytoskeleton organization
205	YDL029W	YCR088W	YIL095W	p	ku	1	cytoskeleton organization
206	YDL029W	YCR088W	YIL095W	p	p	1	cytoskeleton organization
207	YDL029W	YCR088W	YJR065C	p	p	3	cytoskeleton organization; protein complex biogenesis; regulation of organelle organization
208	YDL029W	YCR088W	YOR181W	p	p	3	cytoskeleton organization; protein complex biogenesis; regulation of organelle organization
209	YDL030W	YBR119W	YLL036C	p	p	2	RNA splicing; mRNA processing
210	YDL030W	YBR119W	YOR308C	p	p	2	RNA splicing; mRNA processing
211	YDL030W	YBR119W	YPL213W	p	p	2	RNA splicing; mRNA processing
212	YDL043C	YBR119W	YKL074C	p	p	2	RNA splicing; mRNA processing
213	YDL043C	YBR119W	YLL036C	p	p	2	RNA splicing; mRNA processing
214	YDL043C	YBR119W	YOR308C	p	p	2	RNA splicing; mRNA processing
215	YDL043C	YBR119W	YPL213W	p	p	2	RNA splicing; mRNA processing
216	YDL056W	YBR133C	YDR507C	td	ku	1	mitotic cell cycle
217	YDL056W	YBR133C	YJL187C	td	ku	1	mitotic cell cycle
218	YDL056W	YBR133C	YJL187C	td	p	1	mitotic cell cycle
219	YDL064W	YBR098W	YMR001C	ku	p	2	chromosome segregation; organelle fission
220	YDL084W	YAR002W	YDR381W	p	p	4	DNA repair; cellular response to DNA damage stimulus; nuclear transport; nucleobase-containing compound transport
221	YDL084W	YCR077C	YIL131C	tu	tu	1	chromatin organization
222	YDL087C	YBR119W	YGR013W	p	p	2	RNA splicing; mRNA processing
223	YDL087C	YBR119W	YHR086W	p	p	2	RNA splicing; mRNA processing
224	YDL087C	YBR119W	YPL213W	p	p	2	RNA splicing; mRNA processing
225	YDL088C	YBL079W	YKL068W	p	p	2	nuclear transport; nucleus organization
226	YDL088C	YBL079W	YML031W	p	p	2	nuclear transport; nucleus organization
227	YDL088C	YBL079W	YMR047C	p	p	2	nuclear transport; nucleus organization
228	YDL088C	YBL079W	YMR129W	p	p	2	nuclear transport; nucleus organization
229	YDL088C	YBL079W	YMR153W	p	p	2	nuclear transport; nucleus organization
230	YDL098C	YBL026W	YER172C	p	p	2	RNA splicing; mRNA processing
231	YDL098C	YBR152W	YER172C	p	p	2	RNA splicing; mRNA processing
232	YDL098C	YBR152W	YGR075C	p	p	2	RNA splicing; mRNA processing
233	YDL101C	YAR007C	YBL088C	ku	ku	1	cellular response to DNA damage stimulus
234	YDL101C	YAR007C	YBR136W	ku	ku	2	DNA replication; cellular response to DNA damage stimulus
235	YDL101C	YAR007C	YBR136W	ku	p	2	DNA replication; cellular response to DNA damage stimulus
236	YDL108W	YBR009C	YLR071C	kd	p	1	transcription from RNA polymerase II promoter
237	YDL108W	YBR253W	YDL140C	kd	p	1	transcription from RNA polymerase II promoter
238	YDL108W	YBR253W	YDL140C	p	p	1	transcription from RNA polymerase II promoter
239	YDL108W	YBR253W	YLR071C	kd	p	1	transcription from RNA polymerase II promoter
240	YDL108W	YBR253W	YPL248C	kd	p	1	transcription from RNA polymerase II promoter
241	YDL126C	YBL058W	YDL020C	tu	tu	2	proteolysis involved in cellular protein catabolic process; response to chemical
242	YDL126C	YBL058W	YDL190C	p	p	2	proteolysis involved in cellular protein catabolic process; response to chemical
243	YDL126C	YBL058W	YKL213C	p	p	1	proteolysis involved in cellular protein catabolic process
244	YDL126C	YBR173C	YDL020C	tu	tu	1	proteolysis involved in cellular protein catabolic process
245	YDL126C	YBR173C	YER012W	p	p	1	proteolysis involved in cellular protein catabolic process
246	YDL139C	YBR156C	YGR140W	p	p	1	chromosome segregation
247	YDL140C	YBR154C	YDR404C	p	p	1	transcription from RNA polymerase II promoter
248	YDL140C	YBR154C	YER139C	p	p	1	transcription from RNA polymerase II promoter
249	YDL140C	YBR154C	YGL070C	p	p	1	transcription from RNA polymerase II promoter
250	YDL140C	YBR154C	YGR005C	p	p	1	transcription from RNA polymerase II promoter
251	YDL140C	YBR154C	YGR063C	p	p	1	transcription from RNA polymerase II promoter
252	YDL140C	YBR154C	YGR186W	p	p	1	transcription from RNA polymerase II promoter
253	YDL140C	YBR154C	YGR200C	p	p	1	transcription from RNA polymerase II promoter
254	YDL140C	YBR154C	YHR143W-A	p	p	1	transcription from RNA polymerase II promoter
255	YDL140C	YBR154C	YIL021W	p	p	1	transcription from RNA polymerase II promoter
256	YDL140C	YBR154C	YJL140W	p	p	1	transcription from RNA polymerase II promoter
257	YDL140C	YBR154C	YLR384C	p	p	1	transcription from RNA polymerase II promoter
258	YDL140C	YBR154C	YML010W	p	p	1	transcription from RNA polymerase II promoter
259	YDL140C	YBR154C	YOL005C	p	p	1	transcription from RNA polymerase II promoter
260	YDL140C	YBR154C	YOR151C	p	p	1	transcription from RNA polymerase II promoter
261	YDL140C	YBR154C	YOR224C	p	p	1	transcription from RNA polymerase II promoter
262	YDL140C	YBR154C	YPL129W	p	p	1	transcription from RNA polymerase II promoter
263	YDL140C	YBR154C	YPR187W	p	p	1	transcription from RNA polymerase II promoter
264	YDL145C	YBR080C	YGL137W	p	p	1	Golgi vesicle transport
265	YDL148C	YCL031C	YDR299W	p	p	2	rRNA processing; ribosomal small subunit biogenesis
266	YDL148C	YCR057C	YDR299W	p	p	2	rRNA processing; ribosomal small subunit biogenesis
267	YDL148C	YCR057C	YGR128C	p	p	2	rRNA processing; ribosomal small subunit biogenesis
268	YDL148C	YCR057C	YJR002W	p	p	2	rRNA processing; ribosomal small subunit biogenesis
269	YDL148C	YCR057C	YOR310C	p	p	2	rRNA processing; ribosomal small subunit biogenesis
270	YDL148C	YCR057C	YPL217C	p	p	2	rRNA processing; ribosomal small subunit biogenesis
271	YDL150W	YBR123C	YGR047C	p	p	1	transcription from RNA polymerase III promoter
272	YDL150W	YBR154C	YOR116C	p	p	1	transcription from RNA polymerase III promoter
273	YDL150W	YBR154C	YOR207C	p	p	1	transcription from RNA polymerase III promoter
274	YDL153C	YCL059C	YJR002W	p	p	2	rRNA processing; ribosomal small subunit biogenesis
275	YDL156W	YAR007C	YMR106C	p	p	1	cellular response to DNA damage stimulus
276	YDL156W	YAR007C	YNL031C	p	p	1	cellular response to DNA damage stimulus
277	YDL165W	YCR093W	YAL021C	p	p	4	DNA-templated transcription, elongation; RNA catabolic process; regulation of cell cycle; transcription from RNA polymerase II promoter
278	YDL165W	YCR093W	YDR443C	p	p	2	response to chemical; transcription from RNA polymerase II promoter
279	YDL165W	YCR093W	YER068W	p	p	3	DNA-templated transcription, elongation; RNA catabolic process; transcription from RNA polymerase II promoter
280	YDL165W	YCR093W	YIL038C	p	p	3	DNA-templated transcription, elongation; RNA catabolic process; transcription from RNA polymerase II promoter
281	YDL165W	YCR093W	YNL025C	p	p	2	response to chemical; transcription from RNA polymerase II promoter
282	YDL165W	YCR093W	YNL288W	p	p	2	DNA-templated transcription, elongation; transcription from RNA polymerase II promoter
283	YDL165W	YCR093W	YNR052C	p	p	3	DNA-templated transcription, elongation; RNA catabolic process; transcription from RNA polymerase II promoter
284	YDL165W	YCR093W	YPR072W	p	p	3	DNA-templated transcription, elongation; RNA catabolic process; transcription from RNA polymerase II promoter
285	YDL190C	YCL008C	YLL039C	p	p	1	protein modification by small protein conjugation or removal
286	YDL192W	YBR164C	YDL226C	p	p	1	Golgi vesicle transport
287	YDL192W	YBR164C	YER122C	p	p	1	Golgi vesicle transport
288	YDL203C	YBL105C	YHR030C	ku	kd	2	cell wall organization or biogenesis; signaling
289	YDL203C	YBL105C	YHR030C	ku	ku	2	cell wall organization or biogenesis; signaling
290	YDL203C	YBL105C	YJL095W	ku	kd	2	cell wall organization or biogenesis; signaling
291	YDL203C	YBL105C	YJL095W	ku	ku	2	cell wall organization or biogenesis; signaling
292	YDL203C	YBL105C	YJL095W	ku	p	2	cell wall organization or biogenesis; signaling
293	YDL203C	YBR260C	YHR030C	ku	ku	1	signaling
294	YDL203C	YBR260C	YJL095W	ku	ku	1	signaling
295	YDL207W	YAR002W	YML103C	p	p	2	nuclear transport; nucleobase-containing compound transport
296	YDL207W	YAR002W	YMR047C	p	p	2	nuclear transport; nucleobase-containing compound transport
297	YDL207W	YBL079W	YDL116W	p	p	1	nuclear transport
298	YDL207W	YBL079W	YGL092W	p	p	1	nuclear transport
299	YDL207W	YBL079W	YJL061W	p	p	1	nuclear transport
300	YDL207W	YBL079W	YKL068W	p	p	1	nuclear transport
301	YDL207W	YBL079W	YMR047C	p	p	1	nuclear transport
302	YDL208W	YDL014W	YGL120C	p	p	1	rRNA processing
303	YDL208W	YDL014W	YHR072W-A	p	p	2	RNA modification; rRNA processing
304	YDL208W	YDL014W	YHR089C	p	p	1	RNA modification
305	YDL208W	YDL014W	YLR175W	p	p	2	RNA modification; rRNA processing
306	YDL208W	YDL014W	YMR229C	p	p	1	rRNA processing
307	YDL209C	YBL074C	YER029C	p	p	2	RNA splicing; mRNA processing
308	YDL209C	YBL074C	YER172C	p	p	2	RNA splicing; mRNA processing
309	YDL209C	YBL074C	YGR074W	p	p	2	RNA splicing; mRNA processing
310	YDL209C	YBL074C	YHR165C	p	p	2	RNA splicing; mRNA processing
311	YDL209C	YBL074C	YKL173W	p	p	2	RNA splicing; mRNA processing
312	YDL213C	YCL059C	YMR229C	p	p	1	ribosomal small subunit biogenesis
