gene_name_a	oln_id_a	gene_description_a	gene_name_b	oln_id_b	gene_description_b	type
MATALPHA1	YCR040W	Mating-type protein ALPHA1	HMLALPHA1	YCL066W	Silenced mating-type protein ALPHA1	paralog
HMRA2	YCR096C	Silenced mating-type protein A2	HMLALPHA2	YCL067C	Silenced mating-type protein ALPHA2	paralog
HMRA2	YCR096C	Silenced mating-type protein A2	MATALPHA2	YCR039C	Mating-type protein ALPHA2	paralog
PAU3	YCR104W	Seripauperin-3	PAU8	YAL068C	Seripauperin-8 precursor	paralog
PAU3	YCR104W	Seripauperin-3	PAU24	YBR301W	Seripauperin-24 precursor	paralog
GRX6	YDL010W	Monothiol glutaredoxin-6 precursor	GRX7	YBR014C	Monothiol glutaredoxin-7 precursor	ohnolog
NA	YDL012C	Cysteine-rich and transmembrane domain-containing protein YDL012C	NA	YBR016W	Uncharacterized protein YBR016W	ohnolog
OSH2	YDL019C	Oxysterol-binding protein homolog 2	SWH1	YAR042W	Oxysterol-binding protein homolog 1	ohnolog, paralog
DIA3	YDL024C	Probable acid phosphatase DIA3 precursor	PHO11	YAR071W	Acid phosphatase PHO11 precursor	paralog
DIA3	YDL024C	Probable acid phosphatase DIA3 precursor	PHO3	YBR092C	Constitutive acid phosphatase precursor	paralog
DIA3	YDL024C	Probable acid phosphatase DIA3 precursor	PHO5	YBR093C	Repressible acid phosphatase precursor	paralog
PMT1	YDL095W	Dolichyl-phosphate-mannose--protein mannosyltransferase 1 {ECO:0000305}	PMT5	YDL093W	Dolichyl-phosphate-mannose--protein mannosyltransferase 5 {ECO:0000305}	paralog
PCL9	YDL179W	PHO85 cyclin-9	PCL2	YDL127W	PHO85 cyclin-2	ohnolog
INH1	YDL181W	ATPase inhibitor, mitochondrial precursor	STF1	YDL130W-A	ATPase-stabilizing factor 9 kDa, mitochondrial precursor	ohnolog
LYS20	YDL182W	Homocitrate synthase, cytosolic isozyme	LYS21	YDL131W	Homocitrate synthase, mitochondrial precursor	ohnolog, paralog
RPL41A	YDL184C	60S ribosomal protein L41-A	RPL41B	YDL133C-A	60S ribosomal protein L41-B	ohnolog
PPH22	YDL188C	Serine/threonine-protein phosphatase PP2A-2 catalytic subunit	PPH21	YDL134C	Serine/threonine-protein phosphatase PP2A-1 catalytic subunit	ohnolog, paralog
RPL35A	YDL191W	60S ribosomal protein L35-A	RPL35B	YDL136W	60S ribosomal protein L35-B	ohnolog, paralog
ARF1	YDL192W	ADP-ribosylation factor 1	ARF2	YDL137W	ADP-ribosylation factor 2	ohnolog
SNF3	YDL194W	High-affinity glucose transporter SNF3	RGT2	YDL138W	High-affinity glucose transporter RGT2	ohnolog, paralog
SSB1	YDL229W	Heat shock protein SSB1	SSA1	YAL005C	Heat shock protein SSA1	paralog
SSB1	YDL229W	Heat shock protein SSB1	SSA3	YBL075C	Heat shock protein SSA3	paralog
AAD4	YDL243C	Probable aryl-alcohol dehydrogenase AAD4	AAD3	YCR107W	Putative aryl-alcohol dehydrogenase AAD3	paralog
MPH2	YDL247W	Alpha-glucosides permease MPH2	MAL31	YBR298C	Maltose permease MAL31	paralog
COS7	YDL248W	Protein COS7	UIP3	YAR027W	ULP1-interacting protein 3	paralog
COS7	YDL248W	Protein COS7	NA	YAR028W	DUP240 protein YAR028W	paralog
COS7	YDL248W	Protein COS7	PRM9	YAR031W	Pheromone-regulated membrane protein 9	paralog
COS7	YDL248W	Protein COS7	MST28	YAR033W	Multicopy suppressor of SEC21 protein 28	paralog
COS7	YDL248W	Protein COS7	COS2	YBR302C	Protein COS2	paralog
COS7	YDL248W	Protein COS7	NA	YCR007C	DUP240 protein YCR007C	paralog
NTH1	YDR001C	Neutral trehalase	NTH2	YBR001C	Probable trehalase	ohnolog, paralog
RCR2	YDR003W	Protein RCR2	RCR1	YBR005W	Protein RCR1	ohnolog, paralog
GAL3	YDR009W	Protein GAL3	GAL1	YBR020W	Galactokinase	ohnolog, paralog
RPL4B	YDR012W	60S ribosomal protein L4-B	RPL4A	YBR031W	60S ribosomal protein L4-A	ohnolog, paralog
NA	YDR018C	Uncharacterized acyltransferase YDR018C	CST26	YBR042C	Uncharacterized acyltransferase CST26	ohnolog
RPS11A	YDR025W	40S ribosomal protein S11-A	RPS11B	YBR048W	40S ribosomal protein S11-B	ohnolog, paralog
NSI1	YDR026C	RNA polymerase I termination factor {ECO:0000303|PubMed:22805593}	REB1	YBR049C	DNA-binding protein REB1	ohnolog
REG1	YDR028C	Resistance to glucose repression protein 1	REG2	YBR050C	Protein REG2	ohnolog
PST2	YDR032C	Protoplast secreted protein 2 precursor	RFS1	YBR052C	Protein RFS1	ohnolog
MRH1	YDR033W	Protein MRH1	YRO2	YBR054W	Protein YRO2	ohnolog, paralog
TY2A-DR1	YDR034C-C	Transposon Ty2-DR1 Gag polyprotein	TY1A-A	YAR010C	Transposon Ty1-A Gag polyprotein	paralog
TY2A-DR1	YDR034C-C	Transposon Ty2-DR1 Gag polyprotein	TY1A-BL	YBL005W-A	Transposon Ty1-BL Gag polyprotein	paralog
TY2A-DR1	YDR034C-C	Transposon Ty2-DR1 Gag polyprotein	TY2A-B	YBL100W-A	Transposon Ty2-B Gag polyprotein	paralog
TY2A-DR1	YDR034C-C	Transposon Ty2-DR1 Gag polyprotein	TY2B-B	YBL100W-B	Transposon Ty2-B Gag-Pol polyprotein	paralog
TY2A-DR1	YDR034C-C	Transposon Ty2-DR1 Gag polyprotein	TY1A-BR	YBR012W-A	Transposon Ty1-BR Gag polyprotein	paralog
TY2A-DR1	YDR034C-C	Transposon Ty2-DR1 Gag polyprotein	TY2B-C	YCL019W	Transposon Ty2-C Gag-Pol polyprotein	paralog
TY2A-DR1	YDR034C-C	Transposon Ty2-DR1 Gag polyprotein	TY2A-C	YCL020W	Transposon Ty2-C Gag polyprotein	paralog
TY2B-DR1	YDR034C-D	Transposon Ty2-DR1 Gag-Pol polyprotein	TY1B-A	YAR009C	Truncated transposon Ty1-A Gag-Pol polyprotein	paralog
TY2B-DR1	YDR034C-D	Transposon Ty2-DR1 Gag-Pol polyprotein	TY1B-BL	YBL005W-B	Transposon Ty1-BL Gag-Pol polyprotein	paralog
TY2B-DR1	YDR034C-D	Transposon Ty2-DR1 Gag-Pol polyprotein	TY2A-B	YBL100W-A	Transposon Ty2-B Gag polyprotein	paralog
TY2B-DR1	YDR034C-D	Transposon Ty2-DR1 Gag-Pol polyprotein	TY2B-B	YBL100W-B	Transposon Ty2-B Gag-Pol polyprotein	paralog
TY2B-DR1	YDR034C-D	Transposon Ty2-DR1 Gag-Pol polyprotein	TY1B-BR	YBR012W-B	Transposon Ty1-BR Gag-Pol polyprotein	paralog
TY2B-DR1	YDR034C-D	Transposon Ty2-DR1 Gag-Pol polyprotein	TY2B-C	YCL019W	Transposon Ty2-C Gag-Pol polyprotein	paralog
TY2B-DR1	YDR034C-D	Transposon Ty2-DR1 Gag-Pol polyprotein	TY2A-C	YCL020W	Transposon Ty2-C Gag polyprotein	paralog
TY2B-DR1	YDR034C-D	Transposon Ty2-DR1 Gag-Pol polyprotein	TY2A-DR1	YDR034C-C	Transposon Ty2-DR1 Gag polyprotein	paralog
NA	YDR034W-B	Cysteine-rich and transmembrane domain-containing protein YDR034W-B	NA	YBR056W-A	Uncharacterized protein YBR056W-A	ohnolog
ENA2	YDR039C	Sodium transport ATPase 2	ENA5	YDR038C	Sodium transport ATPase 5	paralog
ENA1	YDR040C	Sodium transport ATPase 1	ENA5	YDR038C	Sodium transport ATPase 5	paralog
ENA1	YDR040C	Sodium transport ATPase 1	ENA2	YDR039C	Sodium transport ATPase 2	paralog
NRG1	YDR043C	Transcriptional regulator NRG1	NRG2	YBR066C	Probable transcriptional regulator NRG2	ohnolog, paralog
BAP3	YDR046C	Valine amino-acid permease	BAP2	YBR068C	Leu/Val/Ile amino-acid permease	ohnolog, paralog
BAP3	YDR046C	Valine amino-acid permease	AGP1	YCL025C	General amino acid permease AGP1	paralog
PST1	YDR055W	Cell wall mannoprotein PST1 precursor	ECM33	YBR078W	Cell wall protein ECM33 precursor	ohnolog
UBC5	YDR059C	Ubiquitin-conjugating enzyme E2-16 kDa	UBC4	YBR082C	Ubiquitin-conjugating enzyme E2 4	ohnolog
DNF2	YDR093W	Phospholipid-transporting ATPase DNF2	DRS2	YAL026C	Probable phospholipid-transporting ATPase DRS2	paralog
TY1A-DR1	YDR098C-A	Transposon Ty1-DR1 Gag polyprotein	TY1A-A	YAR010C	Transposon Ty1-A Gag polyprotein	paralog
TY1A-DR1	YDR098C-A	Transposon Ty1-DR1 Gag polyprotein	TY1A-BL	YBL005W-A	Transposon Ty1-BL Gag polyprotein	paralog
TY1A-DR1	YDR098C-A	Transposon Ty1-DR1 Gag polyprotein	TY1B-BL	YBL005W-B	Transposon Ty1-BL Gag-Pol polyprotein	paralog
TY1A-DR1	YDR098C-A	Transposon Ty1-DR1 Gag polyprotein	TY2A-B	YBL100W-A	Transposon Ty2-B Gag polyprotein	paralog
TY1A-DR1	YDR098C-A	Transposon Ty1-DR1 Gag polyprotein	TY1A-BR	YBR012W-A	Transposon Ty1-BR Gag polyprotein	paralog
TY1A-DR1	YDR098C-A	Transposon Ty1-DR1 Gag polyprotein	TY1B-BR	YBR012W-B	Transposon Ty1-BR Gag-Pol polyprotein	paralog
TY1A-DR1	YDR098C-A	Transposon Ty1-DR1 Gag polyprotein	TY2A-C	YCL020W	Transposon Ty2-C Gag polyprotein	paralog
TY1A-DR1	YDR098C-A	Transposon Ty1-DR1 Gag polyprotein	TY2A-DR1	YDR034C-C	Transposon Ty2-DR1 Gag polyprotein	paralog
TY1B-DR1	YDR098C-B	Transposon Ty1-DR1 Gag-Pol polyprotein	TY1B-A	YAR009C	Truncated transposon Ty1-A Gag-Pol polyprotein	paralog
TY1B-DR1	YDR098C-B	Transposon Ty1-DR1 Gag-Pol polyprotein	TY1A-A	YAR010C	Transposon Ty1-A Gag polyprotein	paralog
TY1B-DR1	YDR098C-B	Transposon Ty1-DR1 Gag-Pol polyprotein	TY1A-BL	YBL005W-A	Transposon Ty1-BL Gag polyprotein	paralog
TY1B-DR1	YDR098C-B	Transposon Ty1-DR1 Gag-Pol polyprotein	TY1B-BL	YBL005W-B	Transposon Ty1-BL Gag-Pol polyprotein	paralog
TY1B-DR1	YDR098C-B	Transposon Ty1-DR1 Gag-Pol polyprotein	TY2B-B	YBL100W-B	Transposon Ty2-B Gag-Pol polyprotein	paralog
TY1B-DR1	YDR098C-B	Transposon Ty1-DR1 Gag-Pol polyprotein	TY1A-BR	YBR012W-A	Transposon Ty1-BR Gag polyprotein	paralog
TY1B-DR1	YDR098C-B	Transposon Ty1-DR1 Gag-Pol polyprotein	TY1B-BR	YBR012W-B	Transposon Ty1-BR Gag-Pol polyprotein	paralog
TY1B-DR1	YDR098C-B	Transposon Ty1-DR1 Gag-Pol polyprotein	TY2B-C	YCL019W	Transposon Ty2-C Gag-Pol polyprotein	paralog
TY1B-DR1	YDR098C-B	Transposon Ty1-DR1 Gag-Pol polyprotein	TY2B-DR1	YDR034C-D	Transposon Ty2-DR1 Gag-Pol polyprotein	paralog
TY1B-DR1	YDR098C-B	Transposon Ty1-DR1 Gag-Pol polyprotein	TY1A-DR1	YDR098C-A	Transposon Ty1-DR1 Gag polyprotein	paralog
TY1A-DR2	YDR170W-A	Transposon Ty1-DR2 Gag polyprotein	TY1A-A	YAR010C	Transposon Ty1-A Gag polyprotein	paralog
TY1A-DR2	YDR170W-A	Transposon Ty1-DR2 Gag polyprotein	TY1A-BL	YBL005W-A	Transposon Ty1-BL Gag polyprotein	paralog
TY1A-DR2	YDR170W-A	Transposon Ty1-DR2 Gag polyprotein	TY1B-BL	YBL005W-B	Transposon Ty1-BL Gag-Pol polyprotein	paralog
TY1A-DR2	YDR170W-A	Transposon Ty1-DR2 Gag polyprotein	TY2A-B	YBL100W-A	Transposon Ty2-B Gag polyprotein	paralog
TY1A-DR2	YDR170W-A	Transposon Ty1-DR2 Gag polyprotein	TY1A-BR	YBR012W-A	Transposon Ty1-BR Gag polyprotein	paralog
TY1A-DR2	YDR170W-A	Transposon Ty1-DR2 Gag polyprotein	TY1B-BR	YBR012W-B	Transposon Ty1-BR Gag-Pol polyprotein	paralog
TY1A-DR2	YDR170W-A	Transposon Ty1-DR2 Gag polyprotein	TY2A-C	YCL020W	Transposon Ty2-C Gag polyprotein	paralog
TY1A-DR2	YDR170W-A	Transposon Ty1-DR2 Gag polyprotein	TY2A-DR1	YDR034C-C	Transposon Ty2-DR1 Gag polyprotein	paralog
TY1A-DR2	YDR170W-A	Transposon Ty1-DR2 Gag polyprotein	TY1A-DR1	YDR098C-A	Transposon Ty1-DR1 Gag polyprotein	paralog
TY1A-DR2	YDR170W-A	Transposon Ty1-DR2 Gag polyprotein	TY1B-DR1	YDR098C-B	Transposon Ty1-DR1 Gag-Pol polyprotein	paralog
TY1A-DR3	YDR210C-C	Transposon Ty1-DR3 Gag polyprotein	TY1A-A	YAR010C	Transposon Ty1-A Gag polyprotein	paralog
TY1A-DR3	YDR210C-C	Transposon Ty1-DR3 Gag polyprotein	TY1A-BL	YBL005W-A	Transposon Ty1-BL Gag polyprotein	paralog
TY1A-DR3	YDR210C-C	Transposon Ty1-DR3 Gag polyprotein	TY1B-BL	YBL005W-B	Transposon Ty1-BL Gag-Pol polyprotein	paralog
TY1A-DR3	YDR210C-C	Transposon Ty1-DR3 Gag polyprotein	TY2A-B	YBL100W-A	Transposon Ty2-B Gag polyprotein	paralog
TY1A-DR3	YDR210C-C	Transposon Ty1-DR3 Gag polyprotein	TY1A-BR	YBR012W-A	Transposon Ty1-BR Gag polyprotein	paralog
TY1A-DR3	YDR210C-C	Transposon Ty1-DR3 Gag polyprotein	TY1B-BR	YBR012W-B	Transposon Ty1-BR Gag-Pol polyprotein	paralog
TY1A-DR3	YDR210C-C	Transposon Ty1-DR3 Gag polyprotein	TY2A-C	YCL020W	Transposon Ty2-C Gag polyprotein	paralog
TY1A-DR3	YDR210C-C	Transposon Ty1-DR3 Gag polyprotein	TY2A-DR1	YDR034C-C	Transposon Ty2-DR1 Gag polyprotein	paralog
TY1A-DR3	YDR210C-C	Transposon Ty1-DR3 Gag polyprotein	TY1A-DR1	YDR098C-A	Transposon Ty1-DR1 Gag polyprotein	paralog
TY1A-DR3	YDR210C-C	Transposon Ty1-DR3 Gag polyprotein	TY1B-DR1	YDR098C-B	Transposon Ty1-DR1 Gag-Pol polyprotein	paralog
TY1A-DR3	YDR210C-C	Transposon Ty1-DR3 Gag polyprotein	TY1A-DR2	YDR170W-A	Transposon Ty1-DR2 Gag polyprotein	paralog
TY1B-DR3	YDR210C-D	Transposon Ty1-DR3 Gag-Pol polyprotein	TY1B-A	YAR009C	Truncated transposon Ty1-A Gag-Pol polyprotein	paralog
TY1B-DR3	YDR210C-D	Transposon Ty1-DR3 Gag-Pol polyprotein	TY1A-A	YAR010C	Transposon Ty1-A Gag polyprotein	paralog
TY1B-DR3	YDR210C-D	Transposon Ty1-DR3 Gag-Pol polyprotein	TY1A-BL	YBL005W-A	Transposon Ty1-BL Gag polyprotein	paralog
TY1B-DR3	YDR210C-D	Transposon Ty1-DR3 Gag-Pol polyprotein	TY1B-BL	YBL005W-B	Transposon Ty1-BL Gag-Pol polyprotein	paralog
TY1B-DR3	YDR210C-D	Transposon Ty1-DR3 Gag-Pol polyprotein	TY2B-B	YBL100W-B	Transposon Ty2-B Gag-Pol polyprotein	paralog
TY1B-DR3	YDR210C-D	Transposon Ty1-DR3 Gag-Pol polyprotein	TY1A-BR	YBR012W-A	Transposon Ty1-BR Gag polyprotein	paralog
TY1B-DR3	YDR210C-D	Transposon Ty1-DR3 Gag-Pol polyprotein	TY1B-BR	YBR012W-B	Transposon Ty1-BR Gag-Pol polyprotein	paralog
TY1B-DR3	YDR210C-D	Transposon Ty1-DR3 Gag-Pol polyprotein	TY2B-C	YCL019W	Transposon Ty2-C Gag-Pol polyprotein	paralog
TY1B-DR3	YDR210C-D	Transposon Ty1-DR3 Gag-Pol polyprotein	TY2B-DR1	YDR034C-D	Transposon Ty2-DR1 Gag-Pol polyprotein	paralog
TY1B-DR3	YDR210C-D	Transposon Ty1-DR3 Gag-Pol polyprotein	TY1A-DR1	YDR098C-A	Transposon Ty1-DR1 Gag polyprotein	paralog
TY1B-DR3	YDR210C-D	Transposon Ty1-DR3 Gag-Pol polyprotein	TY1B-DR1	YDR098C-B	Transposon Ty1-DR1 Gag-Pol polyprotein	paralog
TY1B-DR3	YDR210C-D	Transposon Ty1-DR3 Gag-Pol polyprotein	TY1A-DR2	YDR170W-A	Transposon Ty1-DR2 Gag polyprotein	paralog
TY1B-DR3	YDR210C-D	Transposon Ty1-DR3 Gag-Pol polyprotein	TY1A-DR3	YDR210C-C	Transposon Ty1-DR3 Gag polyprotein	paralog
TY2A-DR2	YDR210W-A	Transposon Ty2-DR2 Gag polyprotein	TY1A-A	YAR010C	Transposon Ty1-A Gag polyprotein	paralog
TY2A-DR2	YDR210W-A	Transposon Ty2-DR2 Gag polyprotein	TY1A-BL	YBL005W-A	Transposon Ty1-BL Gag polyprotein	paralog
TY2A-DR2	YDR210W-A	Transposon Ty2-DR2 Gag polyprotein	TY2A-B	YBL100W-A	Transposon Ty2-B Gag polyprotein	paralog
TY2A-DR2	YDR210W-A	Transposon Ty2-DR2 Gag polyprotein	TY2B-B	YBL100W-B	Transposon Ty2-B Gag-Pol polyprotein	paralog
TY2A-DR2	YDR210W-A	Transposon Ty2-DR2 Gag polyprotein	TY1A-BR	YBR012W-A	Transposon Ty1-BR Gag polyprotein	paralog
TY2A-DR2	YDR210W-A	Transposon Ty2-DR2 Gag polyprotein	TY2B-C	YCL019W	Transposon Ty2-C Gag-Pol polyprotein	paralog
TY2A-DR2	YDR210W-A	Transposon Ty2-DR2 Gag polyprotein	TY2A-C	YCL020W	Transposon Ty2-C Gag polyprotein	paralog
TY2A-DR2	YDR210W-A	Transposon Ty2-DR2 Gag polyprotein	TY2A-DR1	YDR034C-C	Transposon Ty2-DR1 Gag polyprotein	paralog
TY2A-DR2	YDR210W-A	Transposon Ty2-DR2 Gag polyprotein	TY2B-DR1	YDR034C-D	Transposon Ty2-DR1 Gag-Pol polyprotein	paralog
TY2A-DR2	YDR210W-A	Transposon Ty2-DR2 Gag polyprotein	TY1A-DR1	YDR098C-A	Transposon Ty1-DR1 Gag polyprotein	paralog
TY2A-DR2	YDR210W-A	Transposon Ty2-DR2 Gag polyprotein	TY1A-DR2	YDR170W-A	Transposon Ty1-DR2 Gag polyprotein	paralog
TY2A-DR2	YDR210W-A	Transposon Ty2-DR2 Gag polyprotein	TY1A-DR3	YDR210C-C	Transposon Ty1-DR3 Gag polyprotein	paralog
TY2B-DR2	YDR210W-B	Transposon Ty2-DR2 Gag-Pol polyprotein	TY1B-A	YAR009C	Truncated transposon Ty1-A Gag-Pol polyprotein	paralog
