regulator_gene_name	regulator_oln_id	regulator_gene_description	target_gene_name	target_oln_id	target_gene_description	gene_expression_evidence	binding_evidence	combinatorial_evidence	regulation_direction	pubmed_id
RAP1	YNL216W	DNA-binding protein RAP1	RPS6B	YBR181C	40S ribosomal protein S6-B	0	3	0		12399584,16522208,22498630
RAP1	YNL216W	DNA-binding protein RAP1	TYE7	YOR344C	Serine-rich protein TYE7	0	2	0		12399584,22498630
MET31	YPL038W	Transcriptional regulator MET31	CYS3	YAL012W	Cystathionine gamma-lyase	0	2	0		12399584,16522208
RLM1	YPL089C	Transcription factor RLM1	NA	YCR018C-A	Putative uncharacterized protein YCR018C-A	0	2	0		12399584,22720667
RTG3	YBL103C	Retrograde regulation protein 3	RML2	YEL050C	54S ribosomal protein RML2, mitochondrial precursor	0	2	0		12399584,22720667
TEC1	YBR083W	Ty transcription activator TEC1	AIM17	YHL021C	Probable oxidoreductase AIM17 precursor	0	0	1		10535956
TEC1	YBR083W	Ty transcription activator TEC1	SPO12	YHR152W	Sporulation-specific protein 12	0	0	1		10535956
TEC1	YBR083W	Ty transcription activator TEC1	LIN1	YHR156C	Protein LIN1	0	0	1		10535956
TEC1	YBR083W	Ty transcription activator TEC1	AIM19	YIL087C	Altered inheritance of mitochondria protein 19, mitochondrial	1	1	0	inactivates	20385592,22720667
TEC1	YBR083W	Ty transcription activator TEC1	PRM5	YIL117C	Pheromone-regulated membrane protein 5	0	1	1		10535956,22720667
TEC1	YBR083W	Ty transcription activator TEC1	GAT4	YIR013C	Protein GAT4	0	0	1		10535956
TEC1	YBR083W	Ty transcription activator TEC1	FLO11	YIR019C	Flocculation protein FLO11 precursor	1	0	2	inactivates	10535956,20385592
TEC1	YBR083W	Ty transcription activator TEC1	NA	YJL016W	Uncharacterized protein YJL016W	0	0	1		10535956
TEC1	YBR083W	Ty transcription activator TEC1	IRC9	YJL142C	Putative uncharacterized protein IRC9	0	0	1		10535956
TEC1	YBR083W	Ty transcription activator TEC1	MNN5	YJL186W	Alpha-1,2-mannosyltransferase MNN5 precursor	1	1	0	activates	16522208,20385592
TEC1	YBR083W	Ty transcription activator TEC1	NA	YJR030C	UPF0508 protein YJR030C	1	1	0	activates	20385592,22720667
TEC1	YBR083W	Ty transcription activator TEC1	PGU1	YJR153W	Polygalacturonase precursor	0	1	1		10535956,22720667
RTG3	YBL103C	Retrograde regulation protein 3	BAT2	YJR148W	Branched-chain-amino-acid aminotransferase, cytosolic	2	1	0	inactivates	16522208,17417638,20385592
RTG3	YBL103C	Retrograde regulation protein 3	NA	YLR049C	Uncharacterized protein YLR049C	1	1	0	activates	16522208,20385592
RTG3	YBL103C	Retrograde regulation protein 3	ALT1	YLR089C	Probable alanine aminotransferase, mitochondrial precursor	2	1	0	inactivates	17417638,20385592,22720667
HAP3	YBL021C	Transcriptional activator HAP3	EAF6	YJR082C	Chromatin modification-related protein EAF6	0	2	0		12399584,22720667
HAP3	YBL021C	Transcriptional activator HAP3	ISA1	YLL027W	Iron-sulfur assembly protein 1	0	2	0		12399584,22720667
HAP3	YBL021C	Transcriptional activator HAP3	CCC1	YLR220W	Protein CCC1	0	2	0		12399584,22720667
HAP3	YBL021C	Transcriptional activator HAP3	NA	YML119W	Uncharacterized protein YML119W	0	2	0		12399584,22720667
HAP3	YBL021C	Transcriptional activator HAP3	NDI1	YML120C	Rotenone-insensitive NADH-ubiquinone oxidoreductase, mitochondrial precursor	0	2	0		12399584,22720667
HAP3	YBL021C	Transcriptional activator HAP3	ROY1	YMR258C	Non-SCF-type F-box protein ROY1	0	2	0		12399584,22720667
HAP3	YBL021C	Transcriptional activator HAP3	TYW1	YPL207W	S-adenosyl-L-methionine-dependent tRNA 4-demethylwyosine synthase	0	2	0		12399584,22720667
REB1	YBR049C	DNA-binding protein REB1	CDC27	YBL084C	Anaphase-promoting complex subunit CDC27	0	2	0		21329885,22720667
REB1	YBR049C	DNA-binding protein REB1	SFT2	YBL102W	Protein transport protein SFT2	0	2	0		21329885,22720667
REB1	YBR049C	DNA-binding protein REB1	RTG3	YBL103C	Retrograde regulation protein 3	0	2	0		21329885,22720667
REB1	YBR049C	DNA-binding protein REB1	PKC1	YBL105C	Protein kinase C-like 1	0	2	0		21329885,22720667
REB1	YBR049C	DNA-binding protein REB1	RER2	YBR002C	Dehydrodolichyl diphosphate syntase complex subunit RER2 {ECO:0000305}	0	2	0		21329885,22720667
TOD6	YBL054W	Transcriptional regulatory protein TOD6	CRP1	YHR146W	Cruciform DNA-recognizing protein 1	1	1	0	activates	20385592,22720667
TOD6	YBL054W	Transcriptional regulatory protein TOD6	NA	YLR297W	Uncharacterized vacuolar protein YLR297W	2	1	0	inactivates	17417638,20385592,22720667
TOD6	YBL054W	Transcriptional regulatory protein TOD6	RHO5	YNL180C	GTP-binding protein RHO5 precursor	1	1	0	activates	20385592,22720667
OAF1	YAL051W	Oleate-activated transcription factor 1	UME6	YDR207C	Transcriptional regulatory protein UME6	1	1	0	activates	20385592,22720667
OAF1	YAL051W	Oleate-activated transcription factor 1	ATG34	YOL083W	Autophagy-related protein 34	1	1	0	inactivates	20385592,22720667
OAF1	YAL051W	Oleate-activated transcription factor 1	SWI1	YPL016W	SWI/SNF chromatin-remodeling complex subunit SWI1	1	1	0	activates	20385592,22720667
PDR3	YBL005W	Transcription factor PDR3	LDB7	YBL006C	Chromatin structure-remodeling complex protein RSC14	1	1	0	activates	16522208,20385592
PDR3	YBL005W	Transcription factor PDR3	ALG1	YBR110W	Chitobiosyldiphosphodolichol beta-mannosyltransferase	1	1	0	inactivates	20385592,22720667
PDR3	YBL005W	Transcription factor PDR3	SGA1	YIL099W	Glucoamylase, intracellular sporulation-specific	1	1	0	inactivates	20385592,22720667
PDR3	YBL005W	Transcription factor PDR3	CAP1	YKL007W	F-actin-capping protein subunit alpha	1	1	0	activates	20385592,22720667
PDR3	YBL005W	Transcription factor PDR3	ICT1	YLR099C	1-acylglycerol-3-phosphate O-acyltransferase ICT1	1	1	0	activates	20385592,22720667
PDR3	YBL005W	Transcription factor PDR3	NA	YLR334C	Putative uncharacterized protein YLR334C	1	1	0	activates	20385592,22720667
PDR3	YBL005W	Transcription factor PDR3	DIC1	YLR348C	Mitochondrial dicarboxylate transporter	1	1	0	activates	20385592,22720667
PDR3	YBL005W	Transcription factor PDR3	HOR7	YMR251W-A	Protein HOR7 precursor	1	1	0	activates	20385592,22720667
HIR1	YBL008W	Protein HIR1	NUP60	YAR002W	Nucleoporin NUP60	0	2	0		12399584,22720667
HIR1	YBL008W	Protein HIR1	HHF1	YBR009C	Histone H4	0	2	0		12399584,22720667
HIR1	YBL008W	Protein HIR1	HHT1	YBR010W	Histone H3	0	2	0		12399584,22720667
HIR1	YBL008W	Protein HIR1	RXT2	YBR095C	Transcriptional regulatory protein RXT2	0	2	0		12399584,22720667
HIR1	YBL008W	Protein HIR1	NA	YBR096W	Uncharacterized protein YBR096W	0	2	0		12399584,22720667
HIR1	YBL008W	Protein HIR1	VPS15	YBR097W	Serine/threonine-protein kinase VPS15	0	2	0		12399584,22720667
HIR1	YBL008W	Protein HIR1	HTB1	YDR224C	Histone H2B.1	0	2	0		12399584,22720667
TEC1	YBR083W	Ty transcription activator TEC1	YJU2	YKL095W	Protein CWC16	1	1	0	inactivates	20385592,22720667
TEC1	YBR083W	Ty transcription activator TEC1	KTR2	YKR061W	Probable mannosyltransferase KTR2	0	1	1		10535956,22720667
TEC1	YBR083W	Ty transcription activator TEC1	NA	YLR042C	Cell wall protein YLR042C precursor	1	0	2	activates	10535956,20385592
TEC1	YBR083W	Ty transcription activator TEC1	YPS1	YLR120C	Aspartic proteinase 3 precursor	0	0	1		10535956
TEC1	YBR083W	Ty transcription activator TEC1	TOS4	YLR183C	Protein TOS4	1	1	0	activates	20385592,22720667
TEC1	YBR083W	Ty transcription activator TEC1	CDA1	YLR307W	Chitin deacetylase 1 precursor	1	1	0	inactivates	20385592,22720667
TEC1	YBR083W	Ty transcription activator TEC1	MID2	YLR332W	Cell wall integrity sensor MID2 precursor	0	0	1		10535956
TEC1	YBR083W	Ty transcription activator TEC1	SFP1	YLR403W	Transcription factor SFP1	0	0	1		10535956
TEC1	YBR083W	Ty transcription activator TEC1	PUN1	YLR414C	Protein PUN1	0	0	1		10535956
TEC1	YBR083W	Ty transcription activator TEC1	CAR2	YLR438W	Ornithine aminotransferase	0	0	1		10535956
TEC1	YBR083W	Ty transcription activator TEC1	TSL1	YML100W	Trehalose synthase complex regulatory subunit TSL1	0	0	1		10535956
TEC1	YBR083W	Ty transcription activator TEC1	STO1	YMR125W	Nuclear cap-binding protein complex subunit 1	0	0	1		10535956
REB1	YBR049C	DNA-binding protein REB1	GCD1	YOR260W	Translation initiation factor eIF-2B subunit gamma	0	2	0		21329885,22720667
TEC1	YBR083W	Ty transcription activator TEC1	DDR48	YMR173W	Stress protein DDR48	2	0	1	activates	10535956,17417638,20385592
TEC1	YBR083W	Ty transcription activator TEC1	COG5	YNL051W	Conserved oligomeric Golgi complex subunit 5	0	0	1		10535956
TEC1	YBR083W	Ty transcription activator TEC1	RPL16B	YNL069C	60S ribosomal protein L16-B	1	1	0	inactivates	20385592,22720667
TEC1	YBR083W	Ty transcription activator TEC1	ASI2	YNL159C	Protein ASI2	0	0	1		10535956
TEC1	YBR083W	Ty transcription activator TEC1	BNI5	YNL166C	Bud neck protein 5	0	0	1		10535956
TEC1	YBR083W	Ty transcription activator TEC1	WSC2	YNL283C	Cell wall integrity and stress response component 2 precursor	0	1	1		10535956,16522208
TEC1	YBR083W	Ty transcription activator TEC1	NA	YNR040W	Uncharacterized protein YNR040W	1	1	0	activates	20385592,22720667
TEC1	YBR083W	Ty transcription activator TEC1	WSC3	YOL105C	Cell wall integrity and stress response component 3 precursor	1	1	0	activates	16522208,20385592
TEC1	YBR083W	Ty transcription activator TEC1	ETT1	YOR051C	Enhancer of translation termination 1	1	1	0	activates	20385592,22720667
TEC1	YBR083W	Ty transcription activator TEC1	RTS2	YOR077W	Zinc finger protein RTS2	0	0	1		10535956
TEC1	YBR083W	Ty transcription activator TEC1	NA	YOR225W	Putative uncharacterized protein YOR225W	0	0	1		10535956
TEC1	YBR083W	Ty transcription activator TEC1	SRL1	YOR247W	Cell wall protein SRL1 precursor	0	0	1		10535956
TEC1	YBR083W	Ty transcription activator TEC1	NA	YOR248W	Putative uncharacterized protein YOR248W	0	0	1		10535956
TEC1	YBR083W	Ty transcription activator TEC1	NA	YPL114W	Putative uncharacterized protein YPL114W	0	0	1		10535956
TEC1	YBR083W	Ty transcription activator TEC1	TY1A-PR2	YPR158W-A	Transposon Ty1-PR2 Gag polyprotein	1	1	0	activates	16522208,17417638
CYC8	YBR112C	General transcriptional corepressor CYC8	BDH2	YAL061W	Probable diacetyl reductase [(R)-acetoin forming] 2	1	1	0	inactivates	21329885,24766815
CYC8	YBR112C	General transcriptional corepressor CYC8	TIP1	YBR067C	Temperature shock-inducible protein 1 precursor	1	1	0	inactivates	21329885,24766815
CYC8	YBR112C	General transcriptional corepressor CYC8	HSP26	YBR072W	Heat shock protein 26	1	1	0	inactivates	21329885,24766815
TEC1	YBR083W	Ty transcription activator TEC1	HTB2	YBL002W	Histone H2B.2	0	0	1		10535956
REB1	YBR049C	DNA-binding protein REB1	MRX4	YPL168W	MIOREX complex component 4 {ECO:0000305|PubMed:25683707} precursor	0	2	0		21329885,22720667
SRD1	YCR018C	Pre-rRNA-processing protein SRD1	POP7	YBR167C	Ribonucleases P/MRP protein subunit POP7	0	2	0		12399584,22720667
SWI5	YDR146C	Transcriptional factor SWI5	PGI1	YBR196C	Glucose-6-phosphate isomerase	1	1	0	activates	20385592,21329885
UME6	YDR207C	Transcriptional regulatory protein UME6	IRC8	YJL051W	Uncharacterized protein IRC8	0	2	0		16522208,21329885
MET32	YDR253C	Transcriptional regulator MET32	NA	YNL144C	Uncharacterized protein YNL144C	0	2	0		22438580,22720667
YAP6	YDR259C	AP-1-like transcription factor YAP6	BSC1	YDL037C	Bypass of stop codon protein 1	0	2	0		12399584,22720667
SUM1	YDR310C	Suppressor of mar1-1 protein	FZO1	YBR179C	Mitofusin FZO1	0	2	0		12399584,16522208
ARO80	YDR421W	Transcriptional activator ARO80	BCS1	YDR375C	Mitochondrial chaperone BCS1	0	2	0		12399584,22720667
SPT3	YDR392W	Protein SPT3	CPR6	YLR216C	Peptidyl-prolyl cis-trans isomerase CPR6	1	1	0	inactivates	20385592,21329885
RPH1	YER169W	DNA damage-responsive transcriptional repressor RPH1	EDS1	YBR033W	Transcriptional regulatory protein EDS1	0	2	0		12399584,22720667
PDR1	YGL013C	Transcription factor PDR1	RPL13A	YDL082W	60S ribosomal protein L13-A	0	2	0		12399584,22720667
HSF1	YGL073W	Heat shock factor protein	LST8	YNL006W	Target of rapamycin complex subunit LST8	0	2	0		12399584,16522208
RME1	YGR044C	Zinc finger protein RME1	NA	YFL034W	Uncharacterized membrane protein YFL034W	0	2	0		12399584,22720667
STE12	YHR084W	Protein STE12	FRM2	YCL026C-A	Fatty acid repression mutant protein 2	0	2	0		12399584,22720667
ABF1	YKL112W	ARS-binding factor 1	CAP1	YKL007W	F-actin-capping protein subunit alpha	0	2	0		12399584,22720667
ABF1	YKL112W	ARS-binding factor 1	RSM19	YNR037C	37S ribosomal protein S19, mitochondrial	0	2	0		12399584,16522208
ACE2	YLR131C	Metallothionein expression activator	NA	YDR154C	Putative uncharacterized protein YDR154C {ECO:0000305}	0	2	0		12399584,22720667
SWI6	YLR182W	Regulatory protein SWI6	SIM1	YIL123W	Probable secreted beta-glucosidase SIM1 precursor	0	2	0		12399584,16522208
SWI6	YLR182W	Regulatory protein SWI6	ATG36	YJL185C	Autophagy-related protein 36	0	2	0		12399584,22720667
LEU3	YLR451W	Regulatory protein LEU3	MET4	YNL103W	Transcriptional activator of sulfur metabolism MET4	0	2	0		12399584,16522208
YAP1	YML007W	AP-1-like transcription factor YAP1	CYC1	YJR048W	Cytochrome c iso-1	0	2	0		21329885,22720667
MAC1	YMR021C	Metal-binding activator 1	NA	YNL017C	Putative uncharacterized protein YNL017C	0	2	0		12399584,22720667
FKH2	YNL068C	Fork head protein homolog 2	APC1	YNL172W	Anaphase-promoting complex subunit 1	0	2	0		12399584,16522208
MET4	YNL103W	Transcriptional activator of sulfur metabolism MET4	LSB6	YJL100W	Phosphatidylinositol 4-kinase LSB6	0	2	0		12399584,22438580
RAP1	YNL216W	DNA-binding protein RAP1	RXT3	YDL076C	Transcriptional regulatory protein RXT3	0	3	0		12399584,22498630,22720667
RAP1	YNL216W	DNA-binding protein RAP1	RPL39	YJL189W	60S ribosomal protein L39	0	2	0		12399584,22720667
CIN5	YOR028C	AP-1-like transcription factor YAP4	NA	YOR302W	Arginine attenuator peptide	0	2	0		12399584,22720667
MET31	YPL038W	Transcriptional regulator MET31	MET16	YPR167C	Phosphoadenosine phosphosulfate reductase	0	2	0		12399584,16522208
RLM1	YPL089C	Transcription factor RLM1	MUM2	YBR057C	Protein MUM2	0	2	0		12399584,22720667
GAL4	YPL248C	Regulatory protein GAL4	GAL3	YDR009W	Protein GAL3	0	2	0		12399584,16522208
GAL4	YPL248C	Regulatory protein GAL4	HUA1	YGR268C	Proline-rich protein HUA1	1	1	0	activates	20385592,22720667
RTG3	YBL103C	Retrograde regulation protein 3	PDR8	YLR266C	Transcription factor PDR8	1	1	0	inactivates	16522208,20385592
RTG3	YBL103C	Retrograde regulation protein 3	ACO1	YLR304C	Aconitate hydratase, mitochondrial precursor	3	1	0	activates	17417638,20385592,22720667,24766815
RTG3	YBL103C	Retrograde regulation protein 3	IDH1	YNL037C	Isocitrate dehydrogenase [NAD] subunit 1, mitochondrial precursor	3	1	0	activates	16522208,17417638,20385592,24766815
RTG3	YBL103C	Retrograde regulation protein 3	RPA49	YNL248C	DNA-directed RNA polymerase I subunit RPA49	1	1	0	activates	20385592,22720667
RTG3	YBL103C	Retrograde regulation protein 3	IDH2	YOR136W	Isocitrate dehydrogenase [NAD] subunit 2, mitochondrial precursor	1	1	0	activates	16522208,24766815
RTG3	YBL103C	Retrograde regulation protein 3	SPC29	YPL124W	Spindle pole component 29	0	2	0		12399584,22720667
REB1	YBR049C	DNA-binding protein REB1	EFB1	YAL003W	Elongation factor 1-beta	1	1	0	activates	20385592,21329885
REB1	YBR049C	DNA-binding protein REB1	LDS1	YAL018C	Outer spore wall protein LDS1 {ECO:0000305|PubMed:23966878}	0	2	0		21329885,22720667
REB1	YBR049C	DNA-binding protein REB1	MAK16	YAL025C	Protein MAK16	1	2	0	inactivates	20385592,21329885,22720667
REB1	YBR049C	DNA-binding protein REB1	MYO4	YAL029C	Myosin-4	0	2	0		21329885,22720667
REB1	YBR049C	DNA-binding protein REB1	SNC1	YAL030W	Synaptobrevin homolog 1	0	3	0		12399584,16522208,21329885
REB1	YBR049C	DNA-binding protein REB1	GIP4	YAL031C	GLC7-interacting protein 4	0	3	0		12399584,16522208,21329885
REB1	YBR049C	DNA-binding protein REB1	MCA1	YOR197W	Metacaspase-1 precursor	0	2	0		21329885,22720667
CYC8	YBR112C	General transcriptional corepressor CYC8	NA	YBR085C-A	Uncharacterized protein YBR085C-A	1	1	0	inactivates	21329885,24766815
CYC8	YBR112C	General transcriptional corepressor CYC8	VID24	YBR105C	Vacuolar import and degradation protein 24	1	1	0	inactivates	21329885,24766815
CYC8	YBR112C	General transcriptional corepressor CYC8	MRK1	YDL079C	Serine/threonine-protein kinase MRK1	1	1	0	inactivates	21329885,24766815
CYC8	YBR112C	General transcriptional corepressor CYC8	NDE2	YDL085W	External NADH-ubiquinone oxidoreductase 2, mitochondrial precursor	1	1	0	inactivates	21329885,24766815
CYC8	YBR112C	General transcriptional corepressor CYC8	NRG1	YDR043C	Transcriptional regulator NRG1	1	1	0	inactivates	21329885,24766815
CYC8	YBR112C	General transcriptional corepressor CYC8	AFR1	YDR085C	Protein AFR1	1	1	0	inactivates	21329885,24766815
CYC8	YBR112C	General transcriptional corepressor CYC8	EMI2	YDR516C	Putative glucokinase-2	1	1	0	inactivates	21329885,24766815
CYC8	YBR112C	General transcriptional corepressor CYC8	GLC3	YEL011W	1,4-alpha-glucan-branching enzyme	1	1	0	inactivates	21329885,24766815
CYC8	YBR112C	General transcriptional corepressor CYC8	GPP2	YER062C	Glycerol-1-phosphate phosphohydrolase 2 {ECO:0000305}	1	1	0	inactivates	21329885,24766815
REB1	YBR049C	DNA-binding protein REB1	HSH49	YOR319W	Protein HSH49	0	3	0		12399584,21329885,22720667
HIR1	YBL008W	Protein HIR1	HTA1	YDR225W	Histone H2A.1	1	2	0	inactivates	12399584,20385592,22720667
HIR1	YBL008W	Protein HIR1	SPS1	YDR523C	Sporulation-specific protein 1	0	2	0		12399584,22720667
HIR1	YBL008W	Protein HIR1	IRC22	YEL001C	Increased recombination centers protein 22 precursor	0	2	0		12399584,22720667
HIR1	YBL008W	Protein HIR1	GEA2	YEL022W	ARF guanine-nucleotide exchange factor 2	0	2	0		12399584,22720667
HIR1	YBL008W	Protein HIR1	NA	YEL023C	Uncharacterized protein YEL023C	0	2	0		12399584,22720667
HIR1	YBL008W	Protein HIR1	LOC1	YFR001W	60S ribosomal subunit assembly/export protein LOC1	0	2	0		12399584,22720667
HIR1	YBL008W	Protein HIR1	NOC3	YLR002C	Nucleolar complex-associated protein 3	0	2	0		12399584,22720667
HIR1	YBL008W	Protein HIR1	RPL22A	YLR061W	60S ribosomal protein L22-A	0	2	0		12399584,22720667
HIR1	YBL008W	Protein HIR1	HHF2	YNL030W	Histone H4	0	2	0		12399584,22720667
HIR1	YBL008W	Protein HIR1	HHT2	YNL031C	Histone H3	0	2	0		12399584,22720667
HIR1	YBL008W	Protein HIR1	NOP8	YOL144W	60S ribosome subunit biogenesis protein NOP8	0	2	0		12399584,22720667
HIR1	YBL008W	Protein HIR1	CTR9	YOL145C	RNA polymerase-associated protein CTR9	0	2	0		12399584,22720667
HIR1	YBL008W	Protein HIR1	CTF19	YPL018W	Central kinetochore subunit CTF19	0	2	0		12399584,22720667
HIR1	YBL008W	Protein HIR1	VTC3	YPL019C	Vacuolar transporter chaperone 3	0	2	0		12399584,22720667
HIR1	YBL008W	Protein HIR1	RPL36B	YPL249C-A	60S ribosomal protein L36-B	0	2	0		12399584,22720667
HIR1	YBL008W	Protein HIR1	NA	YPL251W	Putative uncharacterized protein YPL251W	0	2	0		12399584,22720667
HIR1	YBL008W	Protein HIR1	VIK1	YPL253C	Spindle pole body-associated protein VIK1	0	2	0		12399584,22720667
HAP3	YBL021C	Transcriptional activator HAP3	ATP3	YBR039W	ATP synthase subunit gamma, mitochondrial precursor	0	2	0		12399584,22720667
HAP3	YBL021C	Transcriptional activator HAP3	FEN2	YCR028C	Pantothenate transporter FEN2	0	2	0		12399584,22720667
HAP3	YBL021C	Transcriptional activator HAP3	RAD28	YDR030C	Radiation-sensitive protein 28	0	2	0		12399584,22720667
HAP3	YBL021C	Transcriptional activator HAP3	MIX14	YDR031W	Mitochondrial intermembrane space cysteine motif-containing protein MIX14	0	2	0		12399584,22720667
HAP3	YBL021C	Transcriptional activator HAP3	VPS74	YDR372C	Vacuolar protein sorting-associated protein 74	0	2	0		12399584,22720667
HAP3	YBL021C	Transcriptional activator HAP3	FRQ1	YDR373W	Calcium-binding protein NCS-1	0	2	0		12399584,22720667
HAP3	YBL021C	Transcriptional activator HAP3	GRX4	YER174C	Monothiol glutaredoxin-4	0	2	0		12399584,22720667
REB1	YBR049C	DNA-binding protein REB1	COQ1	YBR003W	Hexaprenyl pyrophosphate synthase, mitochondrial precursor	0	2	0		21329885,22720667
REB1	YBR049C	DNA-binding protein REB1	KAP104	YBR017C	Importin subunit beta-2 {ECO:0000250|UniProtKB:Q92973}	0	2	0		21329885,22720667
REB1	YBR049C	DNA-binding protein REB1	HMT1	YBR034C	Protein arginine N-methyltransferase 1 {ECO:0000303|PubMed:8647869}	0	2	0		21329885,22720667
REB1	YBR049C	DNA-binding protein REB1	CSG2	YBR036C	Mannosyl phosphorylinositol ceramide synthase regulatory protein CSG2 precursor	1	1	0	activates	20385592,22720667
REB1	YBR049C	DNA-binding protein REB1	ECM2	YBR065C	Pre-mRNA-splicing factor SLT11	0	2	0		21329885,22720667
REB1	YBR049C	DNA-binding protein REB1	SLM4	YBR077C	Protein SLM4	0	2	0		21329885,22720667
REB1	YBR049C	DNA-binding protein REB1	UBC4	YBR082C	Ubiquitin-conjugating enzyme E2 4	2	1	0	activates	17417638,20385592,21329885
REB1	YBR049C	DNA-binding protein REB1	TIM12	YBR091C	Mitochondrial import inner membrane translocase subunit TIM12	0	2	0		21329885,22720667
REB1	YBR049C	DNA-binding protein REB1	PHO3	YBR092C	Constitutive acid phosphatase precursor	2	1	0	activates	17417638,20385592,21329885
REB1	YBR049C	DNA-binding protein REB1	RXT2	YBR095C	Transcriptional regulatory protein RXT2	0	2	0		16522208,21329885
REB1	YBR049C	DNA-binding protein REB1	NA	YBR096W	Uncharacterized protein YBR096W	0	2	0		16522208,21329885
REB1	YBR049C	DNA-binding protein REB1	SHE3	YBR130C	SWI5-dependent HO expression protein 3	0	2	0		16522208,21329885
REB1	YBR049C	DNA-binding protein REB1	CCZ1	YBR131W	Vacuolar fusion protein CCZ1	0	2	0		16522208,21329885
REB1	YBR049C	DNA-binding protein REB1	SUP45	YBR143C	Eukaryotic peptide chain release factor subunit 1	0	2	0		21329885,22720667
REB1	YBR049C	DNA-binding protein REB1	EXO5	YBR163W	Exonuclease V, mitochondrial precursor	0	2	0		21329885,22720667
REB1	YBR049C	DNA-binding protein REB1	ARL1	YBR164C	ADP-ribosylation factor-like protein 1	0	2	0		16522208,21329885
REB1	YBR049C	DNA-binding protein REB1	UBS1	YBR165W	Ubiquitin-conjugating enzyme suppressor 1	0	2	0		16522208,21329885
REB1	YBR049C	DNA-binding protein REB1	NPL4	YBR170C	Nuclear protein localization protein 4	0	2	0		16522208,21329885
REB1	YBR049C	DNA-binding protein REB1	SEC66	YBR171W	Translocation protein SEC66	0	2	0		16522208,21329885
REB1	YBR049C	DNA-binding protein REB1	ROT2	YBR229C	Glucosidase 2 subunit alpha precursor	0	2	0		21329885,22720667
REB1	YBR049C	DNA-binding protein REB1	ARC40	YBR234C	Actin-related protein 2/3 complex subunit 1	0	2	0		21329885,22720667
REB1	YBR049C	DNA-binding protein REB1	ABD1	YBR236C	mRNA cap guanine-N7 methyltransferase	0	2	0		12399584,16522208
REB1	YBR049C	DNA-binding protein REB1	PRP5	YBR237W	Pre-mRNA-processing ATP-dependent RNA helicase PRP5	0	2	0		12399584,16522208
