kinase_gene_name	kinase_oln_id	kinase_gene_description	target_gene_name	target_oln_id	target_gene_description	score
KIC1	YHR102W	Serine/threonine-protein kinase KIC1	CBK1	YNL161W	Serine/threonine-protein kinase CBK1	20.95121
CDC28	YBR160W	Cyclin-dependent kinase 1	DNA2	YHR164C	DNA replication ATP-dependent helicase/nuclease DNA2	20.89848
SCH9	YHR205W	Serine/threonine-protein kinase SCH9	RIM15	YFL033C	Serine/threonine-protein kinase RIM15	20.687081
TPK2	YPL203W	cAMP-dependent protein kinase type 2	ATG1	YGL180W	Serine/threonine-protein kinase ATG1 {ECO:0000305}	20.609
TPK1	YJL164C	cAMP-dependent protein kinase type 1	ATG1	YGL180W	Serine/threonine-protein kinase ATG1 {ECO:0000305}	20.609
BUD32	YGR262C	EKC/KEOPS complex subunit BUD32	GRX4	YER174C	Monothiol glutaredoxin-4	20.59573
PHO85	YPL031C	Cyclin-dependent protein kinase PHO85	PAH1	YMR165C	Phosphatidic acid phosphohydrolase 1	20.49724
PKH1	YDR490C	Serine/threonine-protein kinase PKH1	PIL1	YGR086C	Sphingolipid long chain base-responsive protein PIL1	20.47447
CDC28	YBR160W	Cyclin-dependent kinase 1	KAR9	YPL269W	Karyogamy protein KAR9	20.44135
CBK1	YNL161W	Serine/threonine-protein kinase CBK1	SSD1	YDR293C	Protein SSD1	20.2712482
CDC28	YBR160W	Cyclin-dependent kinase 1	NDD1	YOR372C	Nuclear division defective protein 1	20.24557
SLT2	YHR030C	Mitogen-activated protein kinase SLT2/MPK1	SSN8	YNL025C	RNA polymerase II holoenzyme cyclin-like subunit	20.14043
CDC28	YBR160W	Cyclin-dependent kinase 1	RGA2	YDR379W	Rho-type GTPase-activating protein 2	20.12555
CKA1	YIL035C	Casein kinase II subunit alpha	SPT2	YER161C	Protein SPT2	20.06734
CKA2	YOR061W	Casein kinase II subunit alpha'	SPT2	YER161C	Protein SPT2	20.06734
HOG1	YLR113W	Mitogen-activated protein kinase HOG1	SMP1	YBR182C	Transcription factor SMP1	19.82056
SLT2	YHR030C	Mitogen-activated protein kinase SLT2/MPK1	MKK1	YOR231W	MAP kinase kinase MKK1/SSP32	19.742259
CDC28	YBR160W	Cyclin-dependent kinase 1	FKH2	YNL068C	Fork head protein homolog 2	19.71376
CDC5	YMR001C	Cell cycle serine/threonine-protein kinase CDC5/MSD2	RAD53	YPL153C	Serine/threonine-protein kinase RAD53	19.5563
CDC28	YBR160W	Cyclin-dependent kinase 1	CLN3	YAL040C	G1/S-specific cyclin CLN3	19.51376
SLT2	YHR030C	Mitogen-activated protein kinase SLT2/MPK1	RLM1	YPL089C	Transcription factor RLM1	19.488161
CDC28	YBR160W	Cyclin-dependent kinase 1	PDS1	YDR113C	Securin	19.46792
MPS1	YDL028C	Serine/threonine-protein kinase MPS1	SPC29	YPL124W	Spindle pole component 29	19.4008
CAK1	YFL029C	Serine/threonine-protein kinase CAK1	CDC28	YBR160W	Cyclin-dependent kinase 1	19.34162
DUN1	YDL101C	DNA damage response protein kinase DUN1	SML1	YML058W	Ribonucleotide reductase inhibitor protein SML1	19.22809
CDC28	YBR160W	Cyclin-dependent kinase 1	RAD9	YDR217C	DNA repair protein RAD9	18.96436
CDC15	YAR019C	Cell division control protein 15	DBF2	YGR092W	Cell cycle protein kinase DBF2	18.787011
KIN28	YDL108W	Serine/threonine-protein kinase KIN28	RPO21	YDL140C	DNA-directed RNA polymerase II subunit RPB1	18.74789
CDC28	YBR160W	Cyclin-dependent kinase 1	BEM1	YBR200W	Bud emergence protein 1	18.49026
IPL1	YPL209C	Spindle assembly checkpoint kinase	DAM1	YGR113W	DASH complex subunit DAM1	18.4882
PKH2	YOL100W	Serine/threonine-protein kinase PKH2	PIL1	YGR086C	Sphingolipid long chain base-responsive protein PIL1	18.46091
TPK2	YPL203W	cAMP-dependent protein kinase type 2	BCY1	YIL033C	cAMP-dependent protein kinase regulatory subunit	18.3802382
ELM1	YKL048C	Serine/threonine-protein kinase ELM1	GIN4	YDR507C	Serine/threonine-protein kinase GIN4	18.23469
BUD32	YGR262C	EKC/KEOPS complex subunit BUD32	KAE1	YKR038C	tRNA N6-adenosine threonylcarbamoyltransferase {ECO:0000255|HAMAP-Rule:MF_03180}	18.179821
RAD53	YPL153C	Serine/threonine-protein kinase RAD53	RAD9	YDR217C	DNA repair protein RAD9	18.161009
BUB1	YGR188C	Checkpoint serine/threonine-protein kinase BUB1	BUB3	YOR026W	Cell cycle arrest protein BUB3	18.101528
HRR25	YPL204W	Casein kinase I homolog HRR25	SEC23	YPR181C	Protein transport protein SEC23	18.06819
SNF1	YDR477W	Carbon catabolite-derepressing protein kinase	REG1	YDR028C	Resistance to glucose repression protein 1	18.030728
HOG1	YLR113W	Mitogen-activated protein kinase HOG1	UBP3	YER151C	Ubiquitin carboxyl-terminal hydrolase 3	17.99822
YCK1	YHR135C	Casein kinase I homolog 1	HEK2	YBL032W	Heterogeneous nuclear rnp K-like protein 2	17.98082
PHO85	YPL031C	Cyclin-dependent protein kinase PHO85	RIM15	YFL033C	Serine/threonine-protein kinase RIM15	17.97012
TPK1	YJL164C	cAMP-dependent protein kinase type 1	YAK1	YJL141C	Dual specificity protein kinase YAK1	17.95163
PHO85	YPL031C	Cyclin-dependent protein kinase PHO85	RGA2	YDR379W	Rho-type GTPase-activating protein 2	17.92974
SSN3	YPL042C	Meiotic mRNA stability protein kinase SSN3	GAL4	YPL248C	Regulatory protein GAL4	17.89273
SNF1	YDR477W	Carbon catabolite-derepressing protein kinase	GAL83	YER027C	SNF1 protein kinase subunit beta-3	17.892051
CAK1	YFL029C	Serine/threonine-protein kinase CAK1	SMK1	YPR054W	Sporulation-specific mitogen-activated protein kinase SMK1	17.838139
PBS2	YJL128C	MAP kinase kinase PBS2	HOG1	YLR113W	Mitogen-activated protein kinase HOG1	17.750644
MPS1	YDL028C	Serine/threonine-protein kinase MPS1	SPC105	YGL093W	Spindle pole body component SPC105	17.75056
CDC28	YBR160W	Cyclin-dependent kinase 1	SHS1	YDL225W	Seventh homolog of septin 1	17.591879
CDC28	YBR160W	Cyclin-dependent kinase 1	YTA7	YGR270W	Tat-binding homolog 7	17.58519
CDC28	YBR160W	Cyclin-dependent kinase 1	SLD2	YKL108W	DNA replication regulator SLD2	17.50143
HRR25	YPL204W	Casein kinase I homolog HRR25	CRZ1	YNL027W	Transcriptional regulator CRZ1	17.4508882
SKY1	YMR216C	Serine/threonine-protein kinase SKY1	NPL3	YDR432W	Nucleolar protein 3	17.44006
CDC28	YBR160W	Cyclin-dependent kinase 1	MCM3	YEL032W	DNA replication licensing factor MCM3	17.32381
SSN3	YPL042C	Meiotic mRNA stability protein kinase SSN3	RPO21	YDL140C	DNA-directed RNA polymerase II subunit RPB1	17.314761
PBS2	YJL128C	MAP kinase kinase PBS2	SHO1	YER118C	High osmolarity signaling protein SHO1	17.142651
GIN4	YDR507C	Serine/threonine-protein kinase GIN4	SHS1	YDL225W	Seventh homolog of septin 1	17.129871
CDC28	YBR160W	Cyclin-dependent kinase 1	CDC16	YKL022C	Anaphase-promoting complex subunit CDC16	17.07946
CDC28	YBR160W	Cyclin-dependent kinase 1	YOX1	YML027W	Homeobox protein YOX1	17.05981
CBK1	YNL161W	Serine/threonine-protein kinase CBK1	ACE2	YLR131C	Metallothionein expression activator	17.048871
CDC28	YBR160W	Cyclin-dependent kinase 1	ORC6	YHR118C	Origin recognition complex subunit 6	17.01601
CDC28	YBR160W	Cyclin-dependent kinase 1	IPL1	YPL209C	Spindle assembly checkpoint kinase	16.9508
CLA4	YNL298W	Serine/threonine-protein kinase CLA4	SWE1	YJL187C	Mitosis inhibitor protein kinase SWE1	16.81209
HOG1	YLR113W	Mitogen-activated protein kinase HOG1	SKO1	YNL167C	CRE-binding bZIP protein SKO1	16.63632
CDC28	YBR160W	Cyclin-dependent kinase 1	ACM1	YPL267W	APC/C-CDH1 modulator 1	16.43889
CDC28	YBR160W	Cyclin-dependent kinase 1	VAC17	YCL063W	vacuole-related protein 17	16.43889
SGV1	YPR161C	Serine/threonine-protein kinase BUR1	RPO21	YDL140C	DNA-directed RNA polymerase II subunit RPB1	16.43111
SNF1	YDR477W	Carbon catabolite-derepressing protein kinase	SIP1	YDR422C	SNF1 protein kinase subunit beta-1	16.410759
PHO85	YPL031C	Cyclin-dependent protein kinase PHO85	BNI4	YNL233W	Protein BNI4	16.37859
TPK1	YJL164C	cAMP-dependent protein kinase type 1	CRZ1	YNL027W	Transcriptional regulator CRZ1	16.35767
PHO85	YPL031C	Cyclin-dependent protein kinase PHO85	GSY2	YLR258W	Glycogen [starch] synthase isoform 2	16.30041
CDC28	YBR160W	Cyclin-dependent kinase 1	PAH1	YMR165C	Phosphatidic acid phosphohydrolase 1	16.24634
CDC28	YBR160W	Cyclin-dependent kinase 1	STN1	YDR082W	Protein STN1	16.21522
SLT2	YHR030C	Mitogen-activated protein kinase SLT2/MPK1	MSG5	YNL053W	Tyrosine-protein phosphatase MSG5	16.191691
CDC5	YMR001C	Cell cycle serine/threonine-protein kinase CDC5/MSD2	NET1	YJL076W	Nucleolar protein NET1	16.17937
CKA2	YOR061W	Casein kinase II subunit alpha'	SIC1	YLR079W	Protein SIC1	16.06096
TPK1	YJL164C	cAMP-dependent protein kinase type 1	BCY1	YIL033C	cAMP-dependent protein kinase regulatory subunit	16.028331
CDC28	YBR160W	Cyclin-dependent kinase 1	ASK1	YKL052C	DASH complex subunit ASK1	15.98824
RIM11	YMR139W	Serine/threonine-protein kinase RIM11/MSD1	IME1	YJR094C	Meiosis-inducing protein 1	15.95043
DBF2	YGR092W	Cell cycle protein kinase DBF2	MOB1	YIL106W	DBF2 kinase activator protein MOB1	15.874691
SSN3	YPL042C	Meiotic mRNA stability protein kinase SSN3	STE12	YHR084W	Protein STE12	15.7756
STE7	YDL159W	Serine/threonine-protein kinase STE7	FUS3	YBL016W	Mitogen-activated protein kinase FUS3	15.767271
CDC28	YBR160W	Cyclin-dependent kinase 1	GIN4	YDR507C	Serine/threonine-protein kinase GIN4	15.75296
CDC28	YBR160W	Cyclin-dependent kinase 1	CDC27	YBL084C	Anaphase-promoting complex subunit CDC27	15.72524
SWE1	YJL187C	Mitosis inhibitor protein kinase SWE1	HSC82	YMR186W	ATP-dependent molecular chaperone HSC82	15.72524
SLT2	YHR030C	Mitogen-activated protein kinase SLT2/MPK1	SWI4	YER111C	Regulatory protein SWI4	15.70499
TPK1	YJL164C	cAMP-dependent protein kinase type 1	CDC20	YGL116W	APC/C activator protein CDC20	15.68144
TPK2	YPL203W	cAMP-dependent protein kinase type 2	CDC20	YGL116W	APC/C activator protein CDC20	15.68144
HOG1	YLR113W	Mitogen-activated protein kinase HOG1	MSA1	YOR066W	G1-specific transcription factors activator MSA1	15.68144
YAK1	YJL141C	Dual specificity protein kinase YAK1	POP2	YNR052C	Poly(A) ribonuclease POP2	15.68144
SLT2	YHR030C	Mitogen-activated protein kinase SLT2/MPK1	SIR3	YLR442C	Regulatory protein SIR3	15.68144
RAD53	YPL153C	Serine/threonine-protein kinase RAD53	SWI6	YLR182W	Regulatory protein SWI6	15.68144
CDC28	YBR160W	Cyclin-dependent kinase 1	CDC6	YJL194W	Cell division control protein 6	15.67382
PHO85	YPL031C	Cyclin-dependent protein kinase PHO85	PCL5	YHR071W	PHO85 cyclin-5	15.65317
CDC28	YBR160W	Cyclin-dependent kinase 1	FAR1	YJL157C	Cyclin-dependent kinase inhibitor FAR1	15.61826
SNF1	YDR477W	Carbon catabolite-derepressing protein kinase	SIP2	YGL208W	SNF1 protein kinase subunit beta-2	15.585361
CDC5	YMR001C	Cell cycle serine/threonine-protein kinase CDC5/MSD2	REC8	YPR007C	Meiotic recombination protein REC8	15.57302
PKH2	YOL100W	Serine/threonine-protein kinase PKH2	LSP1	YPL004C	Sphingolipid long chain base-responsive protein LSP1	15.5213682
TPK2	YPL203W	cAMP-dependent protein kinase type 2	SFL1	YOR140W	Flocculation suppression protein	15.51854
PKH1	YDR490C	Serine/threonine-protein kinase PKH1	LSP1	YPL004C	Sphingolipid long chain base-responsive protein LSP1	15.48256
MPS1	YDL028C	Serine/threonine-protein kinase MPS1	SPC110	YDR356W	Spindle pole body component 110	15.47758
TOR1	YJR066W	Serine/threonine-protein kinase TOR1	ATG13	YPR185W	Autophagy-related protein 13	15.469971
CDC28	YBR160W	Cyclin-dependent kinase 1	RAD53	YPL153C	Serine/threonine-protein kinase RAD53	15.45787
CDC28	YBR160W	Cyclin-dependent kinase 1	HCM1	YCR065W	Forkhead transcription factor HCM1	15.45337
PKC1	YBL105C	Protein kinase C-like 1	BCK1	YJL095W	Serine/threonine-protein kinase BCK1/SLK1/SSP31	15.35908
RCK2	YLR248W	Serine/threonine-protein kinase RCK2	HOG1	YLR113W	Mitogen-activated protein kinase HOG1	15.24319
IPL1	YPL209C	Spindle assembly checkpoint kinase	ASE1	YOR058C	Anaphase spindle elongation protein	15.232477
SSK2	YNR031C	MAP kinase kinase kinase SSK2	PBS2	YJL128C	MAP kinase kinase PBS2	15.159546
TPK3	YKL166C	cAMP-dependent protein kinase type 3	BCY1	YIL033C	cAMP-dependent protein kinase regulatory subunit	15.088061
CLA4	YNL298W	Serine/threonine-protein kinase CLA4	CDC12	YHR107C	Cell division control protein 12	15.07811
HOG1	YLR113W	Mitogen-activated protein kinase HOG1	MRC1	YCL061C	Mediator of replication checkpoint protein 1	15.07689
CLA4	YNL298W	Serine/threonine-protein kinase CLA4	BEM1	YBR200W	Bud emergence protein 1	15.040579
MEK1	YOR351C	Meiosis-specific serine/threonine-protein kinase MEK1	RED1	YLR263W	Protein RED1	15.035491
HOG1	YLR113W	Mitogen-activated protein kinase HOG1	PBS2	YJL128C	MAP kinase kinase PBS2	14.897494
ATG1	YGL180W	Serine/threonine-protein kinase ATG1 {ECO:0000305}	ATG17	YLR423C	Autophagy-related protein 17	14.890528
PKH1	YDR490C	Serine/threonine-protein kinase PKH1	TPK1	YJL164C	cAMP-dependent protein kinase type 1	14.80638
TOR2	YKL203C	Serine/threonine-protein kinase TOR2	ATG13	YPR185W	Autophagy-related protein 13	14.79153
PRK1	YIL095W	Actin-regulating kinase PRK1	ABP1	YCR088W	Actin-binding protein	14.767066
CAK1	YFL029C	Serine/threonine-protein kinase CAK1	CTK1	YKL139W	CTD kinase subunit alpha	14.766508
MEC1	YBR136W	Serine/threonine-protein kinase MEC1	SGS1	YMR190C	ATP-dependent helicase SGS1 {ECO:0000303|PubMed:7969174}	14.76268
PHO85	YPL031C	Cyclin-dependent protein kinase PHO85	SHS1	YDL225W	Seventh homolog of septin 1	14.74303
HOG1	YLR113W	Mitogen-activated protein kinase HOG1	HSL1	YKL101W	Probable serine/threonine-protein kinase HSL1	14.58691
PKH1	YDR490C	Serine/threonine-protein kinase PKH1	YPK1	YKL126W	Serine/threonine-protein kinase YPK1	14.550451
DBF2	YGR092W	Cell cycle protein kinase DBF2	HOF1	YMR032W	Cytokinesis protein 2	14.530737
CAK1	YFL029C	Serine/threonine-protein kinase CAK1	IME2	YJL106W	Meiosis induction protein kinase IME2/SME1	14.471
CDC5	YMR001C	Cell cycle serine/threonine-protein kinase CDC5/MSD2	SPC72	YAL047C	Spindle pole component SPC72	14.44826
CLA4	YNL298W	Serine/threonine-protein kinase CLA4	CDC10	YCR002C	Cell division control protein 10	14.44745
FUS3	YBL016W	Mitogen-activated protein kinase FUS3	TEC1	YBR083W	Ty transcription activator TEC1	14.41224
TPK3	YKL166C	cAMP-dependent protein kinase type 3	RGT1	YKL038W	Glucose transport transcription regulator RGT1	14.36334
CDC5	YMR001C	Cell cycle serine/threonine-protein kinase CDC5/MSD2	CDH1	YGL003C	APC/C activator protein CDH1	14.31954
CKA1	YIL035C	Casein kinase II subunit alpha	SGT1	YOR057W	Protein SGT1 {ECO:0000303|PubMed:10445024, ECO:0000303|PubMed:12456005}	14.31954
CHK1	YBR274W	Serine/threonine-protein kinase CHK1	PDS1	YDR113C	Securin	14.3164
DUN1	YDL101C	DNA damage response protein kinase DUN1	RAD53	YPL153C	Serine/threonine-protein kinase RAD53	14.28604
SNF1	YDR477W	Carbon catabolite-derepressing protein kinase	GLN3	YER040W	Nitrogen regulatory protein GLN3	14.24787
ATG1	YGL180W	Serine/threonine-protein kinase ATG1 {ECO:0000305}	ATG8	YBL078C	Autophagy-related protein 8 precursor	14.229389
MEC1	YBR136W	Serine/threonine-protein kinase MEC1	CDC13	YDL220C	Cell division control protein 13	14.18732
CDC28	YBR160W	Cyclin-dependent kinase 1	SAE2	YGL175C	DNA endonuclease SAE2	14.18732
SSN3	YPL042C	Meiotic mRNA stability protein kinase SSN3	MED2	YDL005C	Mediator of RNA polymerase II transcription subunit 2	14.17775
BCK1	YJL095W	Serine/threonine-protein kinase BCK1/SLK1/SSP31	SLT2	YHR030C	Mitogen-activated protein kinase SLT2/MPK1	14.140554
FPK1	YNR047W	Flippase kinase 1	YPK1	YKL126W	Serine/threonine-protein kinase YPK1	14.086901
HOG1	YLR113W	Mitogen-activated protein kinase HOG1	STE50	YCL032W	Protein STE50	14.079221
IME2	YJL106W	Meiosis induction protein kinase IME2/SME1	SIC1	YLR079W	Protein SIC1	14.07717
MKK2	YPL140C	MAP kinase kinase MKK2/SSP33	SLT2	YHR030C	Mitogen-activated protein kinase SLT2/MPK1	14.02986
CDC28	YBR160W	Cyclin-dependent kinase 1	BOI1	YBL085W	Protein BOB1	13.99039
SLT2	YHR030C	Mitogen-activated protein kinase SLT2/MPK1	SWI6	YLR182W	Regulatory protein SWI6	13.965521
SSK2	YNR031C	MAP kinase kinase kinase SSK2	SSK1	YLR006C	Osmolarity two-component system protein SSK1	13.860376
PKH1	YDR490C	Serine/threonine-protein kinase PKH1	TPK2	YPL203W	cAMP-dependent protein kinase type 2	13.82086
SAK1	YER129W	SNF1-activating kinase 1	GAL83	YER027C	SNF1 protein kinase subunit beta-3	13.81028
SKY1	YMR216C	Serine/threonine-protein kinase SKY1	GBP2	YCL011C	Single-strand telomeric DNA-binding protein GBP2	13.81028
CDC28	YBR160W	Cyclin-dependent kinase 1	TOS4	YLR183C	Protein TOS4	13.74708
CDC28	YBR160W	Cyclin-dependent kinase 1	CDC13	YDL220C	Cell division control protein 13	13.702031
IME2	YJL106W	Meiosis induction protein kinase IME2/SME1	IME1	YJR094C	Meiosis-inducing protein 1	13.6945
CDC28	YBR160W	Cyclin-dependent kinase 1	SPC42	YKL042W	Spindle pole body component SPC42	13.67879
CAK1	YFL029C	Serine/threonine-protein kinase CAK1	KIN28	YDL108W	Serine/threonine-protein kinase KIN28	13.66815
CDC28	YBR160W	Cyclin-dependent kinase 1	STE5	YDR103W	Protein STE5	13.653
YPD1	YDL235C	Phosphorelay intermediate protein YPD1	SKN7	YHR206W	Transcription factor SKN7	13.63168
SGV1	YPR161C	Serine/threonine-protein kinase BUR1	SPT5	YML010W	Transcription elongation factor SPT5	13.62435
MCK1	YNL307C	Protein kinase MCK1	CDC19	YAL038W	Pyruvate kinase 1	13.61485
PKH1	YDR490C	Serine/threonine-protein kinase PKH1	TPK3	YKL166C	cAMP-dependent protein kinase type 3	13.5732
CDC28	YBR160W	Cyclin-dependent kinase 1	CLB1	YGR108W	G2/mitotic-specific cyclin-1	13.48967
CBK1	YNL161W	Serine/threonine-protein kinase CBK1	MOB2	YFL034C-B	CBK1 kinase activator protein MOB2	13.470831
MEK1	YOR351C	Meiosis-specific serine/threonine-protein kinase MEK1	HOP1	YIL072W	Meiosis-specific protein HOP1	13.43612
CDC28	YBR160W	Cyclin-dependent kinase 1	CDC23	YHR166C	Anaphase-promoting complex subunit CDC23	13.42997
CDC28	YBR160W	Cyclin-dependent kinase 1	CLN1	YMR199W	G1/S-specific cyclin CLN1	13.4191251
MCK1	YNL307C	Protein kinase MCK1	KIP2	YPL155C	Kinesin-like protein KIP2	13.40846
IPL1	YPL209C	Spindle assembly checkpoint kinase	MAD3	YJL013C	Spindle assembly checkpoint component MAD3	13.40846
KIN28	YDL108W	Serine/threonine-protein kinase KIN28	MED4	YOR174W	Mediator of RNA polymerase II transcription subunit 4	13.40846
GCN2	YDR283C	eIF-2-alpha kinase GCN2 {ECO:0000250|UniProtKB:Q9HGN1}	SUI2	YJR007W	Eukaryotic translation initiation factor 2 subunit alpha	13.40846
CDC28	YBR160W	Cyclin-dependent kinase 1	LTE1	YAL024C	Guanine nucleotide exchange factor LTE1	13.34528
YCK3	YER123W	Casein kinase I homolog 3	VPS41	YDR080W	Vacuolar protein sorting-associated protein 41	13.315032
SNF1	YDR477W	Carbon catabolite-derepressing protein kinase	SIP4	YJL089W	Protein SIP4	13.29592
CKA2	YOR061W	Casein kinase II subunit alpha'	RIO1	YOR119C	Serine/threonine-protein kinase RIO1	13.27391
SLT2	YHR030C	Mitogen-activated protein kinase SLT2/MPK1	ROM2	YLR371W	RHO1 GDP-GTP exchange protein 2	13.25498
CKA1	YIL035C	Casein kinase II subunit alpha	SIC1	YLR079W	Protein SIC1	13.2542
MCK1	YNL307C	Protein kinase MCK1	BCY1	YIL033C	cAMP-dependent protein kinase regulatory subunit	13.18505
CDC28	YBR160W	Cyclin-dependent kinase 1	CDC7	YDL017W	Cell division control protein 7	13.17261
SCH9	YHR205W	Serine/threonine-protein kinase SCH9	BUD32	YGR262C	EKC/KEOPS complex subunit BUD32	13.12881
MEC1	YBR136W	Serine/threonine-protein kinase MEC1	RAD53	YPL153C	Serine/threonine-protein kinase RAD53	13.122551
SLN1	YIL147C	Osmosensing histidine protein kinase SLN1	YPD1	YDL235C	Phosphorelay intermediate protein YPD1	13.102481
MPS1	YDL028C	Serine/threonine-protein kinase MPS1	CDC31	YOR257W	Cell division control protein 31	13.0688
SNF1	YDR477W	Carbon catabolite-derepressing protein kinase	HSF1	YGL073W	Heat shock factor protein	13.04496
CDC28	YBR160W	Cyclin-dependent kinase 1	LRE1	YCL051W	Laminarase-resistance protein LRE1	13.02758
FUS3	YBL016W	Mitogen-activated protein kinase FUS3	FAR1	YJL157C	Cyclin-dependent kinase inhibitor FAR1	12.9966
KIC1	YHR102W	Serine/threonine-protein kinase KIC1	HYM1	YKL189W	Protein HYM1	12.98992
CDC28	YBR160W	Cyclin-dependent kinase 1	CLB2	YPR119W	G2/mitotic-specific cyclin-2	12.9533
TPK1	YJL164C	cAMP-dependent protein kinase type 1	NTH1	YDR001C	Neutral trehalase	12.94377
CDC5	YMR001C	Cell cycle serine/threonine-protein kinase CDC5/MSD2	HOF1	YMR032W	Cytokinesis protein 2	12.927257
SWE1	YJL187C	Mitosis inhibitor protein kinase SWE1	HSP82	YPL240C	ATP-dependent molecular chaperone HSP82	12.91292
TPK1	YJL164C	cAMP-dependent protein kinase type 1	CDC25	YLR310C	Cell division control protein 25	12.87298
SSK2	YNR031C	MAP kinase kinase kinase SSK2	HOG1	YLR113W	Mitogen-activated protein kinase HOG1	12.871176
CDC5	YMR001C	Cell cycle serine/threonine-protein kinase CDC5/MSD2	NDD1	YOR372C	Nuclear division defective protein 1	12.8331
ATG1	YGL180W	Serine/threonine-protein kinase ATG1 {ECO:0000305}	ATG11	YPR049C	Autophagy-related protein 11	12.831698
TEL1	YBL088C	Serine/threonine-protein kinase TEL1	POL4	YCR014C	DNA polymerase IV	12.80391
CDC28	YBR160W	Cyclin-dependent kinase 1	REC107	YJR021C	Recombination protein 107	12.80391
AKL1	YBR059C	Serine/threonine-protein kinase AKL1	SCD5	YOR329C	Protein SCD5	12.75622
CDC28	YBR160W	Cyclin-dependent kinase 1	CKS1	YBR135W	Cyclin-dependent kinases regulatory subunit	12.69213
SNF1	YDR477W	Carbon catabolite-derepressing protein kinase	MIG3	YER028C	Transcription corepressor MIG3	12.63867
CDC28	YBR160W	Cyclin-dependent kinase 1	CAK1	YFL029C	Serine/threonine-protein kinase CAK1	12.61758
SLT2	YHR030C	Mitogen-activated protein kinase SLT2/MPK1	RCN2	YOR220W	Regulator of calcineurin 2	12.56357
