gene_name_a	oln_id_a	gene_description_a	gene_name_b	oln_id_b	gene_description_b	type_of_interaction
BIK1	YCL029C	Nuclear fusion protein BIK1	CKS1	YBR135W	Cyclin-dependent kinases regulatory subunit	ng
BIK1	YCL029C	Nuclear fusion protein BIK1	CDC28	YBR160W	Cyclin-dependent kinase 1	ng
STE50	YCL032W	Protein STE50	PIN4	YBL051C	RNA-binding protein PIN4	ng
STE50	YCL032W	Protein STE50	TEC1	YBR083W	Ty transcription activator TEC1	ng
PDI1	YCL043C	Protein disulfide-isomerase precursor	SLA1	YBL007C	Actin cytoskeleton-regulatory complex protein SLA1	ng
SPS22	YCL048W	Sporulation-specific protein 22 precursor	KAP104	YBR017C	Importin subunit beta-2 {ECO:0000250|UniProtKB:Q92973}	ng
MRC1	YCL061C	Mediator of replication checkpoint protein 1	NUP60	YAR002W	Nucleoporin NUP60	ng
MRC1	YCL061C	Mediator of replication checkpoint protein 1	RFA1	YAR007C	Replication factor A protein 1	ng
MRC1	YCL061C	Mediator of replication checkpoint protein 1	MCM2	YBL023C	DNA replication licensing factor MCM2	ng
MRC1	YCL061C	Mediator of replication checkpoint protein 1	MEC1	YBR136W	Serine/threonine-protein kinase MEC1	ng
MRC1	YCL061C	Mediator of replication checkpoint protein 1	MCM7	YBR202W	DNA replication licensing factor MCM7	ng
CDC10	YCR002C	Cell division control protein 10	SKT5	YBL061C	Protein SKT5 precursor	ng
CDC10	YCR002C	Cell division control protein 10	CKS1	YBR135W	Cyclin-dependent kinases regulatory subunit	ng
CDC10	YCR002C	Cell division control protein 10	HPC2	YBR215W	Histone promoter control protein 2	ng
RVS161	YCR009C	Reduced viability upon starvation protein 161	HHT1	YBR010W	Histone H3	ng
RVS161	YCR009C	Reduced viability upon starvation protein 161	SCO1	YBR037C	Protein SCO1, mitochondrial precursor	ng
RVS161	YCR009C	Reduced viability upon starvation protein 161	CHS2	YBR038W	Chitin synthase 2	ng
RVS161	YCR009C	Reduced viability upon starvation protein 161	REB1	YBR049C	DNA-binding protein REB1	ng
RVS161	YCR009C	Reduced viability upon starvation protein 161	TEC1	YBR083W	Ty transcription activator TEC1	ng
RVS161	YCR009C	Reduced viability upon starvation protein 161	CDC28	YBR160W	Cyclin-dependent kinase 1	ng
RVS161	YCR009C	Reduced viability upon starvation protein 161	ARC40	YBR234C	Actin-related protein 2/3 complex subunit 1	ng
PMP1	YCR024C-A	Plasma membrane ATPase proteolipid 1 precursor	TAF5	YBR198C	Transcription initiation factor TFIID subunit 5	ng
NA	YCR025C	Putative uncharacterized protein YCR025C	TAF5	YBR198C	Transcription initiation factor TFIID subunit 5	ng
RPS14A	YCR031C	40S ribosomal protein S14-A	REB1	YBR049C	DNA-binding protein REB1	ng
THR4	YCR053W	Threonine synthase	SLM4	YBR077C	Protein SLM4	ng
THR4	YCR053W	Threonine synthase	TEF2	YBR118W	Elongation factor 1-alpha	ng
BUD31	YCR063W	Pre-mRNA-splicing factor BUD31	PRP45	YAL032C	Pre-mRNA-processing protein 45	ng
BUD31	YCR063W	Pre-mRNA-splicing factor BUD31	PRP6	YBR055C	Pre-mRNA-splicing factor 6	ng
BUD31	YCR063W	Pre-mRNA-splicing factor BUD31	NA	YBR056W	Uncharacterized glycosyl hydrolase YBR056W	ng
BUD31	YCR063W	Pre-mRNA-splicing factor BUD31	ECM2	YBR065C	Pre-mRNA-splicing factor SLT11	ng
RAD18	YCR066W	Postreplication repair E3 ubiquitin-protein ligase RAD18	RAD16	YBR114W	DNA repair protein RAD16	ng
SSK22	YCR073C	Serine/threonine-protein kinase SSK22	REB1	YBR049C	DNA-binding protein REB1	ng
PAT1	YCR077C	DNA topoisomerase 2-associated protein PAT1	CKS1	YBR135W	Cyclin-dependent kinases regulatory subunit	ng
PAT1	YCR077C	DNA topoisomerase 2-associated protein PAT1	BSD2	YBR290W	Metal homeostatis protein BSD2	ng
CSM1	YCR086W	Monopolin complex subunit CSM1	BRN1	YBL097W	Condensin complex subunit 2	ng
CSM1	YCR086W	Monopolin complex subunit CSM1	HHT1	YBR010W	Histone H3	ng
CSM1	YCR086W	Monopolin complex subunit CSM1	SIF2	YBR103W	SIR4-interacting protein SIF2	ng
ABP1	YCR088W	Actin-binding protein	SLA1	YBL007C	Actin cytoskeleton-regulatory complex protein SLA1	ng
ABP1	YCR088W	Actin-binding protein	EDE1	YBL047C	EH domain-containing and endocytosis protein 1	ng
OCA4	YCR095C	Protein OCA4	PKC1	YBL105C	Protein kinase C-like 1	ng
MED2	YDL005C	Mediator of RNA polymerase II transcription subunit 2	ECM33	YBR078W	Cell wall protein ECM33 precursor	ng
PTC1	YDL006W	Protein phosphatase 2C homolog 1	CHS2	YBR038W	Chitin synthase 2	ng
PTC1	YDL006W	Protein phosphatase 2C homolog 1	HSL7	YBR133C	Protein arginine N-methyltransferase HSL7 {ECO:0000305|PubMed:10903903}	ng
RPT2	YDL007W	26S protease regulatory subunit 4 homolog	SEC66	YBR171W	Translocation protein SEC66	ng
RPT2	YDL007W	26S protease regulatory subunit 4 homolog	HSM3	YBR272C	DNA mismatch repair protein HSM3	ng
APC11	YDL008W	Anaphase-promoting complex subunit 11	CDC27	YBL084C	Anaphase-promoting complex subunit CDC27	ng
SLX5	YDL013W	E3 ubiquitin-protein ligase complex SLX5-SLX8 subunit SLX5	GRS1	YBR121C	Glycine--tRNA ligase 1, mitochondrial precursor	ng
CDC7	YDL017W	Cell division control protein 7	RFA1	YAR007C	Replication factor A protein 1	ng
CDC7	YDL017W	Cell division control protein 7	ORC2	YBR060C	Origin recognition complex subunit 2	ng
CDC7	YDL017W	Cell division control protein 7	HSL7	YBR133C	Protein arginine N-methyltransferase HSL7 {ECO:0000305|PubMed:10903903}	ng
RPN4	YDL020C	Protein RPN4	PRE7	YBL041W	Proteasome subunit beta type-6 precursor	ng
RPN4	YDL020C	Protein RPN4	SHP1	YBL058W	UBX domain-containing protein 1	ng
RPN4	YDL020C	Protein RPN4	HSM3	YBR272C	DNA mismatch repair protein HSM3	ng
RPN4	YDL020C	Protein RPN4	SLM5	YCR024C	Asparagine--tRNA ligase, mitochondrial precursor	ng
MPS1	YDL028C	Serine/threonine-protein kinase MPS1	FUN30	YAL019W	ATP-dependent helicase FUN30	ng
MPS1	YDL028C	Serine/threonine-protein kinase MPS1	IML3	YBR107C	Central kinetochore subunit IML3	ng
MPS1	YDL028C	Serine/threonine-protein kinase MPS1	HCM1	YCR065W	Forkhead transcription factor HCM1	ng
ARP2	YDL029W	Actin-related protein 2	SKT5	YBL061C	Protein SKT5 precursor	ng
ARP2	YDL029W	Actin-related protein 2	MNN2	YBR015C	Alpha-1,2-mannosyltransferase MNN2	ng
ARP2	YDL029W	Actin-related protein 2	AIM3	YBR108W	Altered inheritance of mitochondria protein 3	ng
ARP2	YDL029W	Actin-related protein 2	ARC40	YBR234C	Actin-related protein 2/3 complex subunit 1	ng
ARP2	YDL029W	Actin-related protein 2	RGD1	YBR260C	RHO GTPase-activating protein RGD1	ng
ARP2	YDL029W	Actin-related protein 2	RVS161	YCR009C	Reduced viability upon starvation protein 161	ng
ARP2	YDL029W	Actin-related protein 2	BUD31	YCR063W	Pre-mRNA-splicing factor BUD31	ng
ARP2	YDL029W	Actin-related protein 2	ABP1	YCR088W	Actin-binding protein	ng
PRP9	YDL030W	Pre-mRNA-splicing factor PRP9	MUD1	YBR119W	U1 small nuclear ribonucleoprotein A	ng
GPR1	YDL035C	G protein-coupled receptor GPR1	SEC18	YBR080C	Vesicular-fusion protein SEC18	ng
GPR1	YDL035C	G protein-coupled receptor GPR1	LDB16	YCL005W	Protein LDB16	ng
GPR1	YDL035C	G protein-coupled receptor GPR1	MRPL32	YCR003W	54S ribosomal protein L32, mitochondrial precursor	ng
PRP11	YDL043C	Pre-mRNA-splicing factor PRP11	MUD1	YBR119W	U1 small nuclear ribonucleoprotein A	ng
MBP1	YDL056W	Transcription factor MBP1	HSL7	YBR133C	Protein arginine N-methyltransferase HSL7 {ECO:0000305|PubMed:10903903}	ng
UBC9	YDL064W	SUMO-conjugating enzyme UBC9	MMS4	YBR098W	Crossover junction endonuclease MMS4	ng
BDF2	YDL070W	Bromodomain-containing factor 2	CSH1	YBR161W	Mannosyl phosphorylinositol ceramide synthase CSH1	ng
RPS16B	YDL083C	40S ribosomal protein S16-B	VID24	YBR105C	Vacuolar import and degradation protein 24	ng
SUB2	YDL084W	ATP-dependent RNA helicase SUB2	NUP60	YAR002W	Nucleoporin NUP60	ng
SUB2	YDL084W	ATP-dependent RNA helicase SUB2	PAT1	YCR077C	DNA topoisomerase 2-associated protein PAT1	ng
LUC7	YDL087C	Protein LUC7	MUD1	YBR119W	U1 small nuclear ribonucleoprotein A	ng
ASM4	YDL088C	Nucleoporin ASM4	NUP170	YBL079W	Nucleoporin NUP170	ng
ASM4	YDL088C	Nucleoporin ASM4	CDC28	YBR160W	Cyclin-dependent kinase 1	ng
RPN6	YDL097C	26S proteasome regulatory subunit RPN6	CDC27	YBL084C	Anaphase-promoting complex subunit CDC27	ng
RPN6	YDL097C	26S proteasome regulatory subunit RPN6	KAP104	YBR017C	Importin subunit beta-2 {ECO:0000250|UniProtKB:Q92973}	ng
RPN6	YDL097C	26S proteasome regulatory subunit RPN6	SEC66	YBR171W	Translocation protein SEC66	ng
RPN6	YDL097C	26S proteasome regulatory subunit RPN6	SWD3	YBR175W	COMPASS component SWD3	ng
SNU23	YDL098C	23 kDa U4/U6.U5 small nuclear ribonucleoprotein component	LSM2	YBL026W	U6 snRNA-associated Sm-like protein LSm2	ng
SNU23	YDL098C	23 kDa U4/U6.U5 small nuclear ribonucleoprotein component	SPP381	YBR152W	Pre-mRNA-splicing factor SPP381	ng
GET3	YDL100C	ATPase GET3 {ECO:0000255|HAMAP-Rule:MF_03112}	UMP1	YBR173C	Proteasome maturation factor UMP1	ng
DUN1	YDL101C	DNA damage response protein kinase DUN1	RFA1	YAR007C	Replication factor A protein 1	ng
DUN1	YDL101C	DNA damage response protein kinase DUN1	URA7	YBL039C	CTP synthase 1	ng
POL3	YDL102W	DNA polymerase delta catalytic subunit	PIN4	YBL051C	RNA-binding protein PIN4	ng
PHO2	YDL106C	Regulatory protein PHO2	RKM3	YBR030W	Ribosomal lysine N-methyltransferase 3 {ECO:0000303|PubMed:18957409}	ng
PHO2	YDL106C	Regulatory protein PHO2	CSG2	YBR036C	Mannosyl phosphorylinositol ceramide synthase regulatory protein CSG2 precursor	ng
KIN28	YDL108W	Serine/threonine-protein kinase KIN28	HHF1	YBR009C	Histone H4	ng
KIN28	YDL108W	Serine/threonine-protein kinase KIN28	SRB6	YBR253W	Mediator of RNA polymerase II transcription subunit 22	ng
IWR1	YDL115C	RNA polymerase II nuclear localization protein IWR1	RPB5	YBR154C	DNA-directed RNA polymerases I, II, and III subunit RPABC1	ng
CYK3	YDL117W	Cytokinesis protein 3	STE50	YCL032W	Protein STE50	ng
UBP1	YDL122W	Ubiquitin carboxyl-terminal hydrolase 1	PRE7	YBL041W	Proteasome subunit beta type-6 precursor	ng
UBP1	YDL122W	Ubiquitin carboxyl-terminal hydrolase 1	CDS1	YBR029C	Phosphatidate cytidylyltransferase	ng
HNT1	YDL125C	Hit family protein 1	KAP104	YBR017C	Importin subunit beta-2 {ECO:0000250|UniProtKB:Q92973}	ng
HNT1	YDL125C	Hit family protein 1	PRP5	YBR237W	Pre-mRNA-processing ATP-dependent RNA helicase PRP5	ng
CDC48	YDL126C	Cell division control protein 48 {ECO:0000305|PubMed:6749598}	DRS2	YAL026C	Probable phospholipid-transporting ATPase DRS2	ng
CDC48	YDL126C	Cell division control protein 48 {ECO:0000305|PubMed:6749598}	SHP1	YBL058W	UBX domain-containing protein 1	ng
CDC48	YDL126C	Cell division control protein 48 {ECO:0000305|PubMed:6749598}	PHO88	YBR106W	Inorganic phosphate transport protein PHO88	ng
CDC48	YDL126C	Cell division control protein 48 {ECO:0000305|PubMed:6749598}	UMP1	YBR173C	Proteasome maturation factor UMP1	ng
CDC48	YDL126C	Cell division control protein 48 {ECO:0000305|PubMed:6749598}	THR4	YCR053W	Threonine synthase	ng
PCL2	YDL127W	PHO85 cyclin-2	CHS2	YBR038W	Chitin synthase 2	ng
RPL35B	YDL136W	60S ribosomal protein L35-B	CDC28	YBR160W	Cyclin-dependent kinase 1	ng
RPL35B	YDL136W	60S ribosomal protein L35-B	TAF5	YBR198C	Transcription initiation factor TFIID subunit 5	ng
SCM3	YDL139C	Protein SCM3	HHF1	YBR009C	Histone H4	ng
SCM3	YDL139C	Protein SCM3	SLI15	YBR156C	Inner centromere protein-related protein SLI15	ng
RPO21	YDL140C	DNA-directed RNA polymerase II subunit RPB1	TFC3	YAL001C	Transcription factor tau 138 kDa subunit	ng
RPO21	YDL140C	DNA-directed RNA polymerase II subunit RPB1	PRP45	YAL032C	Pre-mRNA-processing protein 45	ng
RPO21	YDL140C	DNA-directed RNA polymerase II subunit RPB1	KTI11	YBL071W-A	Diphthamide biosynthesis protein 3	ng
RPO21	YDL140C	DNA-directed RNA polymerase II subunit RPB1	RPB5	YBR154C	DNA-directed RNA polymerases I, II, and III subunit RPABC1	ng
COP1	YDL145C	Coatomer subunit alpha	SEC18	YBR080C	Vesicular-fusion protein SEC18	ng
LDB17	YDL146W	Protein LDB17	ARC40	YBR234C	Actin-related protein 2/3 complex subunit 1	ng
RPN5	YDL147W	26S proteasome regulatory subunit RPN5	KAP104	YBR017C	Importin subunit beta-2 {ECO:0000250|UniProtKB:Q92973}	ng
RPN5	YDL147W	26S proteasome regulatory subunit RPN5	SEC18	YBR080C	Vesicular-fusion protein SEC18	ng
NOP14	YDL148C	Nucleolar complex protein 14	NUP170	YBL079W	Nucleoporin NUP170	ng
NOP14	YDL148C	Nucleolar complex protein 14	RRP7	YCL031C	Ribosomal RNA-processing protein 7	ng
NOP14	YDL148C	Nucleolar complex protein 14	PWP2	YCR057C	Periodic tryptophan protein 2	ng
ATG9	YDL149W	Autophagy-related protein 9 {ECO:0000303|PubMed:14536056}	CDC39	YCR093W	General negative regulator of transcription subunit 1	ng
RPC53	YDL150W	DNA-directed RNA polymerase III subunit RPC4	ILS1	YBL076C	Isoleucine--tRNA ligase, cytoplasmic	ng
RPC53	YDL150W	DNA-directed RNA polymerase III subunit RPC4	TFC1	YBR123C	Transcription factor tau 95 kDa subunit	ng
RPC53	YDL150W	DNA-directed RNA polymerase III subunit RPC4	RPB5	YBR154C	DNA-directed RNA polymerases I, II, and III subunit RPABC1	ng
SAS10	YDL153C	Something about silencing protein 10	KRR1	YCL059C	KRR1 small subunit processome component	ng
CLB3	YDL155W	G2/mitotic-specific cyclin-3	SHP1	YBL058W	UBX domain-containing protein 1	ng
CMR1	YDL156W	DNA damage-binding protein CMR1 {ECO:0000305|PubMed:22367945}	RFA1	YAR007C	Replication factor A protein 1	ng
CDC36	YDL165W	General negative regulator of transcription subunit 2	CDC39	YCR093W	General negative regulator of transcription subunit 1	ng
SFA1	YDL168W	S-(hydroxymethyl)glutathione dehydrogenase	NA	YBR071W	Uncharacterized protein YBR071W	ng
NA	YDL186W	Uncharacterized protein YDL186W	CPR4	YCR069W	Peptidyl-prolyl cis-trans isomerase CPR4 precursor	ng
UFD2	YDL190C	E4 ubiquitin-protein ligase UFD2	CDS1	YBR029C	Phosphatidate cytidylyltransferase	ng
UFD2	YDL190C	E4 ubiquitin-protein ligase UFD2	TAF5	YBR198C	Transcription initiation factor TFIID subunit 5	ng
UFD2	YDL190C	E4 ubiquitin-protein ligase UFD2	STP22	YCL008C	Suppressor protein STP22 of temperature-sensitive alpha-factor receptor and arginine permease	ng
ARF1	YDL192W	ADP-ribosylation factor 1	ARL1	YBR164C	ADP-ribosylation factor-like protein 1	ng
NUS1	YDL193W	Dehydrodolichyl diphosphate syntase complex subunit NUS1 {ECO:0000305}	PMT2	YAL023C	Dolichyl-phosphate-mannose--protein mannosyltransferase 2 {ECO:0000305}	ng
ACK1	YDL203C	Activator of C kinase protein 1	PKC1	YBL105C	Protein kinase C-like 1	ng
ACK1	YDL203C	Activator of C kinase protein 1	IPP1	YBR011C	Inorganic pyrophosphatase	ng
ACK1	YDL203C	Activator of C kinase protein 1	BEM1	YBR200W	Bud emergence protein 1	ng
ACK1	YDL203C	Activator of C kinase protein 1	RGD1	YBR260C	RHO GTPase-activating protein RGD1	ng
GLE1	YDL207W	Nucleoporin GLE1	NUP60	YAR002W	Nucleoporin NUP60	ng
GLE1	YDL207W	Nucleoporin GLE1	NUP170	YBL079W	Nucleoporin NUP170	ng
GLE1	YDL207W	Nucleoporin GLE1	GID7	YCL039W	Glucose-induced degradation protein 7	ng
NHP2	YDL208W	H/ACA ribonucleoprotein complex subunit 2	NOP1	YDL014W	rRNA 2'-O-methyltransferase fibrillarin	ng
CWC2	YDL209C	Pre-mRNA-splicing factor CWC2	AAR2	YBL074C	A1 cistron-splicing factor AAR2	ng
CWC2	YDL209C	Pre-mRNA-splicing factor CWC2	CDC27	YBL084C	Anaphase-promoting complex subunit CDC27	ng
SHR3	YDL212W	Secretory component protein SHR3	PKC1	YBL105C	Protein kinase C-like 1	ng
SHR3	YDL212W	Secretory component protein SHR3	CCZ1	YBR131W	Vacuolar fusion protein CCZ1	ng
SHR3	YDL212W	Secretory component protein SHR3	NPL4	YBR170C	Nuclear protein localization protein 4	ng
NOP6	YDL213C	Nucleolar protein 6	KRR1	YCL059C	KRR1 small subunit processome component	ng
CDC13	YDL220C	Cell division control protein 13	CKS1	YBR135W	Cyclin-dependent kinases regulatory subunit	ng
CDC13	YDL220C	Cell division control protein 13	RIF1	YBR275C	Telomere length regulator protein RIF1	ng
CDC13	YDL220C	Cell division control protein 13	MRC1	YCL061C	Mediator of replication checkpoint protein 1	ng
SHS1	YDL225W	Seventh homolog of septin 1	SKT5	YBL061C	Protein SKT5 precursor	ng
SHS1	YDL225W	Seventh homolog of septin 1	BUD3	YCL014W	Bud site selection protein 3	ng
SHS1	YDL225W	Seventh homolog of septin 1	CDC10	YCR002C	Cell division control protein 10	ng
GCS1	YDL226C	ADP-ribosylation factor GTPase-activating protein GCS1	DRS2	YAL026C	Probable phospholipid-transporting ATPase DRS2	ng
GCS1	YDL226C	ADP-ribosylation factor GTPase-activating protein GCS1	KAP104	YBR017C	Importin subunit beta-2 {ECO:0000250|UniProtKB:Q92973}	ng
GCS1	YDL226C	ADP-ribosylation factor GTPase-activating protein GCS1	CSG2	YBR036C	Mannosyl phosphorylinositol ceramide synthase regulatory protein CSG2 precursor	ng
GCS1	YDL226C	ADP-ribosylation factor GTPase-activating protein GCS1	UBC4	YBR082C	Ubiquitin-conjugating enzyme E2 4	ng
SSB1	YDL229W	Heat shock protein SSB1	RPB5	YBR154C	DNA-directed RNA polymerases I, II, and III subunit RPABC1	ng
OST4	YDL232W	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit OST4	PKC1	YBL105C	Protein kinase C-like 1	ng
PSF1	YDR013W	DNA replication complex GINS protein PSF1	RFA1	YAR007C	Replication factor A protein 1	ng
PSF1	YDR013W	DNA replication complex GINS protein PSF1	MEC1	YBR136W	Serine/threonine-protein kinase MEC1	ng
PSF1	YDR013W	DNA replication complex GINS protein PSF1	MCM7	YBR202W	DNA replication licensing factor MCM7	ng
PSF1	YDR013W	DNA replication complex GINS protein PSF1	DPB3	YBR278W	DNA polymerase epsilon subunit C	ng
PSF1	YDR013W	DNA replication complex GINS protein PSF1	MRC1	YCL061C	Mediator of replication checkpoint protein 1	ng
PSF1	YDR013W	DNA replication complex GINS protein PSF1	CSM1	YCR086W	Monopolin complex subunit CSM1	ng
PSF1	YDR013W	DNA replication complex GINS protein PSF1	CDC13	YDL220C	Cell division control protein 13	ng
RPC11	YDR045C	DNA-directed RNA polymerase III subunit RPC10	RPB5	YBR154C	DNA-directed RNA polymerases I, II, and III subunit RPABC1	ng
TPI1	YDR050C	Triosephosphate isomerase	RPO21	YDL140C	DNA-directed RNA polymerase II subunit RPB1	ng
CDC34	YDR054C	Ubiquitin-conjugating enzyme E2-34 kDa	CKS1	YBR135W	Cyclin-dependent kinases regulatory subunit	ng
CDC34	YDR054C	Ubiquitin-conjugating enzyme E2-34 kDa	STP22	YCL008C	Suppressor protein STP22 of temperature-sensitive alpha-factor receptor and arginine permease	ng
UBC5	YDR059C	Ubiquitin-conjugating enzyme E2-16 kDa	UBC4	YBR082C	Ubiquitin-conjugating enzyme E2 4	ng
LCB2	YDR062W	Serine palmitoyltransferase 2	TSC3	YBR058C-A	Serine palmitoyltransferase-regulating protein TSC3	ng
OCA6	YDR067C	Putative tyrosine-protein phosphatase OCA6	MRPS5	YBR251W	37S ribosomal protein S5, mitochondrial precursor	ng
PAA1	YDR071C	Polyamine N-acetyltransferase 1	HHT1	YBR010W	Histone H3	ng
SNF11	YDR073W	Transcription regulatory protein SNF11	FMT1	YBL013W	Methionyl-tRNA formyltransferase, mitochondrial precursor	ng
RAD55	YDR076W	DNA repair protein RAD55	NUP60	YAR002W	Nucleoporin NUP60	ng
RAD55	YDR076W	DNA repair protein RAD55	PIN4	YBL051C	RNA-binding protein PIN4	ng
VPS41	YDR080W	Vacuolar protein sorting-associated protein 41	VPS8	YAL002W	Vacuolar protein sorting-associated protein 8	ng
PDC2	YDR081C	Protein PDC2	THI2	YBR240C	Thiamine biosynthesis regulatory protein	ng
SSS1	YDR086C	Protein transport protein SSS1	SEC66	YBR171W	Translocation protein SEC66	ng
SSS1	YDR086C	Protein transport protein SSS1	OST4	YDL232W	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit OST4	ng
