"kukd" "kuku" "pkd" "pku" "pp" "tdkd" "tdp" "tdtd" "tukd" "tup" "tutd" "tutu" "kdkd" "tdku" "tuku"
22 88 53 118 387 NA 24 3 10 18 6 170 29 1 NA
19 73 42 120 371 NA 19 3 12 8 3 168 7 2 NA
18 87 40 81 362 NA 42 3 13 28 6 143 2 NA NA
25 74 48 98 400 NA 26 1 7 19 5 153 19 2 NA
28 78 40 101 396 1 17 1 9 29 1 129 5 NA NA
21 85 46 96 376 1 33 4 4 30 6 139 14 NA NA
23 105 36 118 383 2 28 6 9 30 NA 149 5 1 NA
29 83 47 114 363 NA 26 NA 4 29 1 134 7 1 NA
24 88 45 99 400 5 25 NA 4 10 3 144 10 3 1
23 86 49 102 365 1 24 4 5 25 7 144 26 1 NA
21 82 37 94 367 3 28 NA 11 22 3 148 5 1 NA
12 94 41 111 378 NA 37 1 8 24 7 165 26 1 NA
21 92 55 116 374 5 28 9 11 40 5 159 1 1 NA
23 62 39 89 376 2 23 1 3 9 3 167 12 NA NA
28 89 45 46 394 4 40 5 3 28 NA 119 7 1 NA
31 88 47 114 389 2 36 NA 3 18 NA 140 12 2 NA
25 91 47 100 333 NA 37 1 10 30 8 141 31 1 NA
26 73 47 83 352 10 25 NA 3 31 2 164 27 2 NA
24 78 41 100 351 4 20 19 4 23 1 170 18 3 NA
19 75 52 122 359 1 21 1 6 20 3 173 NA 3 NA
21 79 37 83 345 4 33 4 3 18 2 156 13 NA NA
26 81 41 102 338 3 32 12 6 22 2 149 19 1 1
19 71 53 104 357 5 34 14 10 20 6 163 4 4 NA
13 64 44 83 370 1 26 2 7 24 NA 150 16 NA NA
26 87 49 98 353 3 30 13 1 18 1 145 8 1 NA
15 81 30 75 366 NA 24 8 10 33 2 143 1 1 NA
27 82 50 102 365 3 21 2 7 32 3 167 12 2 NA
29 86 59 100 376 3 33 10 7 38 3 154 17 NA NA
23 75 50 82 357 1 29 1 4 16 5 144 5 NA NA
20 87 40 113 365 NA 32 NA 7 40 2 163 27 NA NA
22 96 48 102 364 5 28 NA 14 32 1 189 1 NA NA
35 93 57 89 386 3 26 2 7 24 1 144 7 1 NA
18 75 47 97 344 5 28 5 3 12 6 165 16 3 NA
21 78 49 98 321 NA 22 50 2 24 3 187 3 1 NA
28 58 55 91 349 NA 26 17 4 28 3 145 7 1 NA
20 81 53 79 370 3 33 2 4 21 7 141 22 NA NA
30 97 47 79 342 7 30 4 5 33 9 144 11 1 NA
22 81 29 101 352 5 39 5 13 19 3 150 3 4 NA
6 81 39 114 365 NA 37 4 3 27 1 177 1 2 NA
20 99 32 116 382 6 28 4 8 18 4 147 31 1 NA
19 81 35 82 348 1 30 NA 4 27 9 154 8 2 NA
19 54 50 87 379 1 21 6 7 25 1 150 24 NA NA
18 80 40 108 369 NA 29 6 7 33 1 124 6 1 NA
14 86 29 109 353 6 32 26 16 28 1 153 6 2 NA
18 68 41 102 376 4 34 17 6 35 1 172 2 NA NA
14 83 42 113 387 2 32 NA 6 30 1 134 1 3 NA
17 80 43 105 353 NA 32 13 10 25 4 153 2 NA NA
22 77 53 49 339 NA 27 NA 4 22 2 157 2 1 NA
25 100 41 98 361 1 25 NA 2 23 NA 138 3 3 NA
14 75 38 90 413 1 19 4 9 24 2 144 9 NA NA
18 79 41 102 352 4 31 2 5 23 5 155 10 1 NA
21 93 40 111 367 1 34 18 4 24 3 167 3 2 NA
17 91 44 128 395 7 19 NA 9 24 5 131 3 1 NA
23 92 68 113 376 4 44 5 9 22 3 143 8 NA NA
19 87 42 112 350 4 31 7 20 24 4 161 20 2 NA
32 84 42 82 342 1 29 NA 7 22 2 123 23 2 NA
13 74 48 106 367 1 19 9 8 15 3 131 15 NA NA
33 86 39 108 376 1 29 8 11 21 2 147 13 2 1
8 85 38 93 376 6 24 9 10 22 6 151 9 NA NA
22 84 52 83 394 NA 39 NA 3 22 3 125 2 NA NA
22 90 53 105 365 NA 26 NA 2 19 3 141 5 1 NA
