"kdkd" "kukd" "kuku" "pkd" "pku" "pp" "tdkd" "tdp" "tdtd" "tukd" "tup" "tutd" "tutu" "tuku" "tdku"
28 56 66 35 73 135 NA 10 5 NA 4 12 20 NA NA
13 49 57 29 61 131 1 14 9 NA 2 15 23 NA NA
27 56 77 24 55 155 1 20 15 NA 8 10 19 NA NA
26 70 59 39 76 120 2 5 11 NA 4 12 20 NA NA
25 74 85 37 50 118 1 12 13 NA 3 5 20 NA NA
30 89 76 50 52 156 2 8 7 NA 9 2 22 NA NA
18 69 68 49 62 155 1 18 12 1 5 14 18 NA NA
6 46 56 19 55 166 1 15 15 2 3 10 18 NA NA
16 56 67 38 75 133 1 23 7 NA 8 8 27 NA NA
28 61 75 21 57 128 NA 15 18 NA 7 8 18 NA NA
14 53 60 31 58 151 1 19 13 NA 4 13 21 NA NA
24 82 81 34 63 135 NA 15 9 4 7 8 15 NA NA
28 61 73 34 79 135 NA 16 10 NA 8 6 22 NA NA
41 86 72 39 53 125 NA 7 8 NA 5 8 16 NA NA
17 43 69 38 47 130 NA 12 5 1 3 2 25 NA NA
23 52 61 36 41 140 NA 15 6 NA 9 9 21 NA NA
25 30 67 30 60 144 NA 11 13 1 5 4 30 NA 1
14 39 43 17 44 126 1 23 7 NA 1 15 22 NA NA
17 47 74 25 62 122 NA 18 16 NA 3 5 27 NA NA
34 69 84 28 65 132 NA 10 12 NA 5 10 24 NA NA
32 72 58 41 52 128 1 20 15 NA 7 7 21 NA NA
17 43 61 34 61 118 NA 12 10 NA 6 12 21 NA NA
15 44 55 25 55 134 1 15 4 NA 5 8 19 NA NA
26 54 60 35 77 149 NA 13 16 NA 6 13 24 NA NA
12 51 77 37 78 130 1 20 18 NA 5 5 10 NA 3
19 65 64 35 52 133 NA 18 1 NA 6 8 20 NA NA
15 40 80 24 52 93 NA 12 21 NA 3 5 16 NA NA
32 79 74 43 48 136 NA 15 20 1 4 13 20 NA NA
17 49 64 35 62 142 NA 9 24 NA 2 13 27 NA 1
22 58 53 19 57 132 NA 5 5 NA 6 9 20 NA NA
26 68 74 29 61 105 NA 21 10 1 4 6 29 NA NA
18 47 58 33 47 131 NA 7 12 NA 3 8 15 NA NA
14 66 70 34 43 152 NA 19 10 1 5 13 27 NA NA
12 51 62 25 50 141 NA 20 5 NA 7 7 25 NA NA
6 35 50 38 68 136 NA 17 11 2 3 11 32 NA NA
23 53 67 27 51 121 NA 19 14 1 7 15 21 NA NA
34 66 77 24 46 124 1 8 2 NA 4 7 24 NA NA
18 50 54 37 73 117 NA 16 22 NA 7 15 20 NA 1
17 51 87 18 79 159 NA 12 8 NA 6 9 18 NA NA
18 38 49 28 41 107 NA 17 6 NA 5 7 22 NA NA
30 63 73 51 70 148 NA 11 13 NA 4 4 12 NA NA
19 53 50 29 53 113 NA 16 12 NA 9 15 10 NA NA
23 46 68 22 60 158 NA 12 9 1 3 7 23 NA NA
7 35 57 34 71 128 NA 14 5 NA 12 7 20 NA NA
21 57 84 12 55 121 NA 13 13 NA 9 12 22 1 NA
26 61 63 17 54 121 NA 17 7 NA 5 13 23 NA NA
35 83 70 26 64 115 NA 18 6 1 8 11 16 NA NA
17 51 71 28 71 98 1 4 13 NA 3 4 29 NA 2
