"kdkd" "kukd" "kuku" "pkd" "pku" "pp" "tdku" "tdp" "tdtd" "tukd" "tup" "tutd" "tutu" "tdkd" "tuku"
28 59 62 30 76 110 NA 14 13 NA 7 7 22 3 NA
23 63 63 33 84 165 NA 12 12 NA 5 8 20 NA NA
26 59 60 43 51 148 NA 5 18 1 9 22 23 1 NA
28 32 70 30 46 147 NA 18 15 1 8 12 24 NA NA
29 73 68 41 71 127 NA 25 14 1 5 13 16 NA NA
13 55 53 29 35 153 NA 9 12 NA 3 5 21 NA NA
25 65 74 34 59 119 NA 21 15 NA 6 18 21 NA NA
14 50 56 31 60 134 NA 12 7 1 7 6 33 NA NA
19 65 64 9 53 122 NA 17 12 NA 7 8 22 1 NA
31 61 69 39 82 158 NA 18 22 NA 8 5 23 NA NA
16 56 79 31 57 116 NA 7 8 3 7 4 19 NA NA
11 21 50 29 53 150 NA 20 15 NA 5 3 20 NA NA
23 55 53 26 64 140 NA 9 22 NA 12 10 29 2 NA
21 29 70 38 67 174 NA 8 4 NA 3 6 23 NA NA
30 73 46 39 66 139 1 9 7 2 12 13 23 NA NA
17 41 63 23 73 137 NA 22 13 NA 3 5 20 NA NA
17 55 41 35 42 106 NA 14 4 NA 7 6 21 NA NA
24 60 72 19 57 114 NA 12 12 NA 9 11 23 1 NA
9 35 60 33 60 124 NA 9 9 1 10 13 22 NA NA
20 58 63 36 59 136 1 5 9 NA 11 11 32 1 NA
30 49 45 26 51 128 NA 21 18 NA 3 7 20 1 NA
21 59 55 25 45 118 NA 8 16 NA 6 9 28 2 NA
13 60 56 37 63 125 NA 18 10 1 7 5 14 2 NA
15 49 61 33 47 133 1 15 19 1 5 17 38 NA NA
16 57 73 26 28 141 1 7 10 NA 7 7 24 1 1
19 60 47 34 28 118 1 9 5 1 6 11 27 NA NA
8 44 60 35 73 134 NA 11 9 1 3 9 24 NA NA
39 69 84 33 35 131 NA 16 10 NA 7 14 26 2 NA
22 48 63 47 73 149 1 17 6 1 5 8 22 NA NA
16 53 62 38 69 144 NA 15 5 NA 9 7 22 1 NA
11 43 68 27 47 138 NA 10 4 NA 3 13 23 NA NA
23 56 46 33 64 119 NA 13 8 1 2 11 19 NA NA
14 57 68 31 70 140 1 19 12 NA 12 18 23 NA NA
21 67 91 35 70 134 NA 8 8 NA 9 5 31 NA NA
24 57 66 33 76 122 NA 18 11 NA 1 8 28 1 1
20 68 69 33 54 123 NA 15 9 NA 4 9 26 1 NA
23 51 52 26 56 135 NA 15 9 NA 4 5 22 NA NA
19 55 83 30 49 113 NA 6 12 NA 4 4 22 NA NA
15 61 77 32 59 125 NA 14 9 1 3 7 21 3 NA
18 60 70 23 62 139 NA 14 13 NA 8 8 18 1 NA
21 64 60 23 49 130 NA 19 13 NA 8 12 21 NA NA
24 50 74 35 61 111 NA 14 22 NA 3 7 15 1 NA
29 62 85 35 75 154 NA 10 10 NA 9 8 24 2 NA
42 73 69 25 47 126 1 15 13 1 3 9 30 NA NA
18 44 53 31 48 118 NA 13 8 2 3 4 14 NA NA
25 66 74 19 50 131 NA 11 6 1 7 13 27 1 NA
13 49 55 35 58 151 NA 14 7 1 3 3 11 NA NA
16 43 58 27 61 121 NA 18 7 NA 7 13 29 2 NA
15 58 55 22 49 125 NA 10 6 1 2 10 24 1 NA
18 51 61 30 82 135 NA 19 7 NA 3 16 16 NA NA
26 59 67 25 58 119 NA 17 13 NA 5 9 15 1 NA
17 60 65 22 40 128 NA 15 12 NA 5 11 13 NA NA
36 71 87 42 70 123 NA 10 10 NA 7 9 25 1 1
10 45 68 31 38 127 NA 7 15 NA 5 9 28 NA NA
22 52 37 26 45 103 NA 17 11 2 2 6 21 2 NA
25 66 58 29 39 136 NA 23 17 NA 9 12 16 1 NA
17 43 67 33 65 132 NA 14 21 NA 2 9 27 NA NA
