"kdkd" "kukd" "kuku" "pkd" "pku" "pp" "tdp" "tdtd" "tukd" "tup" "tutd" "tutu" "tdkd" "tdku" "tuku"
25 47 56 25 47 111 15 14 NA 4 5 32 NA NA NA
24 70 64 29 66 133 21 13 1 3 5 18 2 1 NA
26 45 77 28 51 146 11 11 NA 4 15 17 1 NA NA
16 57 61 29 62 159 15 6 NA 9 3 23 NA 1 NA
19 51 77 34 81 118 11 14 1 4 12 22 NA NA NA
30 66 65 40 67 128 22 17 1 1 11 14 1 NA NA
20 52 81 32 60 132 15 9 1 5 9 17 NA NA NA
19 58 69 26 49 157 16 13 NA 10 9 22 NA NA NA
13 52 92 34 61 124 18 7 NA 9 11 25 NA 1 NA
15 35 48 25 60 147 22 18 NA 1 3 14 1 NA 1
17 53 65 27 49 131 10 18 1 5 6 21 NA NA NA
20 24 68 33 72 121 16 13 NA 3 5 24 NA NA NA
30 73 94 51 63 120 15 9 NA 1 3 17 7 NA NA
22 65 65 18 50 126 7 21 NA 4 10 29 2 NA NA
9 46 59 31 60 149 13 12 2 5 8 29 NA 1 NA
26 76 93 31 80 135 17 11 NA 8 17 24 1 NA NA
23 51 63 42 57 143 19 14 NA 9 7 23 NA NA NA
14 57 77 47 27 110 13 17 1 3 12 25 NA NA NA
21 70 83 32 46 127 21 6 NA 3 11 21 NA NA NA
13 42 65 21 52 130 8 11 NA 8 9 15 1 NA NA
27 65 80 33 71 139 7 8 NA 10 8 22 NA NA NA
11 36 58 29 53 143 16 9 NA 3 11 22 NA NA NA
18 42 56 22 75 151 13 16 1 1 7 14 1 NA NA
6 33 55 27 47 90 19 16 NA 5 12 22 3 NA NA
16 26 64 23 38 112 14 12 NA 13 11 35 1 1 NA
24 50 71 16 42 126 16 11 1 2 9 28 NA NA NA
20 56 74 28 45 136 12 10 NA 7 7 18 NA NA NA
22 51 63 33 48 121 23 15 NA 4 13 23 NA NA 2
22 47 52 22 37 102 10 5 1 9 8 28 2 NA NA
22 32 63 26 64 144 14 6 1 8 8 13 NA NA NA
14 56 72 27 24 119 15 13 NA 15 7 24 NA 1 NA
24 59 66 30 51 132 22 14 1 10 14 19 NA NA NA
18 59 83 16 67 119 24 16 2 14 5 24 NA 1 NA
28 65 72 27 60 138 23 10 NA 4 8 15 NA NA NA
27 57 70 32 46 137 7 11 NA 6 9 30 NA NA NA
26 48 47 38 31 145 13 13 1 7 5 29 NA NA NA
20 25 71 31 79 138 19 14 NA 6 13 21 NA NA NA
24 42 51 37 52 102 15 11 NA 6 13 24 2 NA NA
23 66 71 36 82 144 15 11 NA 7 14 21 NA NA NA
26 59 55 36 45 119 23 10 NA 8 14 20 NA NA NA
18 46 55 27 71 151 14 11 1 3 3 16 NA NA NA
27 68 67 36 51 127 20 6 NA 11 13 21 NA NA NA
21 64 76 16 63 161 15 5 1 3 9 17 2 NA NA
29 64 61 43 47 170 17 3 1 10 7 39 1 NA NA
21 47 68 27 49 117 19 7 NA 10 13 17 NA NA NA
26 27 68 27 49 126 14 11 NA 3 10 30 2 NA NA
18 58 60 23 49 100 9 10 NA 7 4 18 1 NA NA
34 28 59 28 73 136 5 9 1 6 8 14 1 NA NA
27 68 66 37 69 143 23 12 NA 5 8 22 3 2 NA
16 48 61 31 59 165 16 19 1 7 9 18 NA NA 1
21 52 67 44 52 154 15 6 1 5 15 14 NA NA NA
37 73 73 38 63 139 14 8 NA 3 12 29 NA NA NA
18 47 69 29 38 111 13 12 1 2 12 17 NA 1 NA
28 66 59 19 69 123 17 11 NA 8 8 25 1 NA NA
14 55 47 31 48 128 17 10 1 9 13 27 NA NA NA
17 47 55 41 51 131 18 18 NA 9 10 26 NA NA NA
23 56 56 24 44 128 9 2 NA 4 9 19 NA NA NA
14 42 71 33 60 135 17 6 NA 1 6 32 NA NA NA
24 48 66 37 46 134 14 9 1 9 7 21 NA NA NA
25 61 67 25 41 125 8 10 NA 11 11 23 2 NA NA
17 43 50 35 61 133 16 19 1 1 5 17 NA NA NA
18 54 68 33 56 138 10 13 NA 3 2 16 1 NA 1
21 31 74 21 40 121 4 20 1 3 11 14 3 NA NA
22 61 65 14 52 120 14 9 NA 3 8 16 1 NA NA
21 58 69 30 69 113 15 9 NA 8 15 20 1 NA 1
22 45 56 30 55 126 14 3 NA 8 5 14 NA NA NA
