oln_id_a	oln_id_b
YHL050C	YHR219W
YDR316W-B	YLR410W-B
YAR010C	YPR137C-B
YHR214C-C	YLR157C-A
YCR104W	YDR542W
YER137C-A	YLR256W-A
YFR015C	YLR258W
YBL005W-B	YDR210C-C
YBL113C	YGR296W
YDR034C-C	YLR256W-A
YDR210C-D	YLR410W-B
YJL225C	YLR462W
YMR045C	YPR158C-D
YGR038C-B	YLR410W-B
YER160C	YML045W-A
YEL049W	YOL161C
YJL214W	YLR081W
YDR316W-A	YLR227W-A
YDR316W-B	YLR157C-A
YER190W	YIL177C
YDR365W-B	YJR027W
YER160C	YHR214C-C
YLR157C-B	YNL284C-B
YCL020W	YOR192C-B
YBL100W-B	YLR410W-B
YFL020C	YIL176C
YIR041W	YLL025W
YCL048W	YDR522C
YJL221C	YOL157C
YDR261C-D	YJR026W
YLR157C-A	YOR142W-A
YAR031W	YGL053W
YHR214C-B	YLR035C-A
YDR261W-A	YOL103W-A
YGR027W-A	YMR050C
YGR071C	YLR373C
YAR028W	YNR075W
YBR012W-A	YMR051C
YBR093C	YHR215W
YDR261W-B	YOR192C-B
YMR045C	YOR343W-B
YBL005W-A	YMR045C
YDR342C	YLR081W
YDR365W-B	YML040W
YLL024C	YNL209W
YDR034C-D	YJR027W
YDR170W-A	YMR046C
YLR227W-B	YPR137C-B
YBL039C	YJR103W
YJL225C	YPL283C
YML045W-A	YMR045C
YOR396W	YPR203W
YER159C-A	YML040W
YLR157C-A	YMR050C
YDR210C-C	YPR158C-C
YAR023C	YCR007C
YGR027W-A	YOR142W-A
YML045W	YOL103W-A
YAR010C	YPL257W-B
YBL100W-A	YPR158W-A
YFL002W-B	YJR028W
YGR161C-D	YJR026W
YDR210W-B	YOR343W-A
YGR294W	YIL176C
YKL224C	YNR076W
YGR161W-A	YOL103W-A
YDR170W-A	YOR142W-B
YDR098C-B	YJR029W
YER137C-A	YPR158C-D
YFL060C	YNL334C
YHL001W	YKL006W
YJR026W	YOL103W-A
YER138C	YPL257W-A
YER159C-A	YJR027W
YMR051C	YOR192C-A
YBR048W	YDR025W
YDR365W-A	YLR227W-B
YLR227W-A	YML045W-A
YDR261W-B	YGR027W-B
YLR410W-B	YMR050C
YEL076C	YGR296W
YLR035C-A	YLR157C-B
YNR070W	YPL058C
YCL019W	YGR038C-B
YBR012W-B	YJR028W
YOL103W-A	YOR192C-A
YOL103W-B	YOR142W-B
YDR545W	YLL067C
YEL075C	YPR202W
YGR161C-D	YML039W
YCL019W	YDR316W-B
YHL048W	YNL336W
YDR034C-D	YDR210W-A
YDR098C-A	YDR316W-B
YDR098C-A	YNL284C-A
YDR261C-C	YLR227W-B
YDR034C-C	YOR343W-B
YBL100W-A	YNL054W-A
YIL176C	YOL161C
YEL075C	YOR396W
YML039W	YPR137C-A
YDR098C-A	YGR038C-B
YBR012W-A	YOR343W-A
YEL069C	YJL214W
YLR227W-B	YPL257W-B
YLR256W-A	YOL103W-A
YAR010C	YDR316W-A
YDR098C-B	YLR035C-A
YDR316W-A	YGR161C-C
YFL064C	YIL177C
YLR410W-B	YOR343W-B
YHR219W	YPR204W
YFL020C	YLL025W
YLR410W-A	YOR142W-A
YGR027W-B	YOL103W-B
YLR467W	YPR204W
YER138W-A	YIL060W
YLL067C	YLR466W
YLR157C-B	YML040W
YLR157C-A	YPR158C-D
YOR192C-A	YPR137C-A
YDR034C-D	YNL284C-B
YDR210W-B	YGR027W-B
YGR161C-C	YOR343W-A
YGR038C-A	YHR214C-B
YML039W	YOL103W-A
YMR323W	YPL281C
YER159C-A	YFL002W-B
YDR365W-B	YNL284C-B
YDR170W-A	YLR227W-B
YER137C-A	YMR050C
YOR391C	YPL280W
YLR256W-A	YPR137C-A
YFL002W-B	YGR161W-B
YDR365W-A	YOR142W-B
YBL005W-B	YML045W-A
YDR261C-D	YPR158W-A
YPR137C-A	YPR158W-A
YBL005W-B	YDR210C-D
YDR210W-A	YMR046C
YDR261C-D	YNL054W-A
YML045W	YPR137C-A
YBL005W-B	YHR214C-C
YDR261W-B	YOR343W-A
YLR461W	YMR325W
YBL111C	YOR396W
YBR302C	YHL043W
YGR027W-A	YLR256W-A
YLL066C	YML133C
YDL136W	YDL191W
YLR410W-B	YPR158C-D
YJR026W	YPR137C-A
YGR027W-A	YML045W
YBR012W-B	YGR161W-B
YCL020W	YOR343W-A
YDR261C-C	YOR142W-B
YHR218W	YNL339C
YNL284C-B	YOR142W-B
YAR028W	YAR031W
YBL111C	YPR202W
YFL065C	YIL177C
YBL100W-A	YCL019W
YBR012W-B	YER160C
YAR009C	YGR161W-B
YBL100W-A	YDR098C-A
YGR161W-A	YPR137C-A
YJR028W	YML045W-A
YAR009C	YER160C
YFL052W	YPR196W
YMR045C	YOR142W-A
YOR142W-B	YPR137C-B
YBR012W-A	YGR027W-B
YBL005W-B	YOR192C-B
YDR098C-A	YGR161C-D
YDR210W-B	YER138C
YGR085C	YPR102C
YHR096C	YOL156W
YDR365W-A	YER160C
YML133C	YPR202W
YFL020C	YNR076W
YAR033W	YKL219W
YLR157C-B	YLR256W-A
YAR033W	YJR161C
YDR034C-C	YDR170W-A
YAR033W	YHL044W
YBL005W-A	YPL257W-A
YGR027W-B	YNL054W-A
YLR157C-B	YML045W
YDR170W-A	YJR028W
YML133C	YOR396W
YMR325W	YPL282C
YBR302C	YHL042W
YLR256W-A	YNL284C-A
YDR098C-A	YOL103W-A
YGR161W-B	YOR343W-A
YBL111C	YDR545W
YML045W-A	YPL257W-A
YCL019W	YGR161C-D
YMR046C	YPR137C-B
YDR210C-C	YLR157C-A
YML045W	YNL284C-A
YBR012W-B	YOR142W-B
YDR210W-A	YDR261W-B
YLR227W-A	YMR051C
YDR034C-D	YMR050C
YDR261C-C	YER160C
YAR009C	YOR142W-B
YBR068C	YDR046C
YDR098C-B	YER137C-A
YER159C-A	YOR142W-A
YHR214C-B	YLR157C-B
YDR034C-C	YDR365W-A
YLR462W	YPL283C
YBL005W-B	YDR261C-D
YLR293C	YOR185C
YGL263W	YGR295C
YGR027W-A	YML040W
YGR027W-B	YPR158W-A
YJR026W	YNL284C-A
YDR385W	YOR133W
YGR294W	YLL064C
YMR207C	YNR016C
YBR012W-A	YER138C
YGR027W-A	YJR027W
YBL072C	YER102W
YCL020W	YDR210C-C
YDR365W-B	YMR050C
YEL069C	YLR081W
YLR461W	YOL161C
YDR261C-D	YOL103W-B
YEL077C	YOR396W
YFL066C	YLL067C
YER137C-A	YNL284C-B
YGR161W-A	YNL284C-A
YDR034C-C	YDR261C-C
YDR316W-A	YPL257W-B
YBL112C	YLR466W
YBL113C	YHR219W
YAR010C	YBR012W-A
YDR034C-D	YOR343W-B
YDR170W-A	YER160C
YBR301W	YCR104W
YDR034C-C	YDR210W-A
YDL229W	YJL034W
YER159C-A	YLR256W-A
YBL113C	YLR467W
YML040W	YMR046C
YFL002W-A	YPL257W-B
YLR155C	YLR160C
YLR410W-B	YNL284C-B
YAR027W	YML132W
YER190W	YLL067C
YJR029W	YLR035C-A
YDR342C	YEL069C
YCR007C	YGR295C
YER160C	YGR027W-B
YGR038C-A	YLR157C-B
YIL133C	YNL069C
YDR210C-C	YGR027W-A
YDR210C-C	YPR158W-B
YDR365W-A	YJR028W
YGR010W	YLR328W
YDR365W-B	YOR343W-B
YBL005W-B	YMR051C
YKL224C	YLL025W
YER159C-A	YML045W
YLL066C	YPR203W
YBR012W-B	YLR227W-B
YJL113W	YJL114W
YHR214C-C	YPL257W-A
YLR410W-A	YML040W
YDR210C-D	YPL257W-A
YAR010C	YCL020W
YFR053C	YGL253W
YLR157C-B	YOR142W-A
YGR038C-B	YPL257W-A
YCR104W	YLR461W
YOR153W	YPL058C
YAR009C	YLR227W-B
YCR104W	YPL282C
YGR296W	YJL225C
YDR210C-C	YMR045C
YIL176C	YMR325W
YLR466W	YNL339C
YPL257W-B	YPR137C-B
YDR034C-D	YPR158C-D
YDR261W-B	YER138C
YLR157C-A	YNL284C-B
YDR098C-A	YPR137C-A
YDR316W-B	YPL257W-A
YDR345C	YHR096C
YNL284C-A	YPL257W-A
YDR261C-C	YJR028W
YJR027W	YMR046C
YBR302C	YCR007C
YAR010C	YGR161C-C
YDR365W-B	YPR158C-D
YEL076C	YLR464W
YBR012W-A	YDR210C-C
YML039W	YNL284C-A
YJR028W	YMR051C
YMR303C	YOL086C
YAR027W	YFL062W
YIR041W	YLL064C
YHL042W	YML132W
YCL020W	YHR214C-C
YEL049W	YMR325W
YGR027W-A	YNL284C-B
YER160C	YOR192C-B
YDR098C-B	YLR157C-B
YGR038C-A	YLR410W-A
YJL200C	YLR304C
YMR169C	YMR170C
YMR186W	YPL240C
YDR210W-A	YJR028W
YGR161W-B	YOR192C-B
YNL054W-A	YOL103W-A
YCR007C	YFL062W
YLR157C-B	YMR050C
YER159C-A	YPR158C-D
YFL002W-A	YPR137C-B
YER137C-A	YJR027W
YDR034C-C	YML040W
YML045W-A	YPR158C-C
YER137C-A	YML040W
YJL159W	YKL164C
YGR027W-B	YJR026W
YBL005W-A	YPR158C-C
YHR203C	YJR145C
YDR151C	YLR136C
YJR027W	YOR142W-B
YOR234C	YPL143W
YGR161C-C	YML045W-A
YGL147C	YNL067W
YDR098C-B	YER159C-A
YGR161C-C	YHR214C-C
YCR037C	YJL198W
YDR365W-B	YML045W
YER138C	YLR410W-B
YML040W	YOR142W-B
YOR343W-A	YPR158W-A
YBL112C	YNL339C
YIR041W	YNR076W
YMR050C	YOL103W-A
YJR161C	YNR075W
YEL076C	YLR467W
YHL049C	YIL177C
YFL058W	YNL332W
YJR028W	YOR343W-A
YDR545W	YIL177C
YER138C	YLR157C-A
YBL111C	YFL065C
YCL020W	YML045W-A
YCR007C	YML132W
YFL062W	YGL263W
YGR027W-B	YML039W
YKL219W	YNR075W
YAR027W	YGR295C
YDR365W-B	YLR256W-A
YDR034C-D	YML045W
YER138C	YGR027W-A
YDR034C-C	YFL002W-B
YER138C	YPR158W-B
YGR296W	YLR462W
YLR157C-B	YPR158C-D
YER159C-A	YMR050C
YLR157C-A	YML040W
YDR261W-A	YNL284C-A
YAR042W	YDL019C
YER137C-A	YFL002W-B
YJL177W	YKL180W
YAL005C	YLL024C
YBR012W-A	YDR210C-D
YBR012W-B	YMR046C
YDR034C-D	YDR261W-A
YBR012W-A	YHR214C-C
YBL005W-B	YGR027W-B
YDL248W	YHL042W
YDR365W-B	YOR142W-A
YGL258W	YOR387C
YMR322C	YPL280W
YEL077C	YLL066C
YLR249W	YNL014W
YAR010C	YBL005W-B
YMR051C	YOL103W-B
YJR027W	YLR227W-B
YMR050C	YPR137C-A
YCR104W	YEL049W
YMR006C	YMR008C
YBL075C	YDL229W
YLR157W-D	YLR161W
YER160C	YMR051C
YGL263W	YML132W
YGR161C-D	YOL103W-B
YDR098C-B	YDR365W-B
YDR210W-A	YGR161W-B
YFL020C	YLL064C
YNL054W-A	YPR137C-A
YFL065C	YLL067C
YFL002W-B	YMR046C
YGR296W	YPL283C
YMR046C	YPL257W-B
YGR294W	YNR076W
YAR010C	YLR227W-A
YOL103W-A	YOL103W-B
YHR214C-C	YPR158C-C
YDR210C-D	YPR158C-C
YBL111C	YER190W
YGR038C-B	YPR158C-C
YLR157C-B	YOR343W-B
YLR227W-A	YOR343W-A
YDR038C	YDR040C
YBR012W-A	YML045W-A
YDR316W-A	YPR137C-B
YDR099W	YER177W
YMR045C	YNL284C-B
YDR316W-B	YPR158C-C
YNL284C-A	YPR158C-C
YDR342C	YJL214W
YER138C	YMR045C
YLL025W	YOL161C
YCL020W	YFL002W-A
YER138C	YJR026W
YDL021W	YOL056W
YFL066C	YHL050C
YJR026W	YOR142W-B
YNL284C-B	YPR137C-A
YDR261C-C	YPR137C-A
YDR098C-A	YJR028W
YDR545W	YEL075C
YIL177C	YNL339C
YAR010C	YOR343W-A
YHR214C-B	YLR256W-A
YDR170W-A	YOL103W-A
YAR009C	YBL100W-B
YDR210W-B	YPL257W-B
YML045W	YOR142W-B
YDR261W-B	YFL002W-A
YHR214C-B	YML045W
YLL064C	YMR325W
YAR009C	YGR038C-B
YBR012W-B	YDR316W-B
YBR012W-B	YNL284C-A
YGR161C-D	YPL257W-A
YLR037C	YMR325W
YDL140C	YOR116C
YDR170W-A	YGR161C-D
YBR302C	YNL336W
YAR009C	YDR316W-B
YBR012W-B	YGR038C-B
YDR011W	YOR011W
YDR261W-A	YMR046C
YBL005W-A	YBR012W-B
YDR210C-C	YNL054W-A
YGR038C-A	YOR142W-A
YMR051C	YPL257W-A
YOL103W-A	YPL257W-A
YDR098C-B	YMR050C
YDR210C-C	YPR158W-A
YER138C	YML039W
YFL065C	YPR203W
YLR256W-A	YOR142W-B
YBL100W-A	YPR158C-C
YOR142W-B	YOR192C-B
YCR104W	YKL224C
YDR365W-A	YPR137C-A
YGR027W-B	YLR157C-A
YDR365W-B	YER137C-A
YDR316W-A	YER138C
YHL046C	YNR076W
YBL111C	YGR296W
YCL020W	YDR316W-A
YFL002W-B	YNL284C-A
YGL051W	YHL048W
YGR027W-B	YLR410W-B
YBR012W-A	YPL257W-B
YBR302C	YGL051W
YDL083C	YMR143W
YJR029W	YNL284C-B
YDR098C-B	YOR343W-B
YJR026W	YLR227W-B
YDR365W-A	YOL103W-A
YCL019W	YGR161W-B
YGR027W-A	YHR214C-B
YML039W	YOR142W-B
YAR010C	YGR027W-B
YCL019W	YER160C
YLR464W	YPL283C
YDR034C-D	YLR410W-A
YGR161C-C	YPL257W-B
YBL100W-B	YBR012W-B
YDR098C-A	YER160C
YJR028W	YLR227W-A
YOL103W-B	YPR137C-A
YGR027W-B	YPR158W-B
YIL013C	YPL058C
YAR023C	YHL048W
YDR365W-A	YGR161C-D
YDR261W-B	YPL257W-B
YER137C-A	YJR029W
YGL261C	YLL025W
YNR076W	YOL161C
YDR170W-A	YPR137C-A
YGR027W-B	YMR045C
YER159C-A	YLR157C-B
YHR214C-B	YOR142W-A
YBL113C	YLL066C
YEL075C	YGR296W
YGR038C-A	YML045W
YJL223C	YLL064C
YDR261C-C	YOL103W-A
YNL284C-B	YOL103W-A
YER160C	YGR161C-C
YPL283C	YPR204W
YDR098C-B	YPR158C-D
YBL005W-B	YLR227W-A
YDR261C-C	YGR161C-D
YGR038C-A	YLR256W-A
YEL076C	YOR396W
YBR012W-A	YDR316W-A
YGR027W-A	YGR038C-A
YER190W	YHL050C
Q0045	Q0070
YDR261C-D	YPR158C-C
YPR137C-A	YPR158C-C
YFL020C	YGL261C
YDR210W-B	YFL002W-A
YGR296W	YHL049C
YHL043W	YML132W
YBL113C	YOR396W
YOR162C	YOR172W
YDR034C-D	YLR157C-B
YDR210C-C	YOR192C-A
YER138C	YNL054W-A
YJL037W	YJL038C
YER190W	YPR203W
YHR214C-B	YMR050C
YDR210C-C	YGR161W-A
YCR104W	YGR294W
YDR210C-C	YJR026W
YDR542W	YMR325W
YMR051C	YPR158C-C
YBL100W-B	YOL103W-B
YDR210W-A	YOL103W-A
YGR161C-C	YPR137C-B
YPL257W-A	YPR158C-D
YML040W	YNL284C-A
YLR342W	YMR306W
YDR038C	YDR039C
YDR135C	YHL035C
YDR365W-B	YLR157C-B
YLL066C	YLL067C
YGR161C-D	YPR158C-C
YBL100W-A	YPL257W-A
YDR261W-B	YPR137C-B
YDR098C-B	YLR256W-A
YML039W	YMR046C
YOL103W-A	YPR158C-C
YHR214C-C	YOL103W-B
YJR027W	YNL284C-A
YLR227W-B	YOR192C-B
YDR210C-D	YOL103W-B
YGR038C-B	YOL103W-B
YOL161C	YPL282C
YDR447C	YML024W
YER159C-A	YLR410W-A
YAR010C	YDR261C-D
YCR104W	YIR041W
YDR210C-C	YML039W
YCL019W	YDR261W-B
YDR343C	YOL156W
YER138C	YPR158W-A
YDR316W-B	YOL103W-B
YDR365W-B	YER159C-A
YNL284C-A	YOL103W-B
YGR038C-A	YPR158C-D
YJL223C	YNR076W
YDR098C-B	YML045W
YFL061W	YNL335W
YGR124W	YPR145W
YBL005W-B	YDR210W-B
YGL261C	YIL176C
YHR214C-B	YPR158C-D
YAR010C	YMR051C
YBR301W	YOR394W
YDR545W	YEL077C
YDR034C-C	YGR038C-A
YLR256W-A	YMR046C
YDR210W-B	YPR137C-B
YDR098C-B	YOR142W-A
YDR316W-A	YHR214C-C
YPR013C	YPR015C
YER137C-A	YGR038C-A
YDR326C	YHR080C
YDR545W	YML133C
YHL049C	YML133C
YML045W-A	YOL103W-B
YBL005W-A	YOL103W-B
YBL005W-B	YBR012W-A
YDR345C	YMR011W
YGR027W-A	YJR029W
YCL069W	YKR105C
YDL248W	YNL336W
YDR034C-D	YDR365W-B
YCR104W	YFL020C
YHL046C	YLL064C
YGR161W-A	YMR046C
YGR296W	YPR204W
YAL005C	YNL209W
YIL177C	YLR466W
YLR035C-A	YNL284C-B
YLR433C	YML057W
YJR029W	YML040W
YBL005W-B	YGR161C-C
YJR026W	YMR046C
YHR214C-B	YOR343W-B
YLR227W-B	YMR051C
YDR316W-A	YML045W-A
YDR261C-D	YPL257W-A
YER137C-A	YHR214C-B
YER160C	YLR227W-A
YGR038C-A	YMR050C
YBR012W-A	YPR137C-B
YDL248W	YGL051W
YEL077C	YLR467W
YEL077C	YHR219W
YOR142W-A	YOR142W-B
YDR210W-A	YPR137C-A
YML045W	YMR046C
YBL005W-A	YNL054W-A
YCR007C	YKL219W
YGR027W-B	YPL257W-A
YJR027W	YOL103W-A
YCR007C	YJR161C
YMR054W	YOR270C
YLR035C-A	YMR050C
YAR023C	YBR302C
YDR034C-D	YHR214C-B
YML045W-A	YNL054W-A
YOL013W-A	YOR072W-B
YBL100W-B	YCL019W
YCL040W	YDR516C
YOR343W-A	YPR158C-C
YNL054W-A	YOR142W-B
YCL020W	YLR227W-A
YBL005W-B	YPL257W-B
YGR038C-A	YNL284C-B
YCR007C	YHL044W
YDR365W-B	YHR214C-B
YGR027W-A	YLR410W-A
YDR365W-B	YGR038C-A
YDR034C-C	YDR034C-D
YDR261W-A	YGR161W-B
YLR157C-A	YLR157C-B
YBL111C	YLR467W
YMR050C	YOR142W-B
YGR161C-D	YLR410W-B
YJR029W	YLR256W-A
YDR345C	YHR094C
YGR161C-C	YLR227W-A
YJR029W	YML045W
YML040W	YOL103W-A
YMR253C	YPL264C
YBL017C	YJL222W
YDR345C	YJL219W
YJR028W	YPL257W-B
YML045W-A	YPR158W-A
YER190W	YML133C
YCR104W	YJL223C
YGR161C-D	YLR157C-A
YBL005W-A	YPR158W-A
YDR210W-A	YNL284C-A
YER062C	YIL053W
YIL009W	YMR246W
YAR010C	YBL005W-A
YHR219W	YJL225C
YMR051C	YPR158W-B
YAR010C	YML045W-A
YAR033W	YGR295C
YJR029W	YOR142W-A
YCL067C	YCR039C
YDR210C-D	YPR158W-A
YLR035C-A	YPR158C-D
YBL030C	YBR085W
YBL005W-A	YDR098C-A
YGR038C-B	YPR158W-A
YDR542W	YOL161C
YGR161C-D	YPR158W-B
YFL066C	YML133C
YHR214C-C	YPR158W-A
YDR034C-D	YDR098C-B
YGR199W	YOR321W
YDR345C	YJR158W
YER138C	YOL103W-B
YDR034C-C	YER159C-A
YER137C-A	YER159C-A
YER160C	YPR137C-B
YIL029C	YPL257W
YBL005W-B	YDR316W-A
YML040W	YPR137C-A
YFL002W-A	YOR192C-B
YBR012W-A	YLR227W-A
YHL046C	YIL176C
YGR161W-B	YPR137C-B
YDR316W-B	YPR158W-A
YJL098W	YKR028W
YNL284C-A	YPR158W-A
YDR316W-B	YNL054W-A
YGL263W	YKL219W
YHR214C-B	YNL284C-B
YDR098C-B	YML040W
YBL005W-B	YFL002W-A
YIR031C	YNL117W
YDR545W	YPR203W
YLR035C-A	YOR343W-B
YHL050C	YLL066C
YGL263W	YJR161C
YHR094C	YNR072W
YHL049C	YPR203W
YMR046C	YOR343W-A
YDL248W	YHL048W
YEL076C-A	YPL283C
YJR027W	YPR137C-A
YLR227W-A	YPL257W-B
YJL219W	YNR072W
YDR098C-A	YMR046C
YHR214C-C	YNL054W-A
YJL225C	YPR204W
YGR161C-D	YMR045C
YJL223C	YLL025W
YER137C-A	YLR157C-B
YLR227W-B	YML045W-A
YDR261W-A	YJR028W
YDR316W-A	YMR051C
YBL113C	YDR545W
YEL076C	YER190W
YGR038C-B	YNL054W-A
YDR210C-D	YNL054W-A
YER159C-A	YJR029W
YIL109C	YNL049C
YDR098C-B	YJR027W
YEL075C	YLR467W
YAR010C	YDR210C-D
YAR010C	YHR214C-C
YGL263W	YHL044W
YOL103W-A	YPR158W-B
YGL261C	YLL064C
YCR104W	YHL046C
YBL113C	YER190W
YDR098C-A	YOR142W-B
YAR033W	YFL062W
YHR092C	YNR072W
YPR158C-C	YPR158C-D
YAR010C	YER138C
YOR343W-A	YPL257W-A
YJR026W	YJR028W
YFL002W-A	YGR027W-B
YBL005W-A	YJR026W
YGL051W	YNL336W
YHL050C	YOR396W
YGR027W-B	YPR158C-C
YBL100W-A	YLR157C-A
YGR161W-A	YJR028W
YCL020W	YGR161C-C
YDR365W-B	YJR029W
YBL005W-A	YGR161W-A
YAL068C	YBR301W
YER160C	YPL257W-B
YFL065C	YML133C
YGR256W	YHR183W
YFL002W-B	YOL103W-A
YLR448W	YML073C
YBL005W-A	YOR192C-A
YDR261C-D	YMR045C
YDR034C-D	YJR029W
YCL019W	YOR142W-B
YIL123W	YNL066W
YLR035C-A	YML045W
YGR161W-B	YPL257W-B
YBL100W-A	YLR410W-B
YDR545W	YHL050C
YML045W-A	YOR192C-A
YBR012W-B	YGR161C-D
YBR118W	YPR080W
YFL060C	YMR095C
YCL020W	YDR210W-B
YDR034C-C	YLR410W-A
YJR158W	YNR072W
YDR170W-A	YDR316W-B
YDR170W-A	YNL284C-A
YER137C-A	YLR410W-A
YFL064C	YML133C
YDR261C-D	YGR027W-A
YDR261C-D	YPR158W-B
YGL261C	YNR076W
YLR227W-A	YPR137C-B
YPR137C-A	YPR158W-B
YAR009C	YGR161C-D
YMR046C	YMR051C
YBR302C	YHL048W
YGR038C-A	YJR027W
YJR029W	YMR050C
YBL005W-A	YML039W
YDR170W-A	YGR038C-B
YDR345C	YFL011W
YAL068C	YOR394W
YAR033W	YML132W
YDL243C	YJR155W
YER017C	YMR089C
YGR038C-A	YML040W
YBR012W-B	YOL103W-A
YFL011W	YHR092C
YDR316W-A	YOR343W-A
YBL100W-B	YGR161W-A
YBR012W-A	YGR161C-C
YDR034C-D	YLR035C-A
YHL042W	YKL219W
YDR098C-A	YLR227W-B
YDR261C-C	YDR316W-B
YDR261C-C	YNL284C-A
YDR210C-C	YOL103W-B
YHL042W	YJR161C
YLR467W	YPL283C
YDR261C-C	YGR038C-B
YGR027W-A	YLR157C-B
YFL002W-A	YOR343W-A
YHR219W	YPL283C
YLR037C	YOL161C
YLR044C	YLR134W
YDR098C-B	YDR261C-C
YDR098C-B	YNL284C-B
YDR316W-B	YML039W
YAR010C	YDR210C-C
YDR461W	YNL145W
YHR214C-B	YML040W
YAR023C	YGL051W
YDR261C-D	YLR410W-B
YJR029W	YOR343W-B
YLL064C	YOL161C
YBR012W-A	YCL020W
YBR012W-B	YPR137C-A
YHR214C-B	YJR027W
YBL005W-B	YPR137C-B
YDR261W-A	YDR261W-B
YDR365W-B	YLR035C-A
YDR034C-C	YER137C-A
YGR038C-B	YML039W
YCL019W	YLR227W-B
YGR161W-A	YGR161W-B
YBL100W-B	YOR192C-A
YDR098C-B	YDR365W-A
YDR210C-D	YML039W
YER159C-A	YGR038C-A
YAL005C	YBL075C
YHR214C-C	YML039W
YDR261C-D	YLR157C-A
YER160C	YFL002W-A
YBL100W-B	YML039W
YJR029W	YPR158C-D
YEL076C-A	YJL225C
YHR214C-C	YOR192C-A
YDR365W-A	YGR038C-B
YER159C-A	YHR214C-B
YAR027W	YHL044W
YDR316W-B	YJR026W
YAR023C	YNL336W
YEL077C	YGR296W
YDR365W-A	YNL284C-A
YDR342C	YDR345C
YLR157C-A	YLR410W-A
YJR028W	YPR137C-B
YAR027W	YKL219W
YAR027W	YJR161C
YNL284C-A	YOR192C-A
YHR214C-C	YJR026W
YHL046C	YLL025W
YBL100W-A	YGR027W-A
YFL002W-B	YPR137C-A
YOR192C-B	YPR158W-B
YDR316W-A	YGR027W-B
YGR038C-B	YJR026W
YDR098C-B	YDR170W-A
YDR210C-D	YJR026W
YCL020W	YGR027W-A
YIL029C	YPR071W
YDR210C-D	YMR051C
YBL005W-A	YDR261C-D
YBR302C	YKL219W
YGR038C-B	YMR051C
YBR302C	YJR161C
YDR316W-A	YNL054W-A
YGR027W-A	YJR028W
YHR214C-C	YMR051C
YCL019W	YDR098C-B
YEL049W	YGL261C
YHL048W	YML132W
YEL077C	YLR466W
YML040W	YPR158C-D
YDR545W	YFL066C
YFL002W-B	YOR142W-A
YDR261C-C	YFL002W-B
YGR034W	YLR344W
YDR210W-A	YDR261C-C
YDR034C-C	YDR261W-B
YDR253C	YPL038W
YDR261W-B	YPR158W-B
YDR261W-A	YER137C-A
YJR066W	YKL203C
YJR027W	YOR343W-B
YAR071W	YBR092C
YDR316W-B	YMR051C
YDR210W-A	YDR365W-A
YAL068C	YKL224C
YBR302C	YHL044W
