oln_id_a	oln_id_b
YDR409W	YOR156C
YIL109C	YNL049C
YNL104C	YOR108W
YML125C	YML087C
YDR342C	YHR092C
YDR480W	YPL049C
YKR091W	YOR083W
YGL133W	YPL216W
YKR089C	YOR081C
YFL042C	YLR072W
YCL035C	YDR513W
YKR075C	YOR062C
YFL004W	YPL019C
YGR197C	YJR015W
YAL038W	YOR347C
YGR256W	YHR183W
YLR448W	YML073C
YLR287C-A	YOR182C
YLL010C	YLR019W
YDR125C	YLR099C
YKL093W	YMR081C
YDR122W	YLR096W
YBR033W	YKL038W
YIL123W	YNL066W
YKL104C	YMR085W
YGR023W	YLR332W
YDL085W	YMR145C
YDR107C	YLR083C
YFR017C	YOL024W
YOR231W	YPL140C
YEL006W	YIL006W
YBR118W	YPR080W
YIL158W	YKR100C
YKL050C	YMR031C
YGR221C	YHR149C
YDR247W	YPL026C
YLL021W	YLR313C
YHR135C	YNL154C
YHR146W	YNL173C
YCR052W	YNR023W
YER131W	YGL189C
YGR092W	YPR111W
YDR348C	YHR097C
YAL015C	YOL043C
YPR162C	YLR453C
YIL011W	YOR010C
YDL155W	YLR210W
YBR145W	YOL086C
YGR004W	YLR324W
YHR206W	YJR147W
YER028C	YGL209W
YBR242W	YGL101W
YDL036C	YOL066C
YDR492W	YOL101C
YGL031C	YGR148C
YGL166W	YPR008W
YCR026C	YEL016C
YEL047C	YJR051W
YGR213C	YLR046C
YLR437C	YML058W
YHR047C	YKL157W
YBR183W	YPL087W
YBL091C-A	YER120W
YOR016C	YAL007C
YDR147W	YLR133W
YJL134W	YKR053C
YCR024C-A	YEL017C-A
YEL041W	YJR049C
YDR028C	YBR050C
YBR270C	YJL058C
YLR187W	YNL278W
YAL029C	YOR326W
YBR054W	YDR033W
YGR056W	YLR357W
YGL076C	YPL198W
YGR032W	YLR342W
YLR442C	YML065W
YAL051W	YOR363C
