"kdkd" "kukd" "kuku" "pkd" "pku" "pp" "tdkd" "tdp" "tdtd" "tup" "tutd" "tutu" "tukd" "tdku" "tuku"
29 58 62 25 59 133 1 11 18 11 8 28 NA NA NA
21 70 79 27 61 143 1 22 14 5 12 26 NA 1 NA
14 64 67 41 69 163 NA 14 4 7 5 22 NA NA NA
30 53 77 35 77 123 NA 18 15 14 7 17 NA NA NA
33 72 78 46 47 138 NA 11 5 7 9 25 NA NA NA
17 47 68 19 40 139 NA 13 8 9 7 20 NA NA NA
15 53 61 48 62 135 NA 16 9 9 4 25 3 NA NA
13 48 62 39 32 141 NA 11 15 8 8 25 1 NA NA
15 42 50 32 52 124 NA 6 5 7 2 21 1 1 NA
13 59 60 36 78 126 NA 15 16 6 10 22 2 NA NA
26 54 76 15 68 182 NA 16 6 6 11 35 NA 2 NA
26 75 77 31 47 112 2 16 5 6 10 17 1 NA NA
14 26 71 31 48 126 NA 14 7 7 6 30 1 NA NA
43 69 69 60 75 176 NA 10 15 8 7 20 1 NA NA
15 46 55 11 53 125 NA 12 14 6 9 22 3 NA NA
32 70 56 40 69 115 NA 14 18 7 9 19 NA NA NA
25 59 71 28 60 103 NA 9 21 3 4 22 NA NA NA
24 79 77 33 62 117 NA 15 10 7 9 18 NA NA NA
12 29 59 33 58 130 NA 18 15 5 15 23 NA NA NA
13 57 73 31 35 116 NA 16 11 1 4 24 1 NA NA
12 51 66 25 63 142 NA 15 11 12 11 17 NA NA NA
15 68 79 37 74 123 NA 14 8 3 3 25 1 NA NA
14 56 78 43 64 149 NA 10 6 5 10 30 NA NA NA
19 49 48 21 41 106 NA 15 17 7 13 21 NA NA NA
25 76 65 32 48 132 3 16 9 1 15 22 NA NA NA
25 54 71 29 47 118 3 21 7 7 3 22 NA NA 1
18 30 71 44 41 140 NA 9 16 8 4 26 NA NA NA
27 61 58 24 48 143 1 23 7 5 8 23 NA NA NA
23 73 62 30 51 143 1 20 7 10 5 26 NA NA NA
19 57 73 42 65 131 NA 19 8 4 15 43 NA NA NA
16 46 51 34 63 153 1 22 5 1 3 21 1 NA NA
